ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.120842817	4.708091755	92.58369634	1.3456E-189	4.0694E-185	406.9825391	Y
ENSG00000129824	RPS4Y1	8.869840085	9.55918042	89.57845473	2.9336E-186	4.436E-182	393.1227146	Y
ENSG00000012817	KDM5D	9.35049382	8.791650533	86.78888833	4.5934E-183	4.6306E-179	389.0347918	Y
ENSG00000233864	TTTY15	7.872240819	5.305315081	83.76641416	1.715E-179	1.2967E-175	386.7562956	Y
ENSG00000154620	TMSB4Y	6.195448976	4.064609159	80.32204462	2.8497E-175	1.4364E-171	378.9699736	Y
ENSG00000260197	RP11-424G14.1	7.750862722	5.251344491	79.53190349	2.7971E-174	1.2084E-170	376.2129492	Y
ENSG00000067048	DDX3Y	9.387620627	8.938244344	81.10549705	3.0213E-176	1.8275E-172	375.7123714	Y
ENSG00000165246	NLGN4Y	8.600073638	6.002377188	74.16270121	2.7462E-167	1.0382E-163	362.1059919	Y
ENSG00000099725	PRKY	6.498154009	4.407198204	73.624265	1.337E-165	3.676E-162	358.4678732	Y
ENSG00000241859	KALP	4.454233474	2.8218869	82.26408153	6.2811E-166	2.1107E-162	356.5420067	Y
ENSG00000131002	TXLNG2P	8.885375216	7.876817786	73.0350751	9.2505E-166	2.7976E-162	356.0691754	Y
ENSG00000114374	USP9Y	9.126596963	7.721736644	72.60061479	3.6344E-165	9.1595E-162	355.4591507	Y
ENSG00000183878	UTY	8.548883364	6.713697427	69.40349176	1.0863E-160	2.5271E-157	347.5118813	Y
ENSG00000198692	EIF1AY	8.515467735	6.835596765	67.93746886	1.4159E-158	3.0587E-155	342.8560449	Y
ENSG00000067646	ZFY	8.169765435	6.102267364	67.48564323	6.4745E-158	1.3054E-154	342.3662603	Y
ENSG00000229807	XIST	-9.876991937	7.591690375	-59.73488657	6.2835E-146	1.1877E-142	313.3667394	X
ENSG00000231535	LINC00278	4.402137194	2.799746667	61.34251266	2.6115E-142	4.6459E-139	308.7614588	Y
ENSG00000233070	ZFY-AS1	4.289028206	2.857269011	51.75759018	9.7941E-132	1.6456E-128	287.1155317	Y
ENSG00000229236	TTTY10	4.161172359	2.605547476	50.10420966	1.0166E-119	1.6182E-116	258.8446609	Y
ENSG00000215580	BCORP1	3.680736802	2.372020202	41.1813593	2.2221E-106	3.3602E-103	230.6970436	Y
ENSG00000099715	PCDH11Y	4.494747284	5.663547698	26.55476217	2.42941E-73	3.4987E-70	155.6083095	Y
ENSG00000092377	TBL1Y	3.190076014	2.045338869	25.17612662	7.39443E-68	1.0165E-64	143.8316302	Y
ENSG00000169953	HSFY2	2.674108728	1.652748886	24.07942129	9.21176E-62	1.21127E-58	129.783419	Y
ENSG00000005889	ZFX	-0.67381003	10.69943369	-21.68020996	2.01078E-58	2.53383E-55	121.6677803	X
ENSG00000147050	KDM6A	-0.639999817	10.35778346	-21.37442178	1.90521E-57	2.30477E-54	119.4558512	X
ENSG00000225470	JPX	-0.588891513	8.940984987	-18.749401	6.81145E-49	7.92302E-46	100.1307928	X
ENSG00000101846	STS	-0.625275463	10.58559919	-14.85177808	8.15563E-36	8.5052E-33	70.60065823	X
