ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	8.1955516	9.609840914	88.66945247	5.3873E-281	1.6293E-276	585.4649513	Y
ENSG00000012817	KDM5D	8.333664048	8.583208652	77.39809893	8.4718E-257	1.2811E-252	546.5225311	Y
ENSG00000215580	BCORP1	6.309182835	4.348116866	75.58944994	9.2638E-251	9.3388E-247	546.1040176	Y
ENSG00000231535	LINC00278	4.262394928	2.975569237	72.74441931	9.6892E-244	7.3258E-240	533.9553409	Y
ENSG00000183878	UTY	8.784903341	7.169265049	69.27504845	2.1805E-237	1.3189E-233	516.8521133	Y
ENSG00000067048	DDX3Y	7.648523617	8.452339082	68.92163882	1.6822E-236	8.479E-233	505.0194597	Y
ENSG00000198692	EIF1AY	8.384135913	7.099153177	64.63903152	1.9434E-225	8.3963E-222	490.7591035	Y
ENSG00000099725	PRKY	6.603128483	4.664135261	61.48245949	2.1295E-215	8.0504E-212	471.3199049	Y
ENSG00000131002	TXLNG2P	6.845794501	6.843097934	57.53670722	1.0252E-205	3.445E-202	446.1276257	Y
ENSG00000154620	TMSB4Y	4.80766041	3.493248133	56.28663312	4.7482E-202	1.436E-198	443.3094432	Y
ENSG00000233864	TTTY15	6.303171857	4.657994602	55.10615793	1.5679E-198	4.3108E-195	435.1228668	Y
ENSG00000176728	TTTY14	4.987748855	3.679374094	51.90136019	1.0956E-188	2.7612E-185	413.9396297	Y
ENSG00000067646	ZFY	6.475299787	5.011453305	50.00035815	3.5433E-182	8.2431E-179	399.2745343	Y
ENSG00000114374	USP9Y	6.320519725	6.425574953	48.4130961	1.8444E-177	3.9842E-174	385.9789358	Y
ENSG00000260197	RP11-424G14.1	5.482696571	3.965426735	49.23415583	1.3943E-175	2.8113E-172	384.2066471	Y
ENSG00000241859	KALP	3.865620241	2.752641848	48.18407431	3.627E-173	6.8558E-170	380.5359723	Y
ENSG00000229236	TTTY10	3.087550969	2.244083693	45.15708163	1.7997E-165	3.2017E-162	364.7033182	Y
ENSG00000229807	XIST	-6.22762846	6.421272654	-37.65864527	4.1185E-139	6.9197E-136	298.9667744	X
ENSG00000226918	AC010086.1	2.212407764	1.652015123	25.71024617	1.32878E-88	2.11507E-85	191.1581653	Y
ENSG00000233070	ZFY-AS1	2.130081416	1.653519974	25.02317751	5.44044E-86	8.22677E-83	185.2258589	Y
