ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000099725	PRKY	7.092146648	4.329263025	100.1689695	6.331E-176	1.9147E-171	379.6306328	Y
ENSG00000176728	TTTY14	7.313559219	4.515035939	96.81549758	1.9112E-175	2.89E-171	379.453898	Y
ENSG00000260197	RP11-424G14.1	7.65465107	4.729448243	92.99904771	2.8105E-171	2.8332E-167	370.6827351	Y
ENSG00000233864	TTTY15	7.700015953	4.806193441	90.87216259	7.8122E-170	5.9066E-166	367.9127765	Y
ENSG00000067048	DDX3Y	9.481703308	8.531429685	85.60246397	1.4731E-164	8.91E-161	354.1156659	Y
ENSG00000129824	RPS4Y1	9.84994994	9.39185603	81.99091255	9.2065E-161	4.6406E-157	345.9292696	Y
ENSG00000067646	ZFY	8.753862843	5.865505571	80.14462769	9.2428E-159	3.4941E-155	344.996642	Y
ENSG00000012817	KDM5D	9.402199389	8.186548315	80.93555193	1.2678E-159	5.4775E-156	344.4284172	Y
ENSG00000114374	USP9Y	9.22522754	7.23214627	76.66526954	7.2165E-155	2.425E-151	335.655776	Y
ENSG00000131002	TXLNG2P	9.502804168	7.451170739	73.84963971	1.3514E-151	4.087E-148	328.7582583	Y
ENSG00000183878	UTY	9.16419021	6.51388122	71.28557131	1.6332E-148	4.4903E-145	323.1847481	Y
ENSG00000154620	TMSB4Y	5.962463719	3.63043133	74.69404826	6.2427E-148	1.5733E-144	321.7225048	Y
ENSG00000198692	EIF1AY	8.601439566	6.366623977	67.21698106	2.0886E-143	4.8589E-140	312.0175462	Y
ENSG00000165246	NLGN4Y	7.526602972	4.973464752	60.73850921	1.1567E-134	2.4988E-131	293.5308659	Y
ENSG00000229807	XIST	-10.11735842	8.348176325	-57.71516365	2.713E-130	5.47E-127	281.975874	X
ENSG00000229236	TTTY10	4.670046974	2.751069979	58.315139	1.7223E-120	3.2554E-117	261.4826672	Y
ENSG00000233070	ZFY-AS1	4.538570768	2.683133336	47.31490616	1.0607E-107	1.887E-104	233.9892466	Y
ENSG00000092377	TBL1Y	5.98416289	3.388535005	45.90885568	3.1835E-101	5.34875E-98	217.9155809	Y
ENSG00000231535	LINC00278	4.248317747	2.493047445	34.67603634	8.22876E-83	1.3098E-79	177.7261498	Y
ENSG00000241859	KALP	3.358924446	2.025488885	34.29140662	4.84668E-81	7.3289E-78	173.8353811	Y
ENSG00000215580	BCORP1	3.51505232	2.114928531	31.16207126	1.47696E-76	2.12704E-73	163.8499473	Y
ENSG00000206159	GYG2P1	6.045031555	3.543752648	29.49955318	2.04812E-71	2.81551E-68	151.7166226	Y
ENSG00000147050	KDM6A	-0.897662214	10.81879825	-20.77741887	1.0197E-52	1.34082E-49	109.1825218	X
ENSG00000147889	CDKN2A	-2.049725132	5.954013504	-16.83237501	9.74334E-41	1.22778E-37	81.97585496	9
ENSG00000178363	CALML3	-3.756524101	5.368468124	-16.80383954	1.19543E-40	1.44614E-37	81.78268505	10
ENSG00000256462	RP11-116G8.5	-3.733938113	3.806368482	-16.66034043	3.34594E-40	3.89197E-37	80.78503109	10
ENSG00000211895	IGHA1	-5.440933057	12.3262811	-15.30628438	5.84161E-36	6.30957E-33	71.08357667	14
ENSG00000178403	NEUROG2	-2.700228261	1.645018777	-15.1824118	1.43307E-35	1.4945E-32	70.16226347	4
ENSG00000211671	IGLV2-8	-4.908460834	5.008181727	-15.01961502	4.66385E-35	4.70163E-32	69.03603876	22
