ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	9.054721022	6.511599412	110.7404291	3.2917E-209	9.9552E-205	441.2819171	Y
ENSG00000233864	TTTY15	8.534287928	6.333670846	99.69801074	1.3202E-196	1.9964E-192	416.8542268	Y
ENSG00000067646	ZFY	8.912754276	6.799652547	92.25048365	1.3273E-191	1.3381E-187	409.2233676	Y
ENSG00000260197	RP11-424G14.1	8.453452727	6.231178396	89.35662118	2.5202E-188	1.9054E-184	402.7188643	Y
ENSG00000183878	UTY	9.135885672	7.196530335	85.45308526	9.6745E-184	5.8517E-180	393.9567319	Y
ENSG00000067048	DDX3Y	9.816841831	9.636022324	79.50907904	2.2725E-176	1.1455E-172	374.7082875	Y
ENSG00000114374	USP9Y	10.15932865	8.898620767	78.33655269	7.4255E-175	3.0027E-171	373.8487004	Y
ENSG00000129824	RPS4Y1	8.49002974	9.410819261	78.31406272	7.9428E-175	3.0027E-171	370.3942833	Y
ENSG00000012817	KDM5D	9.593862266	9.050054816	77.17952628	2.4299E-173	8.1653E-170	369.5688738	Y
ENSG00000131002	TXLNG2P	8.683767632	7.944167812	71.52667091	1.2607E-165	3.8127E-162	355.0808332	Y
ENSG00000165246	NLGN4Y	8.624059794	7.102919213	64.22412126	8.5311E-155	2.3455E-151	334.687679	Y
ENSG00000198692	EIF1AY	7.670823746	6.555437614	62.96942192	7.9784E-153	1.8561E-149	330.1386649	Y
ENSG00000154620	TMSB4Y	5.802960728	4.1584438	69.04138554	7.0837E-153	1.7853E-149	328.031258	Y
ENSG00000169953	HSFY2	5.508552296	3.829572577	63.78929933	1.77E-142	3.8236E-139	304.1405953	Y
ENSG00000099725	PRKY	5.262817868	3.810550935	55.20842002	1.7182E-136	3.4642E-133	295.642555	Y
ENSG00000227289	HSFY3P	4.744510497	3.24466048	55.97233423	4.1966E-128	7.9323E-125	273.4169463	Y
ENSG00000229807	XIST	-9.93316011	6.770733437	-42.64580971	4.8209E-115	8.5764E-112	246.8149455	X
ENSG00000241859	KALP	4.038258987	2.748950432	45.79880779	3.8857E-113	6.5287E-110	243.3939149	Y
ENSG00000229236	TTTY10	3.583516284	2.502681814	39.64975979	2.1634E-102	3.44355E-99	220.5529664	Y
ENSG00000233070	ZFY-AS1	3.342203764	2.31457545	32.8040699	1.9397E-86	2.93311E-83	184.9480559	Y
ENSG00000215580	BCORP1	3.373938904	2.38155865	23.70273456	1.33914E-62	1.92855E-59	131.469411	Y
ENSG00000206159	GYG2P1	3.045303436	2.067864744	21.58335861	4.10032E-56	5.63664E-53	116.8500745	Y
ENSG00000214717	ZBED1	0.692602004	10.6732297	20.11438771	1.05645E-53	1.38914E-50	110.8218569	X
ENSG00000099715	PCDH11Y	2.259048808	1.790453722	15.96983063	1.09495E-39	1.37977E-36	79.55842538	Y
ENSG00000169093	ASMTL	0.621871337	10.64678248	14.799451	8.56466E-36	9.96234E-33	70.46992124	X
ENSG00000205611	RP4-610C12.4	2.599009814	6.297605229	13.04131041	7.60016E-30	8.51302E-27	57.07805072	20
ENSG00000092377	TBL1Y	2.159253684	1.309758397	11.74908608	7.58734E-25	7.91254E-22	45.77699589	Y
ENSG00000225490	RP4-610C12.3	1.945489673	4.487505244	11.42467172	1.71263E-24	1.72651E-21	44.94970265	20
ENSG00000149531	FRG1B	0.85412101	9.055019409	10.9582913	5.53053E-23	5.39548E-20	41.51855184	20
ENSG00000185275	CD24P4	1.496862294	2.262007412	10.14801721	2.05907E-20	1.88705E-17	35.61019198	Y
ENSG00000182378	PLCXD1	0.683489409	11.4655269	9.667027784	6.36377E-19	5.3461E-16	32.35006686	X
ENSG00000272769	RP11-725P16.2	1.470002108	5.914743801	8.761941694	3.30999E-16	2.5026E-13	26.20205934	2
