ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	9.14753759	9.386389591	78.15305041	7.6592E-113	2.3164E-108	217.3617144	Y
ENSG00000260197	RP11-424G14.1	7.923449721	5.014203683	66.07079079	2.0942E-103	1.58339E-99	209.594187	Y
ENSG00000067048	DDX3Y	9.215154106	8.709640065	69.59568845	2.5649E-106	3.8784E-102	209.0266411	Y
ENSG00000012817	KDM5D	9.309075962	8.513892925	66.78687444	5.2213E-104	5.26363E-100	205.85389	Y
ENSG00000176728	TTTY14	7.078851301	4.515686146	62.50928334	2.60437E-100	1.57528E-96	204.4411087	Y
ENSG00000154620	TMSB4Y	6.013013727	3.698181127	61.49069549	8.28159E-98	4.17433E-94	199.5151005	Y
ENSG00000099725	PRKY	6.434017724	4.108559098	57.10009484	2.79241E-95	1.05563E-91	195.7134949	Y
ENSG00000233864	TTTY15	7.526814649	4.917606283	56.62045079	8.18648E-95	2.75093E-91	194.252855	Y
ENSG00000131002	TXLNG2P	9.315606448	7.849229801	57.97071341	4.04828E-96	1.74903E-92	193.850508	Y
ENSG00000067646	ZFY	8.64509482	5.835685787	54.59623998	8.42196E-93	2.54705E-89	190.5291507	Y
ENSG00000198692	EIF1AY	8.791882314	6.760718511	51.89981725	5.18459E-90	1.33139E-86	184.183672	Y
ENSG00000114374	USP9Y	8.992448415	7.503215032	51.89212297	5.28276E-90	1.33139E-86	183.0346204	Y
ENSG00000183878	UTY	8.704181227	6.504859195	49.61764136	1.51423E-87	3.27106E-84	179.8610842	Y
ENSG00000229807	XIST	-9.375322672	8.117237594	-50.58418032	1.32978E-88	3.09358E-85	177.8352995	X
ENSG00000165246	NLGN4Y	7.832074774	5.35877424	41.71606584	3.77124E-78	7.60358E-75	161.7911521	Y
ENSG00000241859	KALP	4.128290018	2.481988038	44.40693847	4.83314E-77	9.13553E-74	158.9822494	Y
ENSG00000231535	LINC00278	4.008515949	2.35018261	38.42939416	1.8743E-68	3.33437E-65	140.4526707	Y
ENSG00000233070	ZFY-AS1	4.426589361	2.641071714	37.71860649	1.43237E-67	2.40662E-64	138.3562284	Y
ENSG00000229236	TTTY10	4.701268904	2.768388392	34.91486738	6.06505E-64	9.65396E-61	131.1909739	Y
ENSG00000099715	PCDH11Y	4.510963623	3.318132298	21.39280811	2.28634E-44	3.45728E-41	89.70701187	Y
ENSG00000215580	BCORP1	4.275711039	2.461513146	21.49574823	6.07458E-41	8.74826E-38	81.411435	Y
ENSG00000005889	ZFX	-0.624795996	10.78699933	-18.74535179	4.12977E-39	5.67712E-36	76.93789037	X
ENSG00000147050	KDM6A	-0.665172254	10.39057576	-16.71334331	1.88031E-34	2.47244E-31	66.74119711	X
ENSG00000169953	HSFY2	2.474132915	1.459230189	14.55690843	7.94543E-28	1.00122E-24	52.66053705	Y
ENSG00000225470	JPX	-0.59049058	9.083373736	-13.87899426	1.29259E-27	1.56367E-24	51.63686336	X
ENSG00000092377	TBL1Y	2.312669903	1.486341357	13.10873397	1.38985E-25	1.61666E-22	47.59517516	Y
ENSG00000227289	HSFY3P	1.530439505	0.935746285	9.337591926	6.63329E-16	6.68702E-13	25.63479312	Y
ENSG00000206159	GYG2P1	2.082987173	1.145817225	8.039237792	9.02663E-13	8.02918E-10	18.59984707	Y
ENSG00000225490	RP4-610C12.3	1.744246221	4.013415136	7.621176418	4.26232E-12	3.68301E-09	17.10980386	20
ENSG00000270223	RP13-36G14.4	-0.642763443	6.135527576	-7.592901629	4.96324E-12	4.16953E-09	16.99232271	X
ENSG00000184368	MAP7D2	-1.114378859	3.789225666	-6.677847299	6.05311E-10	4.5766E-07	12.29775483	X
ENSG00000239893	ZNF736P9Y	1.533483761	0.928981949	6.05316881	1.94308E-08	1.27749E-05	8.79943892	Y
ENSG00000228906	RP13-216E22.4	-0.951516183	3.920563685	-5.870355502	3.29929E-08	2.12299E-05	8.428358459	X
ENSG00000261600	RP11-575H3.1	-1.393789665	3.888052041	-5.833953866	3.92616E-08	2.47373E-05	8.262165364	2
ENSG00000080007	DDX43	1.323716779	6.060471771	5.763506988	5.48844E-08	3.38749E-05	7.993609262	6
ENSG00000230663	FAM224B	0.661923315	0.458274779	5.493013418	2.00834E-07	0.000119094	6.324449783	Y
ENSG00000159212	CLIC6	0.834830273	8.506905889	5.082694748	1.23829E-06	0.000693511	5.049744734	21
ENSG00000258484	SPESP1	0.789521813	6.271552767	4.913337751	2.5917E-06	0.001375099	4.311681979	15
ENSG00000253967	RP11-333A23.4	1.427597288	2.136885925	4.922317512	2.49313E-06	0.001346425	4.059697804	8
ENSG00000127472	PLA2G5	0.681245309	11.69164853	4.817146354	3.91515E-06	0.001973433	3.937866661	1
ENSG00000257259	RP11-767I20.1	1.440372571	5.968791579	4.817262765	3.91321E-06	0.001973433	3.904457031	12
ENSG00000203907	OOEP	1.105686614	2.20941006	4.74283884	5.36561E-06	0.002660198	3.348714487	6
ENSG00000228709	AP001065.15	-0.991030934	3.055494656	-4.608075747	9.42676E-06	0.004598284	2.948521347	21
ENSG00000175264	CHST1	0.630608512	9.399305618	4.497299731	1.48631E-05	0.006915478	2.690675485	11
ENSG00000205611	RP4-610C12.4	0.940080231	2.671467029	4.561101922	1.14446E-05	0.005493933	2.687130312	20
ENSG00000172460	PRSS30P	-0.891475009	4.118498723	-4.319584093	3.03884E-05	0.012944184	1.899803852	16
ENSG00000248362	CTC-327F10.5	1.436399944	5.14866091	4.292943065	3.37715E-05	0.013991099	1.826637256	5
ENSG00000255346	NOX5	0.780676375	4.88304325	4.207264076	4.72809E-05	0.019065532	1.509015907	15
ENSG00000164841	TMEM74	-0.618860316	5.415302805	-4.152083347	5.85797E-05	0.023008135	1.335541693	8
ENSG00000170891	CYTL1	0.796578973	7.87552845	4.133296697	6.29855E-05	0.02442141	1.327104306	4
ENSG00000249307	LINC01088	0.881282199	8.577597993	4.105028329	7.02175E-05	0.026217122	1.229357686	4
ENSG00000156966	B3GNT7	0.622882099	8.405919079	4.100836573	7.13553E-05	0.026317043	1.215188572	2
ENSG00000268366	CTC-492K19.4	-0.87897028	3.365428544	-4.120921974	6.6059E-05	0.025288884	1.115951936	19
ENSG00000166800	LDHAL6A	-0.747494932	2.018829517	-4.154814005	5.79644E-05	0.023008135	1.09658869	11
ENSG00000235890	TSPEAR-AS1	-0.820735162	4.299410894	-4.091943793	7.38278E-05	0.026900893	1.072911017	21
ENSG00000081248	CACNA1S	-1.089508822	4.404466903	-4.078016182	7.78656E-05	0.028034389	1.026866035	1
ENSG00000186472	PCLO	-0.793276475	6.075920269	-4.018109989	9.77683E-05	0.034381484	0.877800022	7
ENSG00000224060	ARSEP1	0.599398622	0.374344172	4.128043418	6.76638E-05	0.025579454	0.792612293	Y
ENSG00000178776	C5orf46	1.336812296	7.831244806	3.979716169	0.000112986	0.037966978	0.772671091	5
ENSG00000182162	P2RY8	0.723493351	7.769275479	3.963748243	0.000119958	0.039867013	0.723107999	X
ENSG00000249721	RP11-83M16.4	-1.033435114	2.519687894	-3.99478225	0.000106763	0.036691214	0.59185909	5
ENSG00000251320	CTC-327F10.4	1.342492127	5.811134343	3.942236258	0.000130003	0.041826263	0.586093593	5
ENSG00000182912	C21orf90	-0.834999911	4.454464495	-3.949872945	0.000126348	0.041389068	0.575451941	21
