ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000233864	TTTY15	7.215736802	4.951455912	79.64195329	3.5006E-135	5.2935E-131	279.2333147	Y
ENSG00000012817	KDM5D	9.978969311	9.156159544	80.34071268	8.3955E-136	2.5391E-131	274.6480368	Y
ENSG00000129824	RPS4Y1	9.509250603	9.729166625	77.26903749	4.8881E-133	4.9277E-129	268.245106	Y
ENSG00000260197	RP11-424G14.1	8.294884733	5.722056955	70.88662138	6.0638E-127	3.6677E-123	264.2664927	Y
ENSG00000114374	USP9Y	9.363802307	7.918978765	71.37540205	1.9871E-127	1.5024E-123	262.3683337	Y
ENSG00000176728	TTTY14	7.363588116	5.119772647	68.09067906	4.1293E-124	1.784E-120	258.9943265	Y
ENSG00000099725	PRKY	5.967774132	3.949431688	71.70038993	1.7664E-124	8.9037E-121	258.974948	Y
ENSG00000131002	TXLNG2P	9.563048019	7.951148697	67.39780697	2.1613E-123	7.2627E-120	255.3404022	Y
ENSG00000067048	DDX3Y	9.855917168	9.098082629	67.6219075	1.2632E-123	4.7753E-120	253.763507	Y
ENSG00000183878	UTY	8.826367789	6.766359774	65.12182539	5.5623E-121	1.6822E-117	252.7997742	Y
ENSG00000067646	ZFY	8.498111359	6.334597781	63.36911428	4.5215E-119	1.1395E-115	249.5155906	Y
ENSG00000198692	EIF1AY	8.982375416	6.987101045	63.51670622	3.1087E-119	8.5469E-116	249.1559199	Y
ENSG00000154620	TMSB4Y	5.657540921	3.818845428	62.92587649	1.3346E-117	3.1049E-114	246.8720431	Y
ENSG00000165246	NLGN4Y	8.37404766	6.132073219	53.39737921	3.4507E-107	7.4542E-104	226.0293874	Y
ENSG00000229807	XIST	-8.863740319	8.015752592	-50.15528614	6.8036E-103	1.37173E-99	212.5925994	X
ENSG00000229236	TTTY10	4.011896458	2.610626442	52.34090104	7.13595E-100	1.34883E-96	210.2613619	Y
ENSG00000233070	ZFY-AS1	3.723741621	2.461178798	48.31876492	5.11325E-98	9.09648E-95	207.8842533	Y
ENSG00000241859	KALP	4.004111231	2.523850967	40.93638655	1.66815E-82	2.80277E-79	172.3701715	Y
ENSG00000231535	LINC00278	3.043301724	1.932364687	22.19370911	6.76679E-49	1.07709E-45	100.0350186	Y
ENSG00000215580	BCORP1	3.110942316	2.08563978	21.61833193	9.576E-49	1.44803E-45	99.92782487	Y
ENSG00000169953	HSFY2	2.830556501	1.84280911	21.58681173	2.16144E-48	3.11278E-45	99.10084596	Y
ENSG00000147050	KDM6A	-0.647261031	10.42231075	-16.68849947	1.78909E-37	2.45942E-34	73.88074039	X
ENSG00000099715	PCDH11Y	2.959689396	2.15727085	14.0606723	8.59824E-30	1.08349E-26	57.08933899	Y
ENSG00000227289	HSFY3P	1.875172122	1.207203692	12.45486202	6.94133E-25	7.49738E-22	45.96256597	Y
ENSG00000092377	TBL1Y	2.209191646	1.537730843	11.63387451	5.59296E-23	5.83268E-20	41.61369185	Y
ENSG00000130021	HDHD1	-0.606610803	8.76153597	-11.01533747	1.41199E-21	1.42343E-18	38.32397097	X
ENSG00000270223	RP13-36G14.4	-0.646001979	6.443585007	-8.112593749	1.0038E-13	9.19941E-11	20.73314849	X
ENSG00000206159	GYG2P1	1.388075324	1.06820507	7.855682223	5.49348E-13	4.88645E-10	18.88848304	Y
ENSG00000225490	RP4-610C12.3	1.337252335	4.064065236	7.670416897	1.3293E-12	1.11672E-09	18.17602863	20
ENSG00000255346	NOX5	0.955747411	5.235697053	6.284702378	2.73452E-09	1.92325E-06	10.79350099	15
ENSG00000163618	CADPS	0.985292223	6.396523796	6.118756083	6.44715E-09	4.43139E-06	9.991492399	3
ENSG00000149968	MMP3	1.947265204	4.918946905	6.087686062	7.55891E-09	5.08009E-06	9.788604883	11
ENSG00000228906	RP13-216E22.4	-0.936900149	3.955340079	-6.018232543	1.07684E-08	7.07977E-06	9.438832521	X
ENSG00000273203	AC006946.16	0.819858888	5.12963636	5.98180324	1.29523E-08	8.33436E-06	9.284928346	22
ENSG00000205611	RP4-610C12.4	1.047680161	3.288523957	5.338198216	3.01275E-07	0.000182229	6.155545835	20
ENSG00000230663	FAM224B	0.703560401	0.475296394	4.99796736	1.59836E-06	0.0009296	4.365097422	Y
ENSG00000258484	SPESP1	0.647207389	6.288681911	4.826220637	3.11171E-06	0.001726542	4.057516102	15
ENSG00000256513	RP11-977P2.1	-1.08731295	1.49214143	-4.826196958	3.13989E-06	0.001726542	3.740198278	12
ENSG00000172460	PRSS30P	-0.848793008	4.607259825	-4.731633892	4.70678E-06	0.002541913	3.616697668	16
ENSG00000080007	DDX43	0.725247123	6.433407906	4.678773781	5.91687E-06	0.003139368	3.449290536	6
ENSG00000140287	HDC	1.143450545	8.580239861	4.558963931	9.8726E-06	0.005060628	2.992390918	15
ENSG00000184895	SRY	0.60752748	0.475469533	4.647335203	6.77367E-06	0.003532	2.828355121	Y
ENSG00000120907	ADRA1A	0.88165076	6.575233559	4.459443007	1.49981E-05	0.007317648	2.568375721	8
ENSG00000196433	ASMT	-0.786777788	3.756227859	-4.333701994	2.52009E-05	0.011849166	1.980191246	X
ENSG00000237438	CECR7	0.632133931	6.285290161	4.259525181	3.40573E-05	0.015373077	1.785527927	22
ENSG00000132204	LINC00470	0.980111146	1.84556303	4.202113718	4.28874E-05	0.018529203	1.22242123	18
ENSG00000212766	LINC00277	0.715516939	2.585036653	4.144201258	5.3992E-05	0.022065965	1.130336461	15
ENSG00000198848	CES1	-0.697886504	11.09058049	-4.070522134	7.21275E-05	0.027731116	1.094467037	16
ENSG00000261600	RP11-575H3.1	-0.784791035	3.504680679	-4.068608511	7.26684E-05	0.027731116	0.962132171	2
ENSG00000130487	KLHDC7B	0.824411977	3.967890981	3.999373499	9.50593E-05	0.03422475	0.713097151	22
ENSG00000260765	CES1P2	-0.718779864	5.815131162	-3.957975268	0.000111441	0.038784885	0.666312324	16
ENSG00000258810	RP11-219E7.1	-0.638216985	1.322106355	-3.957667432	0.000111572	0.038784885	0.285012017	14
ENSG00000264707	RP11-760N9.1	-0.662364834	1.172477486	-3.875790645	0.000152253	0.049511711	-0.032002873	18
