ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.833042144	5.476519053	90.95555075	5.7876E-170	1.7503E-165	357.0292918	Y
ENSG00000114374	USP9Y	8.794750879	8.00503596	88.48165582	1.5875E-167	2.4006E-163	347.5219796	Y
ENSG00000129824	RPS4Y1	8.950064671	9.729672212	84.62055739	1.3752E-163	1.3864E-159	336.1994856	Y
ENSG00000233864	TTTY15	6.916872722	4.890837151	79.789494	2.0469E-158	1.2381E-154	335.6107078	Y
ENSG00000067048	DDX3Y	8.700424864	9.04277472	80.52616633	3.1887E-159	2.4109E-155	329.665902	Y
ENSG00000099725	PRKY	6.883498273	4.781389177	77.68233132	5.2442E-155	2.6433E-151	328.5712995	Y
ENSG00000260197	RP11-424G14.1	6.99105103	4.917145103	76.543388	9.0022E-155	3.8893E-151	328.5603495	Y
ENSG00000198692	EIF1AY	10.54848832	8.321766383	74.10131872	6.1855E-152	2.0785E-148	322.432035	Y
ENSG00000012817	KDM5D	9.019877645	8.781761838	73.12169083	8.9926E-151	2.7196E-147	315.4388408	Y
ENSG00000229807	XIST	-9.138082816	7.704253074	-74.72419491	1.1471E-152	4.3364E-149	315.2072716	X
ENSG00000131002	TXLNG2P	8.787990756	7.966969532	67.52131684	7.7457E-144	2.1296E-140	303.7245284	Y
ENSG00000067646	ZFY	7.832000793	6.115845104	62.2661046	7.7965E-137	1.9649E-133	292.7729024	Y
ENSG00000183878	UTY	8.059674219	6.92885701	61.93781871	2.2226E-136	5.1706E-133	290.1865417	Y
ENSG00000229236	TTTY10	5.341628294	3.492230378	64.51031066	9.8358E-128	2.1247E-124	269.6212106	Y
ENSG00000154620	TMSB4Y	4.934899833	3.44261624	53.89569714	9.8324E-124	1.9824E-120	266.1490007	Y
ENSG00000233070	ZFY-AS1	2.948160833	2.070499557	38.59084907	1.419E-94	2.68218E-91	203.4136602	Y
ENSG00000165246	NLGN4Y	5.530439146	4.793160754	36.34171191	2.96986E-92	5.28337E-89	197.4527896	Y
ENSG00000241859	KALP	3.030285074	2.053910886	32.62820823	1.13304E-80	1.9037E-77	172.2150693	Y
ENSG00000206159	GYG2P1	3.599161579	2.349217055	28.97901169	1.1731E-70	1.86727E-67	149.0899175	Y
ENSG00000215580	BCORP1	2.833749157	1.979936626	24.41866886	1.28305E-61	1.94016E-58	129.4399361	Y
ENSG00000147050	KDM6A	-0.65850218	10.00878686	-15.5035291	1.38737E-36	1.90719E-33	72.09239479	X
ENSG00000169953	HSFY2	2.131622325	1.469291402	15.56921996	1.20957E-35	1.52421E-32	70.39806136	Y
ENSG00000225470	JPX	-0.640343722	8.829461413	-15.23320566	9.82688E-36	1.29215E-32	70.15403133	X
ENSG00000231535	LINC00278	1.868431995	1.25520926	15.11014678	1.70529E-34	2.06292E-31	67.77585724	Y
ENSG00000099715	PCDH11Y	1.796814963	1.393564609	11.52849109	9.92803E-24	1.07233E-20	43.2304364	Y
ENSG00000092377	TBL1Y	1.850928647	1.249905952	11.53272529	1.08657E-23	1.13314E-20	43.14625672	Y
ENSG00000258484	SPESP1	0.866741019	6.765453695	6.957371593	4.38759E-11	3.49194E-08	14.77588806	15
ENSG00000225490	RP4-610C12.3	1.184209292	2.412219076	6.641359161	2.64209E-10	2.04884E-07	12.79471171	20
ENSG00000141404	GNAL	0.665456802	5.842226361	6.466542315	6.97868E-10	5.02515E-07	12.07403585	18
ENSG00000177359	RP11-551L14.1	2.011545088	7.34830393	6.454349195	7.46335E-10	5.24917E-07	12.02878435	12
ENSG00000080007	DDX43	0.983627159	5.332711482	6.16004442	3.68282E-09	2.4751E-06	10.44388642	6
ENSG00000237438	CECR7	0.771596053	6.60720592	5.751300403	3.11752E-08	2.04586E-05	8.420438351	22
