ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000233864	TTTY15	7.868279101	5.481288438	116.3429662	2.417E-282	7.3097E-278	615.1570178	Y
ENSG00000176728	TTTY14	6.899778595	4.88266922	117.3683978	2.8143E-281	4.2556E-277	612.9253371	Y
ENSG00000260197	RP11-424G14.1	7.370158471	5.284147541	114.66074	3.5154E-280	3.5439E-276	611.0834081	Y
ENSG00000099725	PRKY	6.937619911	4.909796325	114.7321215	2.3473E-277	1.7747E-273	604.7489819	Y
ENSG00000129824	RPS4Y1	9.412617591	9.889604617	108.3517006	8.5865E-272	5.1936E-268	584.6944237	Y
ENSG00000012817	KDM5D	9.655115863	9.067891088	97.32873707	5.7128E-256	2.8796E-252	555.8503328	Y
ENSG00000114374	USP9Y	9.177314892	8.200810399	95.71683706	1.6201E-253	6.9997E-250	552.2305539	Y
ENSG00000183878	UTY	9.111647219	7.285826691	93.81479021	1.4238E-250	5.3824E-247	548.9920966	Y
ENSG00000067048	DDX3Y	9.55067529	9.381303771	93.07054649	2.0911E-249	7.0268E-246	541.7479217	Y
ENSG00000067646	ZFY	8.274952263	6.168082877	90.2865641	5.796E-245	1.5935E-241	537.9302372	Y
ENSG00000131002	TXLNG2P	9.503456969	8.281626018	90.68087155	1.3375E-245	4.0449E-242	536.4183276	Y
ENSG00000198692	EIF1AY	8.562911633	6.939306547	79.59144682	1.2077E-226	3.0436E-223	498.3627647	Y
ENSG00000154620	TMSB4Y	5.424156845	3.652910885	85.44823944	7.9117E-222	1.8406E-218	485.0636016	Y
ENSG00000215580	BCORP1	5.599150822	3.827985166	77.66683194	1.5376E-210	3.3215E-207	462.4259855	Y
ENSG00000165246	NLGN4Y	6.480891945	5.000961106	65.09125065	6.0194E-198	1.1378E-194	437.1069011	Y
ENSG00000229807	XIST	-9.96869137	7.090668076	-65.38707223	1.3838E-198	2.7899E-195	433.4213038	X
ENSG00000231535	LINC00278	3.56327839	2.379462357	58.24788607	5.1734E-173	9.2035E-170	381.051171	Y
ENSG00000233070	ZFY-AS1	3.153851379	2.189385519	49.08402641	1.1688E-157	1.9638E-154	348.241413	Y
ENSG00000229236	TTTY10	3.67003866	2.436950342	50.12261112	1.0839E-150	1.7253E-147	331.1459648	Y
ENSG00000241859	KALP	3.527204504	2.405132419	48.18835554	2.6433E-150	3.9971E-147	330.8700817	Y
ENSG00000206159	GYG2P1	4.394653098	2.705321387	38.91032073	1.2051E-119	1.7354E-116	260.810671	Y
ENSG00000092377	TBL1Y	3.843071671	2.464489732	31.30201128	8.09056E-98	1.11219E-94	211.8550657	Y
ENSG00000198034	RPS4X	-0.59158491	15.13115679	-19.35891928	2.56153E-57	3.36819E-54	119.4605893	X
ENSG00000147050	KDM6A	-0.639768505	10.72417533	-18.27853511	6.52564E-53	8.22312E-50	109.3972755	X
ENSG00000099715	PCDH11Y	2.05270992	1.812371049	17.42425132	1.97628E-49	2.39074E-46	101.7163429	Y
ENSG00000130021	HDHD1	-0.807516423	8.89847433	-16.09793023	4.73028E-44	5.10921E-41	89.27518077	X
ENSG00000230663	FAM224B	1.954047985	1.244730853	14.44914786	1.96487E-36	1.98078E-33	72.05018155	Y
ENSG00000224060	ARSEP1	2.258142199	1.582701524	13.20346731	6.94478E-32	6.56347E-29	61.64637893	Y
ENSG00000225490	RP4-610C12.3	1.520136522	3.025985461	11.55706773	2.1326E-26	1.74314E-23	49.1194888	20
ENSG00000234795	RFTN1P1	1.760700862	1.001634242	11.5338462	9.03635E-26	7.19174E-23	47.70952206	Y
ENSG00000169953	HSFY2	1.314270349	0.879027604	11.20815692	1.20498E-24	9.34419E-22	45.09562672	Y
ENSG00000227289	HSFY3P	1.032436281	0.728148506	10.18228778	2.61905E-21	1.84204E-18	37.39418724	Y
ENSG00000205611	RP4-610C12.4	1.202926395	2.653976896	8.717888823	1.14762E-16	7.38458E-14	26.94882318	20
ENSG00000080007	DDX43	1.07843973	6.032185862	8.465564049	7.04456E-16	4.43851E-13	25.34406346	6
ENSG00000184895	SRY	1.012269577	0.652627445	8.447208142	1.17358E-15	7.24335E-13	24.59701943	Y
ENSG00000102055	PPP1R2P9	-0.5968708	0.372541462	-7.886124432	4.35388E-14	2.48442E-11	20.88004807	X
ENSG00000258484	SPESP1	0.766717064	5.447190183	7.791159542	7.58955E-14	4.17328E-11	20.73881224	15
ENSG00000255346	NOX5	0.859398806	4.382385415	7.119871082	6.14607E-12	3.15043E-09	16.39072623	15
ENSG00000226918	AC010086.1	0.59546106	0.438943825	6.925794434	2.44629E-11	1.21284E-08	14.77194334	Y
ENSG00000237438	CECR7	0.67564818	4.415158005	6.82738355	3.81841E-11	1.86258E-08	14.60946685	22
ENSG00000261600	RP11-575H3.1	-1.043805929	3.545323355	-6.810304109	4.24094E-11	2.03585E-08	14.48975858	2
