ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000092377	TBL1Y	5.472865708	3.428860992	87.02288404	1.0318E-150	1.5603E-146	315.622244	Y
ENSG00000129824	RPS4Y1	10.05240613	9.909582305	86.28138088	3.022E-151	9.1395E-147	309.0283431	Y
ENSG00000154620	TMSB4Y	5.715570498	3.59106122	79.65052062	5.3766E-145	5.4202E-141	305.5217995	Y
ENSG00000233864	TTTY15	7.967387626	5.183912849	76.8508984	3.299E-142	2.4943E-138	299.4555293	Y
ENSG00000176728	TTTY14	7.127003804	4.633683829	75.66970461	5.2891E-141	3.1992E-137	296.84646	Y
ENSG00000131002	TXLNG2P	10.34778849	8.339352097	73.64130228	6.8296E-139	3.4425E-135	290.8348281	Y
ENSG00000012817	KDM5D	9.813905281	8.84153082	73.08389215	2.6548E-138	1.147E-134	287.9287412	Y
ENSG00000099725	PRKY	6.125150191	3.966952467	67.38914137	5.0135E-132	1.8953E-128	280.0154848	Y
ENSG00000260197	RP11-424G14.1	6.653475502	4.299490141	66.70081735	3.1026E-131	1.0426E-127	278.1599977	Y
ENSG00000183878	UTY	8.727486051	6.545392024	62.57227442	2.5302E-126	6.9564E-123	268.1264657	Y
ENSG00000114374	USP9Y	9.908239913	7.966078304	62.91147826	9.7414E-127	2.9461E-123	267.6112985	Y
ENSG00000233070	ZFY-AS1	5.876737945	3.673292592	60.61871358	6.7773E-124	1.708E-120	263.9559776	Y
ENSG00000067048	DDX3Y	8.874469454	8.351334544	59.89853004	5.5465E-123	1.2903E-119	258.5586343	Y
ENSG00000229807	XIST	-10.0637931	8.049028438	-59.86319099	6.1528E-123	1.3291E-119	257.3355294	X
ENSG00000241859	KALP	4.30831652	2.667372031	60.6628237	2.3761E-119	4.7907E-116	254.2448428	Y
ENSG00000206159	GYG2P1	4.597299199	2.915249012	56.72230088	2.0941E-118	3.7254E-115	253.1067689	Y
ENSG00000198692	EIF1AY	8.189334686	6.215604566	56.7358455	7.4825E-119	1.4143E-115	252.9240966	Y
ENSG00000067646	ZFY	7.92004484	5.785911556	56.32523835	2.6624E-118	4.4733E-115	252.0853552	Y
ENSG00000165246	NLGN4Y	5.619903732	4.134902312	42.76012448	9.01668E-98	1.43522E-94	208.8580761	Y
ENSG00000147050	KDM6A	-0.817607766	10.50818286	-31.16030688	1.74348E-75	2.6364E-72	158.2226061	X
ENSG00000215580	BCORP1	3.338095265	2.089415261	30.04763443	1.61819E-70	2.33043E-67	149.0639043	Y
ENSG00000229236	TTTY10	2.681139728	1.70454489	25.05463246	1.39504E-59	1.91774E-56	124.6549084	Y
ENSG00000130021	HDHD1	-0.716619077	8.506126589	-13.94557209	1.1448E-30	1.38489E-27	58.83224036	X
ENSG00000225470	JPX	-0.600624113	8.947369457	-13.43007694	3.87461E-29	4.33999E-26	55.40104316	X
ENSG00000231535	LINC00278	1.603383448	1.035822849	12.10170617	1.13531E-24	1.10758E-21	45.40476637	Y
ENSG00000006757	PNPLA4	-0.611410048	9.292004763	-8.969649256	3.3021E-16	2.93722E-13	26.28348512	X
ENSG00000225490	RP4-610C12.3	1.62924984	3.417258823	8.630114628	2.78328E-15	2.40499E-12	24.13952676	20
ENSG00000205611	RP4-610C12.4	1.813327488	3.556039319	8.399347526	1.16301E-14	9.77023E-12	22.73952969	20
ENSG00000270223	RP13-36G14.4	-0.624817238	5.483843152	-8.312324571	1.98583E-14	1.62318E-11	22.27503539	X
ENSG00000011201	KAL1	0.871154356	5.031241405	7.733716109	6.53424E-13	5.06706E-10	18.85010646	X
ENSG00000234795	RFTN1P1	1.264349421	0.872555316	7.57322082	1.80968E-12	1.33488E-09	17.5518398	Y
ENSG00000121410	A1BG	-0.734732538	7.268680469	-6.651921898	3.17598E-10	2.21387E-07	12.86993623	19
ENSG00000184895	SRY	0.8837417	0.592754083	6.687940299	3.22092E-10	2.21387E-07	12.51672104	Y
ENSG00000227289	HSFY3P	0.777548544	0.517874488	6.671111602	3.38947E-10	2.27795E-07	12.45123441	Y
ENSG00000080007	DDX43	1.346898401	5.751991106	6.430784809	1.05505E-09	6.7889E-07	11.67332549	6
ENSG00000268230	CTD-2619J13.8	-0.600302781	7.570404583	-6.246505477	2.81687E-09	1.73858E-06	10.75706269	19
ENSG00000237438	CECR7	0.996824279	3.737784866	6.120891969	5.44716E-09	3.23017E-06	10.00157461	22
ENSG00000203907	OOEP	1.214500776	2.951883376	6.056626858	7.60871E-09	4.4252E-06	9.606189258	6
ENSG00000230663	FAM224B	0.769032827	0.528341669	5.882180934	1.96644E-08	1.06199E-05	8.430767964	Y
ENSG00000258484	SPESP1	1.02597683	4.482158537	5.741808733	3.78735E-08	1.97484E-05	8.16201179	15
ENSG00000120054	CPN1	-0.924533349	1.329241343	-5.413732563	1.90077E-07	9.42379E-05	6.311968725	10
ENSG00000180438	TPRXL	0.83691635	1.552019771	5.234980965	4.47907E-07	0.000218485	5.472466142	3
ENSG00000273203	AC006946.16	0.870262335	2.26468443	5.170412665	6.03476E-07	0.000289697	5.298099773	22
ENSG00000100181	TPTEP1	0.807772621	8.761100064	4.980355022	1.45056E-06	0.000685455	4.738904408	22
ENSG00000255346	NOX5	0.896288851	3.267323889	4.833086901	2.81714E-06	0.001271623	3.936809921	15
ENSG00000066735	KIF26A	-0.587567057	10.00202433	-4.73506542	4.34807E-06	0.001905779	3.671535021	14
ENSG00000143869	GDF7	-0.872016032	4.639425721	-4.562908298	9.17618E-06	0.003908663	2.909749896	2
ENSG00000185559	DLK1	-0.73813186	9.514727909	-4.471156176	1.35518E-05	0.005225831	2.59557667	14
ENSG00000187715	KBTBD12	0.722257028	8.710459156	4.436915896	1.56514E-05	0.005843774	2.473268184	3
