ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	8.967296627	10.15542189	114.9733898	4.5263E-122	1.3689E-117	227.1163415	Y
ENSG00000176728	TTTY14	7.806421225	5.804074119	92.28676999	1.3715E-109	2.0739E-105	218.6147401	Y
ENSG00000233864	TTTY15	8.538669734	6.446939151	87.70745853	1.7231E-108	1.7371E-104	218.0649365	Y
ENSG00000260197	RP11-424G14.1	7.795376535	5.813713534	87.11952556	1.8666E-107	1.4113E-103	215.9950829	Y
ENSG00000114374	USP9Y	10.48425204	9.216268603	81.63653163	6.5887E-105	3.321E-101	209.6600062	Y
ENSG00000067048	DDX3Y	9.983953977	9.947623771	82.91243301	1.1091E-105	6.7084E-102	208.1930064	Y
ENSG00000183878	UTY	9.463617969	7.680617862	74.45002213	2.55867E-100	1.10545E-96	204.4378716	Y
ENSG00000165246	NLGN4Y	8.475759564	6.707457477	69.60287357	5.62385E-97	1.8898E-93	198.6488531	Y
ENSG00000198692	EIF1AY	9.462573078	7.823796053	69.77794186	4.22191E-97	1.59604E-93	198.533608	Y
ENSG00000131002	TXLNG2P	10.20076272	8.984476948	67.15000323	3.36385E-95	1.01733E-91	193.5733924	Y
ENSG00000154620	TMSB4Y	6.323472937	4.720944561	63.68533682	1.39477E-92	3.51518E-89	191.3846036	Y
ENSG00000012817	KDM5D	9.660622695	9.7111999	65.94629297	2.63914E-94	7.25596E-91	190.045913	Y
ENSG00000067646	ZFY	8.053255938	6.642686436	58.67974319	1.49305E-88	3.4734E-85	183.1013316	Y
ENSG00000241859	KALP	4.249978489	3.097959673	42.72724533	5.2474E-69	1.13355E-65	142.379105	Y
ENSG00000229807	XIST	-11.46049974	7.062993666	-38.22396501	6.79199E-68	1.3694E-64	138.8937405	X
ENSG00000229236	TTTY10	4.256745842	3.028516716	38.5106261	4.33267E-64	8.18957E-61	132.0400048	Y
ENSG00000099725	PRKY	4.597698074	3.463027342	31.00806864	4.72691E-57	8.40917E-54	118.0443959	Y
ENSG00000233070	ZFY-AS1	2.991458899	2.156382355	24.06629482	9.95486E-45	1.67258E-41	90.53852257	Y
ENSG00000092377	TBL1Y	2.600255395	1.920341577	20.47643553	2.67277E-39	4.25435E-36	78.68414116	Y
ENSG00000231535	LINC00278	2.656312529	1.94938497	19.71213208	1.51627E-37	2.29283E-34	74.66985287	Y
ENSG00000215580	BCORP1	4.098991571	2.890300204	19.1624609	7.02217E-36	1.01129E-32	70.6088133	Y
ENSG00000169953	HSFY2	3.145270794	2.165475278	18.78576247	1.03636E-34	1.42467E-31	67.86048118	Y
ENSG00000099715	PCDH11Y	3.469672017	3.519668824	17.34263832	4.14709E-34	5.45306E-31	66.96824988	Y
ENSG00000206159	GYG2P1	2.710522734	1.898468426	15.36955294	1.01004E-28	1.27277E-25	54.7412985	Y
ENSG00000147050	KDM6A	-0.758203174	10.54166091	-14.05811715	6.98544E-27	8.45042E-24	50.2908348	X
ENSG00000215301	DDX3X	-0.721116548	13.59363141	-13.59768581	7.91385E-26	9.20533E-23	47.97669197	X
ENSG00000002586	CD99	0.997599409	12.5874313	13.43668528	1.85799E-25	2.08116E-22	47.12634399	X
ENSG00000227289	HSFY3P	2.207846254	1.59718685	11.66605172	6.84694E-21	7.39542E-18	36.99301182	Y
ENSG00000184895	SRY	2.48725479	1.743037424	10.4574339	8.03446E-18	8.37884E-15	30.06257857	Y
ENSG00000225470	JPX	-0.754955386	10.37090913	-9.790491907	6.86208E-17	6.91766E-14	27.90549511	X
ENSG00000270223	RP13-36G14.4	-0.690940064	6.810047962	-9.466773995	3.9729E-16	3.87588E-13	26.19856819	X
ENSG00000261788	RP11-480G7.1	2.069779506	4.27000497	8.541365378	5.75383E-14	5.27312E-11	21.29798431	16
ENSG00000259527	LINC00052	2.543311756	3.88396618	8.205486226	3.41777E-13	2.95325E-10	19.52619307	15
ENSG00000164120	HPGD	1.783517583	7.205550622	8.189925427	3.71037E-13	3.11702E-10	19.51488506	4
ENSG00000005889	ZFX	-0.630740457	10.45066666	-8.159233319	4.36247E-13	3.56579E-10	19.36900513	X
ENSG00000225490	RP4-610C12.3	2.234834604	5.157783854	7.843267125	2.28889E-12	1.82165E-09	17.70577641	20
ENSG00000062524	LTK	-1.466852738	6.232944642	-7.792294679	2.9856E-12	2.25734E-09	17.48277868	15
ENSG00000205611	RP4-610C12.4	2.277683233	5.885953789	7.05980716	1.27943E-10	9.21284E-08	13.78943945	20
ENSG00000164690	SHH	-2.332402422	3.446190179	-6.937776909	2.36286E-10	1.588E-07	13.17754635	7
ENSG00000140795	MYLK3	1.623700757	4.090604807	6.942674029	2.30557E-10	1.58472E-07	13.17198734	16
ENSG00000171487	NLRP5	2.363493325	2.536654891	6.952798127	2.19147E-10	1.54132E-07	13.09837335	19
ENSG00000101197	BIRC7	1.551459194	3.27720866	6.4191427	3.05464E-09	2.00829E-06	10.61013474	20
ENSG00000256654	RP11-429A20.4	1.640148215	4.952618102	5.980123462	2.48897E-08	1.5682E-05	8.643952616	12
