ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.887876997	4.784826219	85.04488612	1.4028E-153	4.2426E-149	315.2286126	Y
ENSG00000129824	RPS4Y1	9.75808277	9.394738083	77.49242761	8.1924E-149	1.2388E-144	300.8963463	Y
ENSG00000154620	TMSB4Y	5.427717567	3.297129749	73.49521468	2.2522E-142	2.2704E-138	298.0283577	Y
ENSG00000099725	PRKY	6.213135126	3.858466088	68.54713277	9.2915E-139	5.62E-135	291.2242192	Y
ENSG00000067048	DDX3Y	9.226085324	8.409693574	71.16788852	7.9773E-142	6.0315E-138	290.3343009	Y
ENSG00000012817	KDM5D	9.605303824	8.429160797	67.58887336	1.307E-137	6.5877E-134	283.3245262	Y
ENSG00000233864	TTTY15	7.405879501	4.637636632	62.59404892	2.2569E-131	8.5318E-128	276.1564196	Y
ENSG00000131002	TXLNG2P	9.865676393	7.632534392	62.68643012	1.7143E-131	7.4067E-128	274.1997428	Y
ENSG00000198692	EIF1AY	8.472539961	6.221814402	58.57632919	5.0922E-126	1.54E-122	264.9405793	Y
ENSG00000114374	USP9Y	9.167438064	7.248787646	58.85758825	2.0969E-126	7.0464E-123	264.310126	Y
ENSG00000067646	ZFY	8.213482789	5.604100175	56.56776512	3.2179E-123	8.8471E-120	260.0635275	Y
ENSG00000260197	RP11-424G14.1	7.258842191	4.581898251	56.89579901	7.6355E-123	1.9243E-119	259.0567733	Y
ENSG00000229807	XIST	-9.662372662	8.069325989	-55.6667721	6.2034E-122	1.4431E-118	252.1775124	X
ENSG00000183878	UTY	8.788709675	6.292552769	52.79920933	1.0184E-117	2.2E-114	248.6997117	Y
ENSG00000215580	BCORP1	4.41238138	2.577659372	39.58896303	2.60994E-87	5.26216E-84	184.1402367	Y
ENSG00000241859	KALP	3.173052615	1.929813999	34.94500233	8.59071E-82	1.6238E-78	173.6954249	Y
ENSG00000165246	NLGN4Y	6.348270302	4.367675569	32.8963648	1.14207E-81	2.03174E-78	172.865622	Y
ENSG00000233070	ZFY-AS1	2.929607508	1.754405429	32.98825518	1.23929E-78	2.08221E-75	166.9349564	Y
ENSG00000099715	PCDH11Y	3.699908667	2.402614762	27.44925362	4.33239E-67	6.89602E-64	141.0981673	Y
ENSG00000092377	TBL1Y	4.470814472	2.596738723	22.75727929	2.70515E-53	4.09059E-50	109.8393256	Y
ENSG00000229236	TTTY10	2.96927215	1.732570456	21.63435082	8.71958E-51	1.25574E-47	104.4766175	Y
ENSG00000206159	GYG2P1	5.373518018	3.04429122	19.73925141	1.74935E-45	2.40479E-42	92.23021455	Y
ENSG00000231535	LINC00278	2.198097552	1.37576198	18.72827291	4.22943E-44	5.56133E-41	89.59417317	Y
ENSG00000188120	DAZ1	4.6932355	2.632967194	16.32071045	5.20355E-36	6.29484E-33	70.96408297	Y
ENSG00000205944	DAZ2	4.196246976	2.304785661	14.5988909	5.05143E-31	5.65817E-28	59.73641135	Y
ENSG00000147050	KDM6A	-0.70104908	10.93152355	-12.07072859	1.95035E-25	2.03395E-22	46.91952068	X
ENSG00000205916	DAZ4	3.153028285	1.719838976	12.24526977	1.18142E-24	1.19099E-21	45.39909564	Y
ENSG00000130021	HDHD1	-0.947744246	9.450728009	-10.63591038	3.8409E-21	3.63001E-18	37.29673174	X
ENSG00000169953	HSFY2	1.671622313	0.951605992	10.82680763	4.47916E-21	4.10494E-18	37.26757722	Y
ENSG00000149531	FRG1B	0.604108962	8.488235137	8.880637542	4.2855E-16	3.70304E-13	26.00436385	20
ENSG00000224060	ARSEP1	1.177388607	0.941153176	8.847022307	6.9774E-16	5.8616E-13	25.35982626	Y
ENSG00000227289	HSFY3P	1.016824534	0.667728639	8.639454955	2.63351E-15	2.15257E-12	24.01770233	Y
ENSG00000101846	STS	-0.652211806	9.947126534	-8.066451013	7.12112E-14	5.66747E-11	21.04638024	X
ENSG00000225490	RP4-610C12.3	1.706858169	4.7366287	7.901198194	1.95552E-13	1.51643E-10	20.04792903	20
ENSG00000080007	DDX43	1.255643644	5.960703134	7.051333097	2.97414E-11	2.1416E-08	15.18696348	6
ENSG00000205611	RP4-610C12.4	1.490908107	4.536113055	6.589175494	3.99789E-10	2.68685E-07	12.63184477	20
ENSG00000258484	SPESP1	0.970680111	5.606787475	6.170196213	3.8463E-09	2.37395E-06	10.47877303	15
ENSG00000006757	PNPLA4	-0.639019075	9.382688142	-6.097711069	5.63718E-09	3.40971E-06	10.14705602	X
ENSG00000230663	FAM224B	0.634965811	0.410638102	5.678183015	5.49855E-08	3.1376E-05	7.490961873	Y
ENSG00000203907	OOEP	1.092246244	2.453059614	5.44913876	1.51095E-07	8.15992E-05	6.730101475	6
ENSG00000272769	RP11-725P16.2	0.837083157	3.975959832	5.348726161	2.45878E-07	0.000130458	6.408875176	2
ENSG00000244040	IL12A-AS1	1.097501522	2.112907499	5.058690988	9.68753E-07	0.000505138	4.888506964	3
ENSG00000238269	PAGE2B	0.673485815	1.186056795	4.968750629	1.46603E-06	0.000751475	4.305626538	X
ENSG00000255346	NOX5	0.700505521	4.941550473	4.54822252	9.47436E-06	0.004548145	2.971019692	15
ENSG00000143786	CNIH3	0.593404305	6.503470482	4.517464569	1.08089E-05	0.005029115	2.904309813	1
ENSG00000162009	SSTR5	-0.989468396	2.725125267	-4.455143939	1.40885E-05	0.006455731	2.447478363	16
ENSG00000229851	ARSD-AS1	-0.734332304	9.003442799	-4.32111919	2.46811E-05	0.010663303	2.152975676	X
ENSG00000185269	NOTUM	-1.157193908	3.670095266	-4.279698662	2.92755E-05	0.012128498	1.832443084	17
ENSG00000172460	PRSS30P	-0.720630462	5.255023936	-4.252385299	3.27419E-05	0.012859919	1.819373298	16
ENSG00000006756	ARSD	-0.785866823	12.00538766	-4.164040249	4.685E-05	0.017711059	1.529578616	X
ENSG00000137392	CLPS	-1.256846264	5.978964561	-4.037464637	7.75151E-05	0.028244432	1.035795277	6
ENSG00000182912	C21orf90	-0.71271975	5.41080011	-4.029294882	8.00436E-05	0.02881854	0.985067509	21
ENSG00000103154	NECAB2	-0.62299233	5.332211058	-3.962714162	0.000103787	0.035668525	0.737547277	16
