ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000260197	RP11-424G14.1	8.398064291	5.440701059	67.59261479	1.1664E-80	3.52755E-76	147.7508426	Y
ENSG00000067646	ZFY	8.731638101	5.973057326	57.97068547	6.57594E-77	9.94381E-73	146.0828332	Y
ENSG00000176728	TTTY14	6.876950444	4.608912925	57.932312	9.6455E-76	9.72363E-72	144.4934471	Y
ENSG00000233864	TTTY15	7.060578749	4.852460477	53.00935231	2.89274E-73	1.7497E-69	141.2936668	Y
ENSG00000129824	RPS4Y1	9.221619735	9.506387461	55.5718992	3.47782E-75	2.62949E-71	136.6279749	Y
ENSG00000183878	UTY	9.214870978	6.636085189	49.82913688	9.29801E-71	4.01714E-67	136.5138675	Y
ENSG00000099725	PRKY	6.372763002	4.23932989	47.10780258	1.71508E-68	5.18691E-65	134.0168841	Y
ENSG00000131002	TXLNG2P	10.14220087	8.309759646	48.15599915	2.22625E-69	8.41605E-66	131.7473445	Y
ENSG00000154620	TMSB4Y	6.496395211	4.014333074	56.54852831	2.3051E-71	1.16189E-67	131.6844314	Y
ENSG00000012817	KDM5D	10.56774714	9.146010574	47.9244638	3.48257E-69	1.17026E-65	130.3643252	Y
ENSG00000198692	EIF1AY	8.9939615	6.729643392	45.53963202	3.93758E-67	1.08258E-63	129.9217602	Y
ENSG00000114374	USP9Y	9.291491013	7.652981358	42.97324992	8.26755E-65	2.08363E-61	124.4763346	Y
ENSG00000067048	DDX3Y	9.650021537	8.820274154	41.46899891	2.17453E-63	5.05878E-60	120.7127334	Y
ENSG00000229807	XIST	-10.05138983	7.894912147	-35.11911409	7.66714E-57	1.65627E-53	107.8839929	X
ENSG00000241859	KALP	3.892178168	2.416980209	36.60179895	7.42596E-53	1.49722E-49	103.025304	Y
ENSG00000233070	ZFY-AS1	3.347714563	2.112158014	34.86547743	1.30357E-51	2.46398E-48	102.1140547	Y
ENSG00000165246	NLGN4Y	6.200736324	4.896249011	28.25374289	1.62562E-48	2.89198E-45	95.93754376	Y
ENSG00000231535	LINC00278	4.097492765	2.433336392	28.19026881	1.98236E-45	3.3307E-42	87.68259328	Y
ENSG00000215580	BCORP1	6.438434222	3.985805946	25.77410653	3.06755E-43	4.88273E-40	83.75401271	Y
ENSG00000099715	PCDH11Y	4.141989149	3.068283946	16.7514456	4.55579E-30	6.88904E-27	57.19805849	Y
ENSG00000229236	TTTY10	3.615732003	2.178101428	14.19240929	9.30391E-24	1.3399E-20	42.8042523	Y
ENSG00000206159	GYG2P1	5.72581842	3.050079953	14.07000126	2.63834E-23	3.62687E-20	41.04991318	Y
ENSG00000005889	ZFX	-0.668295819	10.81001577	-10.53392455	9.81778E-18	1.29095E-14	29.31855675	X
ENSG00000225470	JPX	-0.649287133	9.213258769	-10.13820258	6.97391E-17	8.788E-14	27.46304193	X
ENSG00000183146	CYorf17	4.515062773	2.316497332	9.965416565	1.34105E-15	1.62229E-12	24.80018459	Y
ENSG00000126012	KDM5C	-0.593015274	12.79444991	-8.636430096	1.19709E-13	1.39245E-10	20.47390777	X
ENSG00000092377	TBL1Y	2.083831174	1.307287704	7.27160979	1.73185E-10	1.87059E-07	13.6362543	Y
ENSG00000239893	ZNF736P9Y	2.438565011	1.235742769	7.133399966	3.58969E-10	3.74355E-07	12.95703495	Y
ENSG00000232634	NEFLP1	1.935829716	1.134870313	6.935877332	7.88271E-10	7.69022E-07	12.18246983	Y
ENSG00000198034	RPS4X	-0.638514579	15.35919796	-6.803368523	8.53875E-10	8.06992E-07	12.07123145	X
ENSG00000225490	RP4-610C12.3	1.298731068	4.457715501	6.449442345	4.43368E-09	3.94376E-06	10.51088758	20
ENSG00000226918	AC010086.1	3.414884695	1.948128562	6.470664732	7.32427E-09	6.3288E-06	10.06699854	Y
ENSG00000169249	ZRSR2	-0.64301405	9.821519276	-6.325840649	7.82416E-09	6.57295E-06	9.962207087	X
ENSG00000147050	KDM6A	-0.632511775	11.12350555	-6.263743547	1.0392E-08	8.49421E-06	9.695978025	X
ENSG00000270223	RP13-36G14.4	-0.781313562	5.794739508	-6.228302793	1.22136E-08	9.72041E-06	9.549860689	X
ENSG00000205611	RP4-610C12.4	1.390859845	4.136829367	6.156711153	1.69071E-08	1.31108E-05	9.222685871	20
ENSG00000227289	HSFY3P	1.32945396	0.830766159	5.959708824	5.78462E-08	4.26694E-05	7.92568012	Y
ENSG00000157828	RPS4Y2	1.78086405	1.010677779	5.706854911	1.69854E-07	0.000122307	6.964687141	Y
ENSG00000130021	HDHD1	-0.610595639	9.404816782	-5.441016591	3.99578E-07	0.000281033	6.253228475	X
ENSG00000230663	FAM224B	0.98985982	0.550285838	5.347509795	7.93791E-07	0.000533481	5.416459273	Y
ENSG00000205664	RP11-706O15.1	-0.641226243	7.632391542	-4.85263598	4.66979E-06	0.003070181	3.938270095	X
ENSG00000169953	HSFY2	1.148894342	0.722931177	4.527807338	2.18016E-05	0.013186931	2.259443736	Y
