ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000154620	TMSB4Y	6.568519904	4.442493023	120.4320983	6.4868E-282	6.5393E-278	614.0012895	Y
ENSG00000012817	KDM5D	9.246504135	8.971434727	120.5196688	1.1774E-285	3.561E-281	613.4780331	Y
ENSG00000067048	DDX3Y	9.371238433	9.286110711	120.2261695	2.6946E-285	4.0747E-281	612.0084586	Y
ENSG00000176728	TTTY14	6.864241658	4.757057126	106.345932	2.9092E-267	1.7597E-263	585.0348092	Y
ENSG00000129824	RPS4Y1	9.064784862	9.665286157	107.9434015	1.8989E-269	1.4357E-265	580.0303826	Y
ENSG00000260197	RP11-424G14.1	7.979666163	5.551277825	102.8244797	2.4661E-262	1.243E-258	574.8684823	Y
ENSG00000233864	TTTY15	7.560811197	5.371511649	90.66006401	5.2451E-244	1.9829E-240	536.4637854	Y
ENSG00000114374	USP9Y	9.022967725	7.90504614	90.73080585	4.0434E-244	1.7469E-240	533.7696077	Y
ENSG00000131002	TXLNG2P	9.100164951	8.086308446	87.12309051	2.9911E-238	1.0051E-234	521.2264058	Y
ENSG00000099725	PRKY	5.711391068	4.019151974	85.50829169	1.4965E-235	4.526E-232	519.4115468	Y
ENSG00000198692	EIF1AY	9.150507093	7.172528763	84.95854008	1.2724E-234	3.4983E-231	516.2365062	Y
ENSG00000183878	UTY	8.715501427	6.877505743	81.50943896	1.159E-228	2.9209E-225	503.4940187	Y
ENSG00000229236	TTTY10	4.035424132	2.750390434	76.91935695	2.2754E-220	4.9154E-217	488.001061	Y
ENSG00000067646	ZFY	8.49148978	6.374541898	77.03631435	1.3814E-220	3.2138E-217	486.5787415	Y
ENSG00000241859	KALP	3.827868431	2.622756177	71.81550958	3.2249E-210	6.5021E-207	465.761796	Y
ENSG00000165246	NLGN4Y	7.30266277	5.52260322	70.73002271	1.8368E-208	3.4719E-205	460.0296792	Y
ENSG00000233070	ZFY-AS1	4.305403759	2.937810055	66.36334029	1.4751E-193	2.6241E-190	427.7574957	Y
ENSG00000229807	XIST	-9.526220887	7.405036939	-62.23895208	1.4518E-190	2.4392E-187	416.7510846	X
ENSG00000231535	LINC00278	3.908307958	2.568419072	53.90636017	3.3041E-162	5.2592E-159	357.5825481	Y
ENSG00000099715	PCDH11Y	4.507312653	4.373294555	31.7852945	6.7919E-105	1.027E-101	228.2107191	Y
ENSG00000169953	HSFY2	2.405025504	1.673534689	30.72599777	6.52479E-99	9.39662E-96	214.9754637	Y
ENSG00000147050	KDM6A	-0.682068469	10.61460018	-24.48007073	1.21314E-77	1.66769E-74	165.5142195	X
ENSG00000005889	ZFX	-0.609127803	10.89627658	-22.36325351	2.81733E-69	3.70454E-66	146.5832649	X
ENSG00000215580	BCORP1	2.198558089	1.538989773	19.69782942	3.63568E-57	4.58141E-54	119.4630277	Y
ENSG00000092377	TBL1Y	1.702570107	1.281005989	16.00482113	2.66488E-43	2.7791E-40	87.65617924	Y
ENSG00000227289	HSFY3P	1.538031855	1.087891096	14.90706055	1.00476E-38	9.8022E-36	77.18668029	Y
ENSG00000206159	GYG2P1	1.626100834	1.196366802	14.61832407	1.72983E-37	1.53868E-34	74.36805841	Y
ENSG00000160111	CPAMD8	1.796186878	9.853323423	13.57825858	5.47285E-34	4.72901E-31	66.44507233	19
ENSG00000184895	SRY	1.398663701	1.038363656	13.20956954	2.19059E-32	1.79054E-29	62.62745279	Y
