ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000099725	PRKY	6.731447569	4.65416904	127.4412269	4.5171E-280	1.3661E-275	609.9894174	Y
ENSG00000129824	RPS4Y1	9.264319319	9.923968833	124.9319515	2.5874E-277	3.9125E-273	595.5170578	Y
ENSG00000176728	TTTY14	7.052848422	4.957791585	120.1644959	6.3445E-272	6.3959E-268	593.43059	Y
ENSG00000260197	RP11-424G14.1	7.599567064	5.334512698	118.650422	3.605E-270	2.7256E-266	589.560459	Y
ENSG00000154620	TMSB4Y	6.025504065	4.165701461	106.6015612	2.1438E-255	1.2967E-251	560.4728798	Y
ENSG00000012817	KDM5D	9.564670874	9.03367121	103.5950557	1.8372E-251	9.2603E-248	547.0927963	Y
ENSG00000233864	TTTY15	7.322150041	5.294407293	100.8933671	7.7828E-248	3.3625E-244	543.8698336	Y
ENSG00000067048	DDX3Y	9.147607761	9.041177681	97.62938037	2.4918E-243	9.4198E-240	530.0759504	Y
ENSG00000131002	TXLNG2P	9.257251449	8.315882671	96.16119819	2.9456E-241	9.8982E-238	527.1543105	Y
ENSG00000183878	UTY	9.102834357	7.248984169	95.22961342	6.3047E-240	1.9067E-236	526.5700616	Y
ENSG00000067646	ZFY	8.341349703	6.26960692	85.0517286	1.5062E-224	4.141E-221	494.487639	Y
ENSG00000114374	USP9Y	9.037499549	7.883162233	84.15415834	4.1126E-223	1.0365E-219	489.6708342	Y
ENSG00000198692	EIF1AY	8.395550622	6.820935748	80.98882116	6.2086E-218	1.4444E-214	479.676322	Y
ENSG00000229236	TTTY10	4.669847062	3.145828382	76.16354879	8.4855E-202	1.8331E-198	444.7527828	Y
ENSG00000165246	NLGN4Y	7.304306734	5.908312303	68.06748316	1.0383E-194	2.0933E-191	429.6121363	Y
ENSG00000231535	LINC00278	3.934621363	2.644536324	70.05609895	1.218E-191	2.3022E-188	422.7115745	Y
ENSG00000233070	ZFY-AS1	4.690002122	3.068972712	72.50904711	2.6909E-191	4.7871E-188	420.6627837	Y
ENSG00000229807	XIST	-7.879058261	9.205946561	-62.80997078	3.8776E-184	6.515E-181	403.2593625	X
ENSG00000215580	BCORP1	4.032404337	2.757858534	56.1402525	2.06E-165	3.279E-162	364.8892251	Y
ENSG00000241859	KALP	3.517151374	2.399139569	48.0868427	2.7569E-146	4.1688E-143	322.2162649	Y
ENSG00000099715	PCDH11Y	3.154812398	2.426119996	31.76330943	4.4532E-101	6.4132E-98	219.8485796	Y
ENSG00000147050	KDM6A	-0.674246264	10.73539386	-26.63753944	8.35113E-84	1.14801E-80	179.7591211	X
ENSG00000169953	HSFY2	2.742340795	1.802584564	26.34060324	1.94769E-78	2.56104E-75	168.0151349	Y
ENSG00000184895	SRY	2.731312895	1.84505964	25.87715513	9.40028E-78	1.18455E-74	166.5325475	Y
ENSG00000227289	HSFY3P	2.683204669	1.816227499	24.86938911	7.39557E-75	8.94657E-72	159.9040016	Y
ENSG00000092377	TBL1Y	2.518304024	1.73805054	22.17426627	1.07851E-65	1.25451E-62	138.9906475	Y
ENSG00000005889	ZFX	-0.597464467	10.82674548	-21.69808514	3.17283E-65	3.55392E-62	137.5914342	X
ENSG00000206159	GYG2P1	2.549125782	1.741696743	21.32638603	7.67525E-62	8.2901E-59	130.1715929	Y
ENSG00000184368	MAP7D2	-1.782861471	4.02637767	-15.79779038	3.86629E-42	3.34081E-39	85.07417234	X
ENSG00000163618	CADPS	2.18178478	4.751481372	15.77617604	4.69457E-42	3.94383E-39	84.88456029	3
ENSG00000270223	RP13-36G14.4	-0.663995914	6.508140649	-11.88910077	2.54749E-27	1.75099E-24	51.29881904	X
ENSG00000183943	PRKX	-0.60274513	10.87564324	-11.47943138	7.61361E-26	5.00562E-23	47.94573912	X
ENSG00000179542	SLITRK4	1.262467333	7.358846045	11.32656126	2.67171E-25	1.68334E-22	46.7035197	X
ENSG00000117594	HSD11B1	1.340725383	9.12129085	10.21100398	2.02022E-21	1.19799E-18	37.89946591	1
ENSG00000225490	RP4-610C12.3	1.338226111	3.635274815	10.16825962	2.81965E-21	1.6399E-18	37.46729334	20
ENSG00000255282	WTAPP1	1.959218714	3.626014885	8.710877394	1.54514E-16	7.78829E-14	26.67193073	11
ENSG00000234969	RP13-33H18.1	-0.592587003	6.172731113	-8.673273144	2.02154E-16	1.00225E-13	26.53187436	X
ENSG00000180875	GREM2	1.209296683	5.907063484	8.45537344	9.46156E-16	4.61526E-13	24.99511633	1
ENSG00000143125	PROK1	1.518321809	4.843832201	8.403196102	1.36432E-15	6.54938E-13	24.60038982	1
ENSG00000270380	RP11-470L19.5	1.436073387	2.830902068	8.118587027	9.79761E-15	4.48953E-12	22.54719804	1
ENSG00000080007	DDX43	0.84601636	6.35529756	7.961890038	2.84785E-14	1.28548E-11	21.66293295	6
ENSG00000255346	NOX5	0.761105832	5.932123515	7.890423065	4.61244E-14	2.05138E-11	21.17987007	15
ENSG00000149968	MMP3	2.724989536	10.00880222	7.880541691	4.92934E-14	2.16055E-11	21.15668509	11
ENSG00000064205	WISP2	0.935461936	12.93988646	7.475562099	7.16008E-13	2.92625E-10	18.50990095	20
ENSG00000113739	STC2	0.823274821	7.854940116	7.429456997	9.652E-13	3.89207E-10	18.239769	5
ENSG00000258169	LINC00485	1.222283604	2.027985206	7.268199048	2.71618E-12	1.08086E-09	16.92334249	12
ENSG00000159212	CLIC6	0.709487068	8.806971293	7.050699382	1.06963E-11	4.09477E-09	15.89744833	21
ENSG00000258484	SPESP1	0.635784919	6.054167037	7.053275525	1.05258E-11	4.08117E-09	15.86148716	15
ENSG00000165566	AMER2	1.079299109	4.314367415	6.90464527	2.64157E-11	9.98611E-09	14.89506104	13
ENSG00000101098	RIMS4	0.721851982	7.617261671	6.515901213	2.74306E-10	1.01169E-07	12.71530461	20
ENSG00000168757	TSPY2	0.738595315	0.546492477	6.404061137	5.83424E-10	2.10053E-07	11.64592622	Y
ENSG00000272769	RP11-725P16.2	0.800190108	4.0005379	6.279228055	1.08641E-09	3.8205E-07	11.25338949	2
ENSG00000231437	RP11-88H9.2	0.660674822	5.27794712	6.203629824	1.67297E-09	5.8156E-07	10.88976704	1
ENSG00000261600	RP11-575H3.1	-0.882258016	3.486120393	-6.169896495	2.02585E-09	6.88403E-07	10.64634105	2
ENSG00000205611	RP4-610C12.4	0.838310256	2.906442283	6.177940172	1.93561E-09	6.65214E-07	10.61819525	20
ENSG00000270076	AF131215.8	-0.686773948	2.971324214	-6.136826525	2.44211E-09	8.20631E-07	10.42977717	8
ENSG00000196433	ASMT	-0.595283811	4.252814468	-5.987759604	5.61739E-09	1.80731E-06	9.686816941	X
ENSG00000237659	RNASEH2CP1	0.590202875	0.468884037	6.046009039	4.45182E-09	1.47952E-06	9.661518116	Y
ENSG00000224881	AC068279.3	-0.701753512	2.90667531	-5.686902046	2.87821E-08	8.70457E-06	8.028238489	2
ENSG00000253967	RP11-333A23.4	1.01735528	2.155477565	5.704494207	2.62058E-08	8.00549E-06	7.985221274	8
ENSG00000133105	RXFP2	1.121583733	2.246683542	5.682865094	2.94072E-08	8.80557E-06	7.866751164	13
ENSG00000272347	RP11-43F13.4	0.590429458	4.171766825	5.469212947	9.01633E-08	2.64739E-05	6.974232779	5
ENSG00000169218	RSPO1	0.809821714	3.606387322	5.439379448	1.05154E-07	3.05786E-05	6.78745574	1
ENSG00000144278	GALNT13	0.61059542	5.063253852	5.330313785	1.83486E-07	5.18612E-05	6.324833355	2
ENSG00000017427	IGF1	0.769263984	11.21017175	5.307778168	2.05628E-07	5.70534E-05	6.288270594	12
ENSG00000236136	ADORA2BP	0.778748445	1.804587524	5.278850579	2.37881E-07	6.5402E-05	5.802918613	1
ENSG00000235890	TSPEAR-AS1	-0.648741575	4.417744023	-5.215331551	3.26851E-07	8.82587E-05	5.756907059	21
ENSG00000234380	AP000330.8	0.623858826	5.195091381	5.057864617	7.09207E-07	0.000181767	5.025837309	21
ENSG00000105664	COMP	0.979380193	11.5584007	4.895147354	1.54825E-06	0.00036869	4.341592743	19
ENSG00000084628	NKAIN1	0.64896688	2.840370429	4.933119029	1.29271E-06	0.000315285	4.311732113	1
ENSG00000187848	P2RX2	0.730126019	1.434164193	4.976265678	1.05173E-06	0.000262871	4.307878584	12
ENSG00000152092	ASTN1	-0.636815948	3.880931737	-4.888081836	1.6009E-06	0.00037825	4.201662003	1
ENSG00000145506	NKD2	0.74479116	6.060542677	4.806412444	2.34981E-06	0.000538373	3.903632628	5
ENSG00000132639	SNAP25	0.674211222	5.820017528	4.794572768	2.48318E-06	0.000564653	3.843056319	20
ENSG00000106819	ASPN	0.7613847	9.505366664	4.695477926	3.92497E-06	0.000868699	3.475142239	9
ENSG00000027644	INSRR	0.709709263	4.879194329	4.628100956	5.33491E-06	0.001152455	3.073810858	1
ENSG00000172724	CCL19	0.955517525	6.372799662	4.511232412	9.00871E-06	0.001792436	2.625161035	9
ENSG00000258274	RP11-887P2.5	0.610048742	4.155206088	4.519013945	8.70277E-06	0.001754652	2.573594186	12
ENSG00000145087	STXBP5L	-0.675807549	3.602061068	-4.52029583	8.65334E-06	0.001754652	2.56926971	3
ENSG00000173809	TDRD12	-0.718029169	4.163585842	-4.43971704	1.23478E-05	0.002333975	2.258950454	19
ENSG00000236028	RP11-323C15.2	-0.720681679	3.804364924	-4.347932583	1.8397E-05	0.003197584	1.858790148	20
ENSG00000185149	NPY2R	0.778290965	2.664637035	4.314704393	2.12185E-05	0.003666914	1.607077388	4
ENSG00000157890	MEGF11	-0.686363398	7.057947551	-4.227114499	3.07767E-05	0.004797827	1.488647955	15
ENSG00000250538	RP11-92A5.2	0.58731392	1.076318791	4.30996667	2.1653E-05	0.003689568	1.370956848	4
ENSG00000140873	ADAMTS18	0.932298827	3.70251078	4.203072068	3.40475E-05	0.005196877	1.24032692	16
ENSG00000183114	FAM43B	0.754258544	3.065489987	4.158515012	4.10056E-05	0.005933642	1.018173394	1
ENSG00000000005	TNMD	0.621633954	6.582875146	4.06745399	5.96649E-05	0.007811455	0.837406758	X
ENSG00000101251	SEL1L2	0.673795275	2.315335843	4.121487843	4.77995E-05	0.006631189	0.801609615	20
ENSG00000112812	PRSS16	-0.601350834	2.856188791	-4.081376994	5.63644E-05	0.007542599	0.735328511	6
ENSG00000182083	OR6B2	-0.632562296	6.57835914	-3.958281507	9.27122E-05	0.01082585	0.432016116	2
ENSG00000263873	RP11-334E6.12	0.791894621	7.257994958	3.940096079	9.9681E-05	0.011334188	0.371888756	11
