dc2.cxcr4	dc2.cd1a	dc2.il1b	dc2.fcn1	dc2.isg15	dc2.cxcl9
CXCR4	CD1A	NFKBIA	S100A9	ISG15	CXCL9
SARAF	S100B	IL1B	FCN1	IFI6	PSME2
RPS14	ACTB	ICAM1	VCAN	MX1	WARS
CREM	PFN1	NFKBIZ	LYZ	LY6E	B2M
RPS10	LTB	TNFAIP3	S100A8	IFITM1	GBP1
RPS23	GSN	BCL2A1	TSPO	IFITM3	VAMP5
C1orf162	SPI1	IER3	S100A6	EPSTI1	LAP3
SMAP2	SYNGR2	GADD45B	SH3BGRL3	IFI44L	GBP4
CEBPD	ACTG1	CXCL8	S100A4	EIF2AK2	GBP5
HLA-DPB1	ARPC2	PNRC1	S100A10	MX2	STAT1
RPL18A	LCP1	CCL4L2	CD163	OAS1	RARRES3
FCER1A	UCP2	PPP1R15A	CSTA	UBE2L6	TAP1
DUSP4	MIF	CD83	SLC11A1	BST2	IDO1
RPS7	TPI1	SOD2	TREM1	B2M	UBE2L6
RPL13	MYL12A	NLRP3	NEAT1	XAF1	UBD
RPS18	ACTR3	PLAUR	SERPINA1	STAT1	PSMB9
EZR	CFL1	NFKB1	FCER1G	IFIT1	HLA-A
RNASE6	PKM	DUSP2	EREG	OAS2	GBP2
HERPUD1	LST1	CCL3L3	ALDOA	IFIT3	PSME1
RPS2	TMSB10	ZC3H12A	LILRB2	TRIM22	SERPING1
RPL26	CD207	TRAF1	CD14	LAP3	PSMB10
EEF1B2	IL2RG	THAP2	ANXA2	IRF7	TMSB10
RPL32	SERF2	CCL4	CFD	IFIT2	HLA-B
RPL10	SMCO4	CXCL2	TIMP1	IFI35	IFITM3
RPL5	COTL1	CCL3	THBS1	LGALS9	PDIA3
RPL30	CAPZB	KDM6B	APLP2	OAS3	EPSTI1
RPL29	GAPDH	PLEK	RPS28	RNF213	CTSH
RPS12	ALOX5AP	ID2	RPL39	SP110	PLEKHO1
EEF1A1	TUBA1B	REL	SLC25A37	IFI44	SLAMF8
RPL11	PRR13	PDE4B	CRIP1	SAMD9L	SMCO4
RPL18	ALDOA	ZFP36	TKT	TNFSF13B	HLA-DPA1
RPL8	HINT1	NFKBID	COX4I1	IFITM2	HLA-DQA1
RPL19	VASP	NR4A1	CD44	RSAD2	HLA-F
RPS6	GDI2	MIR155HG	IFI30	SERPING1	SERPINA1
RPS16	HLA-DQB2	MAFF	YBX3	PARP14	EIF5A
RPL10A	PTMS	BIRC3	MT-CO3	PARP9	TNFSF13B
ARL4C	C15orf48	ARL5B	TYMP	ISG20	FYB
RPS5	PPP1R14A	SOCS3	GAPDH	MT2A	PSMB8
RPS3	SRP14	SDCBP	BLVRB	TNFSF10	SLAMF7
PABPC1	CST7	RBKS	NCF2	GBP1	MT2A
AKR1C3	ARPC5	CFLAR	FTH1	HERC5	HLA-C
ENHO	LGALS1	PIM3	CFP	OASL	ACTB
INSIG1	TUBB	PLK3	MT-ND3	SHISA5	FCGR1A
MAT2A	CD59	G0S2	H3F3A	HLA-E	PPA1
HBEGF	SH3BGRL3	FOSB	MYL6	CMPK2	FAM26F
SATB1	CAP1	ZNF267	EMP3	DRAP1	HAPLN3
EEF1G	PKIB	MAP3K8	S100A12	IFI16	LY6E
CXCL16	PDIA3	CDKN1A	PSAP	SAMD9	HLA-DRA
