"","Package","Version","License","Built"
"1","abind","1.4-5","LGPL (>= 2)","4.4.1"
"2","affxparser","1.76.0","LGPL (>= 2)","4.4.1"
"3","affy","1.82.0","LGPL (>= 2.0)","4.4.1"
"4","affycoretools","1.76.0","Artistic-2.0","4.4.1"
"5","affyio","1.74.0","LGPL (>= 2)","4.4.1"
"6","aggregation","1.0.1","GPL-3","4.4.1"
"7","AgiMicroRna","2.54.0","GPL-3","4.4.1"
"8","annotate","1.82.0","Artistic-2.0","4.4.1"
"9","AnnotationDbi","1.66.0","Artistic-2.0","4.4.1"
"10","AnnotationFilter","1.28.0","Artistic-2.0","4.4.1"
"11","AnnotationForge","1.46.0","Artistic-2.0","4.4.1"
"12","ape","5.8","GPL-2 | GPL-3","4.4.1"
"13","aplot","0.2.3","Artistic-2.0","4.4.1"
"14","askpass","1.2.0","MIT + file LICENSE","4.4.1"
"15","babelgene","22.9","MIT + file LICENSE","4.4.1"
"16","backports","1.5.0","GPL-2 | GPL-3","4.4.1"
"17","base64","2.0.1","MIT + file LICENSE","4.4.1"
"18","base64enc","0.1-3","GPL-2 | GPL-3","4.4.1"
"19","beachmat","2.20.0","GPL-3","4.4.1"
"20","beadarray","2.54.0","MIT + file LICENSE","4.4.1"
"21","BeadDataPackR","1.56.0","GPL-2","4.4.1"
"22","beanplot","1.3.1","GPL-2","4.4.1"
"23","beeswarm","0.4.0","Artistic-2.0","4.4.1"
"24","BH","1.84.0-0","BSL-1.0","4.4.1"
"25","Biobase","2.64.0","Artistic-2.0","4.4.1"
"26","BiocFileCache","2.12.0","Artistic-2.0","4.4.1"
"27","BiocGenerics","0.50.0","Artistic-2.0","4.4.1"
"28","BiocIO","1.14.0","Artistic-2.0","4.4.1"
"29","BiocManager","1.30.23","Artistic-2.0","4.4.1"
"30","BiocNeighbors","1.22.0","GPL-3","4.4.1"
"31","BiocParallel","1.38.0","GPL-2 | GPL-3","4.4.1"
"32","BiocSingular","1.20.0","GPL-3","4.4.1"
"33","BiocVersion","3.19.1","Artistic-2.0","4.4.1"
"34","biomaRt","2.60.1","Artistic-2.0","4.4.1"
"35","Biostrings","2.72.1","Artistic-2.0","4.4.1"
"36","biovizBase","1.52.0","Artistic-2.0","4.4.1"
"37","bit","4.0.5","GPL-2 | GPL-3","4.4.1"
"38","bit64","4.0.5","GPL-2 | GPL-3","4.4.1"
"39","bitops","1.0-7","GPL (>= 2)","4.4.1"
"40","blob","1.2.4","MIT + file LICENSE","4.4.1"
"41","bluster","1.14.0","GPL-3","4.4.1"
"42","brew","1.0-10","GPL (>= 2)","4.4.1"
"43","brio","1.1.5","MIT + file LICENSE","4.4.1"
"44","broom","1.0.6","MIT + file LICENSE","4.4.1"
"45","broom.helpers","1.15.0","GPL (>= 3)","4.4.1"
"46","BSgenome","1.72.0","Artistic-2.0","4.4.1"
"47","bslib","0.7.0","MIT + file LICENSE","4.4.1"
"48","bumphunter","1.46.0","Artistic-2.0","4.4.1"
"49","cachem","1.1.0","MIT + file LICENSE","4.4.1"
"50","Cairo","1.6-2","GPL-2 | GPL-3","4.4.1"
"51","callr","3.7.6","MIT + file LICENSE","4.4.1"
"52","Category","2.70.0","Artistic-2.0","4.4.1"
"53","caTools","1.18.2","GPL-3","4.4.1"
"54","cellranger","1.1.0","MIT + file LICENSE","4.4.1"
"55","checkmate","2.3.1","BSD_3_clause + file LICENSE","4.4.1"
"56","cli","3.6.3","MIT + file LICENSE","4.4.1"
"57","clipr","0.8.0","GPL-3","4.4.1"
"58","clusterProfiler","4.12.2","Artistic-2.0","4.4.1"
"59","colorout","1.3-1","GPL (>= 2)","4.4.1"
"60","colorspace","2.1-0","BSD_3_clause + file LICENSE","4.4.1"
"61","commonmark","1.9.1","BSD_2_clause + file LICENSE","4.4.1"
"62","conflicted","1.2.0","MIT + file LICENSE","4.4.1"
"63","cowplot","1.1.3","GPL-2","4.4.1"
"64","cpp11","0.4.7","MIT + file LICENSE","4.4.1"
"65","crayon","1.5.3","MIT + file LICENSE","4.4.1"
"66","credentials","2.0.1","MIT + file LICENSE","4.4.1"
"67","crosstalk","1.2.1","MIT + file LICENSE","4.4.1"
"68","curl","5.2.1","MIT + file LICENSE","4.4.1"
"69","data.table","1.15.4","MPL-2.0 | file LICENSE","4.4.1"
"70","data.tree","1.1.0","GPL (>= 2)","4.4.1"
"71","DBI","1.2.3","LGPL (>= 2.1)","4.4.1"
"72","dbplyr","2.5.0","MIT + file LICENSE","4.4.1"
"73","DelayedArray","0.30.1","Artistic-2.0","4.4.1"
"74","DelayedMatrixStats","1.26.0","MIT + file LICENSE","4.4.1"
"75","deldir","2.0-4","GPL (>= 2)","4.4.1"
"76","desc","1.4.3","MIT + file LICENSE","4.4.1"
"77","DESeq2","1.44.0","LGPL (>= 3)","4.4.1"
"78","devtools","2.4.5","MIT + file LICENSE","4.4.1"
"79","dichromat","2.0-0.1","GPL-2","4.4.1"
"80","diffobj","0.3.5","GPL-2 | GPL-3","4.4.1"
"81","digest","0.6.36","GPL (>= 2)","4.4.1"
"82","doRNG","1.8.6","GPL (>= 2)","4.4.1"
"83","DOSE","3.30.2","Artistic-2.0","4.4.1"
"84","dotCall64","1.1-1","GPL (>= 2)","4.4.1"
