##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_015708825.1	PRJNA1048513	SAMN12436412	JADLOY000000000.1	representative genome	7753	7753	Lethenteron reissneri	na	LAM-NWPU_2019-01	latest	Chromosome	Major	Full	2020/12/01	ASM1570882v1	Center for Ecological and Environmental Sciences	GCA_015708825.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/708/825/GCF_015708825.1_ASM1570882v1	na	na	na	haploid	vertebrate_other	1063012140	1052276075	49.000000	72	1945	1945	NCBI RefSeq	GCF_015708825.1-RS_2023_12	2023/12/07	24131	19027	4216	20599597;33053263
GCF_010993605.1	PRJNA611764	SAMN12629506	JAAIYE000000000.1	representative genome	7757	7757	Petromyzon marinus	na	kPetMar1	latest	Chromosome	Major	Full	2020/02/24	kPetMar1.pri	Vertebrate Genomes Project	GCA_010993605.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/993/605/GCF_010993605.1_kPetMar1.pri	na	na	na	haploid	vertebrate_other	1089034212	1074020525	48.500000	85	1433	1433	NCBI RefSeq	NCBI Petromyzon marinus Annotation Release 100	2020/03/12	22167	17580	4361	7713438
GCF_028641065.1	PRJNA955276	SAMN23457310	JAMYXN000000000.1	representative genome	7782	7782	Leucoraja erinacea	ecotype=New England	na	latest	Chromosome	Major	Full	2023/02/22	Leri_hhj_1	Okinawa Institute of Science and Technology	GCA_028641065.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/641/065/GCF_028641065.1_Leri_hhj_1	na	na	na	haploid	vertebrate_other	2190844947	2190763970	44.000000	50	1768	1768	NCBI RefSeq	GCF_028641065.1-RS_2023_04	2023/04/21	23250	18970	3062	na
GCF_902713615.1	PRJNA688266	SAMEA994730	CACTIT000000000.1	representative genome	7830	7830	Scyliorhinus canicula	na	na	latest	Chromosome	Major	Full	2020/12/17	sScyCan1.1	SC	GCA_902713615.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/615/GCF_902713615.1_sScyCan1.1	na	na	na	haploid	vertebrate_other	4220389930	4156169267	47.500000	31	645	645	NCBI RefSeq	NCBI Scyliorhinus canicula Annotation Release 100	2020/12/29	29227	20574	7157	9725850
GCF_018977255.1	PRJNA744271	SAMN12905446	WEZY00000000.1	representative genome	7868	7868	Callorhinchus milii	na	IMCB2004	latest	Scaffold	Major	Full	2021/06/21	IMCB_Cmil_1.0	Institute of Molecular and Cell Biology, A*star, Singapore	GCA_018977255.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/977/255/GCF_018977255.1_IMCB_Cmil_1.0	na	na	na	haploid	vertebrate_other	991519186	991463531	43.000000	0	1761	3821	NCBI RefSeq	NCBI Callorhinchus milii Annotation Release 101	2021/07/06	21550	17192	3934	20551041;34301952
GCF_019279795.1	PRJNA754246	SAMN17890435	JAGYFI000000000.1	representative genome	7888	7888	Protopterus annectens	na	FY-2018-M	latest	Chromosome	Major	Full	2021/07/20	PAN1.0	Northwestern Polytechnical University	GCA_019279795.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/279/795/GCF_019279795.1_PAN1.0	na	na	na	haploid	vertebrate_other	40054324612	39061217646	40.000000	27	12667	12667	NCBI RefSeq	NCBI Protopterus annectens Annotation Release 100	2021/09/08	30570	22039	6395	33545087
GCF_000225785.1	PRJNA219830	SAMN00138723	AFYH00000000.1	representative genome	7897	7897	Latimeria chalumnae	na	SAIAB 97564	latest	Scaffold	Major	Full	2011/09/12	LatCha1	Broad Institute	GCA_000225785.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/785/GCF_000225785.1_LatCha1	na	na	na	haploid	vertebrate_other	2860575514	2183576361	41.000000	0	22818	291828	NCBI RefSeq	NCBI Latimeria chalumnae Annotation Release 101	2015/10/21	26676	20945	5242	9215903
GCF_902713425.1	PRJNA1003472	SAMEA5572864	CACTIG000000000.2	representative genome	7906	7906	Acipenser ruthenus	na	na	latest	Chromosome	Major	Full	2022/02/02	fAciRut3.2 maternal haplotype	Wellcome Sanger Institute	GCA_902713425.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/425/GCF_902713425.1_fAciRut3.2_maternal_haplotype	na	na	na	haploid	vertebrate_other	1899794300	1899708000	40.000000	60	1730	1730	NCBI RefSeq	GCF_902713425.1-RS_2023_08	2023/08/10	80041	38165	35093	na
GCF_017654505.1	PRJNA726223	SAMN09842169	JADDYA000000000.1	representative genome	7913	7913	Polyodon spathula	na	WHYD16114869_AA	latest	Chromosome	Major	Full	2021/03/31	ASM1765450v1	Yangtze River Fisheries Research Institute, Chinese Academy of Fishery Sciences	GCA_017654505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/505/GCF_017654505.1_ASM1765450v1	na	na	na	haploid	vertebrate_other	1542066908	1540370446	39.000000	60	4234	7191	NCBI RefSeq	NCBI Polyodon spathula Annotation Release 100	2021/04/29	37231	30722	4880	33331879;12470943
GCF_000242695.1	PRJNA221149	SAMN00706774	AHAT00000000.1	representative genome	7918	7918	Lepisosteus oculatus	na	Spotted Gar 1	latest	Chromosome	Major	Full	2012/01/13	LepOcu1	Broad Institute	GCA_000242695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/242/695/GCF_000242695.1_LepOcu1	na	na	na	haploid	vertebrate_other	945861706	869401519	39.500000	29	2105	45199	NCBI RefSeq	NCBI Lepisosteus oculatus Annotation Release 101	2016/01/06	21482	18784	2509	12470943
