##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_002287175.1	PRJNA224116	SAMN04229035	LMVM00000000.1	representative genome	2161	2161	Methanobacterium bryantii	strain=M.o.H.	na	latest	Contig	Major	Full	2017/09/06	ASM228717v1	University of California Santa Barbara	GCA_002287175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/175/GCF_002287175.1_ASM228717v1	na	assembly from type material	na	haploid	archaea	3466370	3466370	33.000000	0	41	41	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/03/13	3403	3338	49	28826405
GCF_001458655.1	PRJNA224116	SAMEA2779801	na	representative genome	2162	2162	Methanobacterium formicicum	na	Mb9	latest	Complete Genome	Major	Full	2015/11/16	Mb9	CEBITEC	GCA_001458655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9	na	na	na	haploid	archaea	2494510	2494510	41.000000	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024/02/12	2462	2404	55	na
GCF_029848115.1	PRJNA224116	SAMN34164049	JARVXG000000000.1	na	2162	2162	Methanobacterium formicicum	strain=MF	na	latest	Contig	Major	Full	2023/04/19	ASM2984811v1	Wageningen University	GCA_029848115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/848/115/GCF_029848115.1_ASM2984811v1	na	assembly from type material	na	haploid	archaea	2425823	2425823	41.500000	0	59	59	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/04/20	2447	2380	52	na
GCF_015351695.1	PRJNA224116	SAMN16521386	JADIIL000000000.1	na	2162	2162	Methanobacterium formicicum	na	bin2	latest	Contig	Major	Full	2020/11/10	ASM1535169v1	Water Research Institute, IRSA-CNR	GCA_015351695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/351/695/GCF_015351695.1_ASM1535169v1	derived from metagenome	na	na	haploid	archaea	2442285	2442285	41.500000	0	40	40	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/03/28	2474	2412	49	na
GCF_029601605.1	PRJNA224116	SAMN34002612	JARRCX000000000.1	na	2162	2162	Methanobacterium formicicum	strain=MCM B-604	na	latest	Contig	Major	Full	2023/04/05	ASM2960160v1	Agharkar Research Institute	GCA_029601605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/601/605/GCF_029601605.1_ASM2960160v1	na	na	na	haploid	archaea	2425208	2425208	41.500000	0	48	48	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/04/06	2459	2395	53	na
GCF_937905965.1	PRJNA224116	SAMEA14037491	CALCVY000000000.1	na	2162	2162	Methanobacterium formicicum	na	SRR1562007_bin.168_CONCOCT_v1.1_MAG	latest	Contig	Major	Full	2023/01/10	SRR1562007_bin.168_CONCOCT_v1.1_MAG	European Bioinformatics Institute	GCA_937905965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/937/905/965/GCF_937905965.1_SRR1562007_bin.168_CONCOCT_v1.1_MAG	derived from metagenome	na	na	haploid	archaea	2393109	2393109	41.500000	0	291	291	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/05/11	2469	2381	26	na
GCF_000762265.1	PRJNA224116	SAMN03085433	na	na	2162	2162	Methanobacterium formicicum	strain=BRM9	na	latest	Complete Genome	Major	Full	2014/10/02	ASM76226v1	PGgRc	GCA_000762265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1	na	na	na	haploid	archaea	2449987	2449987	41.500000	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024/02/11	2445	2386	55	na
GCF_036829215.1	PRJNA224116	SAMN28750746	DAISQW000000000.1	na	2162	2162	Methanobacterium formicicum	na	CTOTU7630	latest	Scaffold	Major	Full	2024/02/23	ASM3682921v1	Helmholtz Centre for Environmental Research - UFZ	GCA_036829215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/829/215/GCF_036829215.1_ASM3682921v1	derived from metagenome	na	na	haploid	archaea	2125965	2120065	42.000000	0	111	111	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024/02/26	2173	2111	43	37994269
GCF_029981945.1	PRJNA224116	SAMN33401096	JARRCR000000000.1	na	2164	2164	Methanobacterium sp.	na	DJKA113_NP-J24_bin.44	latest	Contig	Major	Full	2023/05/11	ASM2998194v1	The Ohio State University	GCA_029981945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/981/945/GCF_029981945.1_ASM2998194v1	derived from metagenome	na	na	haploid	archaea	1944832	1944832	40.000000	0	21	21	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/07/12	1983	1921	45	na
GCF_016839005.1	PRJNA224116	SAMN16615614	JADLKL000000000.1	na	2164	2164	Methanobacterium sp.	na	Rep1_Bin027	latest	Contig	Major	Full	2021/02/09	ASM1683900v1	Imperial College London	GCA_016839005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/839/005/GCF_016839005.1_ASM1683900v1	derived from metagenome	na	na	haploid	archaea	2220121	2220121	42.500000	0	169	169	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/06/26	2267	2191	49	33326896
GCF_020854955.1	PRJNA224116	SAMN19322293	JAHKLR000000000.1	na	2164	2164	Methanobacterium sp.	na	MAG 288	latest	Contig	Major	Full	2021/11/12	ASM2085495v1	DOE Joint Genome Institute	GCA_020854955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/854/955/GCF_020854955.1_ASM2085495v1	derived from metagenome	na	na	haploid	archaea	2470617	2470617	39.500000	0	86	86	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023/06/26	2464	2391	44	na
