ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	8.612354272	9.941314305	58.70163334	7.62318E-96	2.30548E-91	181.9023661	Y
ENSG00000176728	TTTY14	7.4502392	5.40182716	57.01336213	1.02368E-90	6.19184E-87	181.2687603	Y
ENSG00000131002	TXLNG2P	8.976660074	8.476237729	54.72206385	5.18573E-92	5.22774E-88	180.7835328	Y
ENSG00000092377	TBL1Y	5.059419102	3.555241598	52.22312944	1.53392E-88	6.68246E-85	180.4721371	Y
ENSG00000012817	KDM5D	8.08963093	8.933580055	56.46218376	1.01933E-93	1.54139E-89	180.2863999	Y
ENSG00000067048	DDX3Y	8.607374677	9.125834767	54.45062408	9.67134E-92	7.31226E-88	177.7335093	Y
ENSG00000067646	ZFY	8.161561278	6.515820063	49.72465917	8.06674E-87	3.04953E-83	176.505999	Y
ENSG00000114374	USP9Y	7.53785033	7.581582214	51.32974378	1.54671E-88	6.68246E-85	174.5411083	Y
ENSG00000233864	TTTY15	6.127228666	4.593612066	48.43549813	2.10146E-85	6.35543E-82	173.9403911	Y
ENSG00000198692	EIF1AY	8.489517257	7.210360092	48.5077591	1.74691E-85	5.8702E-82	172.6912039	Y
ENSG00000165246	NLGN4Y	6.554352776	4.982408616	42.23207296	4.38562E-78	1.20577E-74	159.7549685	Y
ENSG00000183878	UTY	8.113230066	6.942067451	41.77815846	1.63613E-77	4.12346E-74	157.6041441	Y
ENSG00000260197	RP11-424G14.1	5.827823428	4.306450673	41.23690919	6.10767E-75	1.42088E-71	152.9867717	Y
ENSG00000099725	PRKY	4.942076851	3.787776462	38.61701124	2.23996E-73	4.83879E-70	151.1413248	Y
ENSG00000154620	TMSB4Y	4.871725759	3.509211072	37.32340419	1.62069E-68	3.26764E-65	140.0418925	Y
ENSG00000215580	BCORP1	3.729606186	2.612174417	30.56671558	3.01852E-59	5.70557E-56	121.7159546	Y
ENSG00000229807	XIST	-8.924050285	6.808080826	-28.90664876	1.18113E-58	2.10123E-55	116.3686494	X
ENSG00000233070	ZFY-AS1	3.018613693	2.120390182	23.58616659	1.21715E-46	2.04501E-43	94.36757009	Y
ENSG00000206159	GYG2P1	4.165269149	2.903462628	23.33347961	3.49304E-46	5.56E-43	92.87591324	Y
