##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_022113875.1	PRJNA814716	SAMN18321928	JAGKSS000000000.1	representative genome	6087	6087	Hydra vulgaris	na	105	latest	Chromosome	Major	Full	2022/02/14	Hydra_105_v3	University of Vienna	GCA_022113875.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/113/875/GCF_022113875.1_Hydra_105_v3	na	na	na	haploid	invertebrate	819386744	817147985	27.000000	15	54	54	NCBI RefSeq	NCBI Hydra vulgaris Annotation Release 103	2022/03/18	28611	21385	6929	35108053;18655725
GCF_009602425.1	PRJNA590223	SAMN10439458	WAHB00000000.1	representative genome	6105	6105	Actinia tenebrosa	na	na	latest	Scaffold	Major	Full	2019/11/06	ASM960242v1	QUT	GCA_009602425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/602/425/GCF_009602425.1_ASM960242v1	na	na	na	haploid	invertebrate	238179736	214589229	37.000000	0	4002	4002	NCBI RefSeq	NCBI Actinia tenebrosa Annotation Release 100	2019/11/18	22927	19980	2469	31641475
GCF_000237925.1	PRJNA39937	SAMEA2272516	CABG00000000.1	representative genome	6183	6183	Schistosoma mansoni	strain=Puerto Rico	na	latest	Chromosome	Major	Full	2011/12/13	ASM23792v2	Schistosoma Genome Network	GCA_000237925.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/925/GCF_000237925.1_ASM23792v2	na	na	na	haploid	invertebrate	364518427	362492058	35.000000	8	884	884	Schistosoma Genome Network	Annotation submitted by Schistosoma Genome Network	2023/04/03	13257	10711	2531	10889225
GCF_000699445.3	PRJNA273970	SAMN11431408	AMPZ00000000.3	representative genome	6185	6185	Schistosoma haematobium	na	na	latest	Chromosome	Major	Full	2022/02/10	UoM_Shae.V3	The University of Melbourne	GCA_000699445.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/699/445/GCF_000699445.3_UoM_Shae.V3	na	na	na	haploid	invertebrate	400271889	400248827	35.000000	8	163	163	The University of Melbourne	Annotation submitted by The University of Melbourne	2022/10/18	9428	9428	0	31494670;22246508;35167626
GCF_000715545.1	PRJNA259756	SAMN00996407	JACJ00000000.1	representative genome	6198	6198	Opisthorchis viverrini	na	na	latest	Scaffold	Major	Full	2014/07/09	OpiViv1.0	The University of Melbourne	GCA_000715545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/715/545/GCF_000715545.1_OpiViv1.0	na	na	na	haploid	invertebrate	620452578	572123371	44.000000	0	42216	71006	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2014/09/12	16356	16356	0	25007141
GCF_000524195.1	PRJNA182977	SAMN01914755	APAU00000000.2	representative genome	6210	6210	Echinococcus granulosus	na	na	latest	Scaffold	Major	Full	2014/01/28	ASM52419v1	Chinese National Human Genome Center at Shanghai	GCA_000524195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/524/195/GCF_000524195.1_ASM52419v1	na	na	na	haploid	invertebrate	110837706	110107006	42.000000	0	957	957	Chinese National Human Genome Center at Shanghai	Annotation submitted by Chinese National Human Genome Center at Shanghai	2018/04/04	11319	11319	0	24013640
GCF_000004555.2	PRJNA20855	SAMEA3138181	CAAC00000000.3	representative genome	6238	6238	Caenorhabditis briggsae	strain=AF16	na	latest	Chromosome	Major	Full	2014/07/02	CB4	The C.briggsae Sequencing Consortium	GCA_000004555.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.2_CB4	na	na	na	haploid	invertebrate	108384165	105418679	37.500000	6	638	5493	The C.briggsae Sequencing Consortium	Annotation submitted by The C.briggsae Sequencing Consortium	2021/12/10	22727	21922	805	14624247
GCF_000002985.6	PRJNA158	na	na	reference genome	6239	6239	Caenorhabditis elegans	strain=Bristol N2	na	latest	Complete Genome	Major	Full	2013/02/07	WBcel235	C. elegans Sequencing Consortium	GCA_000002985.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235	na	na	na	haploid	invertebrate	100272607	100272607	35.500000	6	6	3267	WormBase	WormBase WS291	2023/11/22	46927	19984	24811	7937159;1551572;9851916;2235493;7515499
GCF_000002995.4	PRJNA27801	SAMEA3146321	CAAKNF000000000.1	representative genome	6279	6279	Brugia malayi	strain=FR3	na	latest	Scaffold	Major	Full	2019/06/02	B_malayi-4.0	WormBase group, EBI	GCA_000002995.5	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.4_B_malayi-4.0	na	na	na	haploid	invertebrate	87155713	86878348	28.500000	0	196	196	WormBase group, EBI	Annotation submitted by WormBase group, EBI	2021/08/17	11688	10905	359	na
GCF_000181795.1	PRJNA66457	SAMN02953711	ABIR00000000.2	representative genome	6334	6334	Trichinella spiralis	strain=ISS 195	na	latest	Scaffold	Major	Full	2011/01/11	Trichinella spiralis-3.7.1	Washington University School of Medicine	GCA_000181795.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/795/GCF_000181795.1_Trichinella_spiralis-3.7.1	na	na	na	haploid	invertebrate	63525422	58540785	34.000000	0	6863	9267	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2012/08/27	16549	16380	167	21336279
GCF_000326865.2	PRJNA259764	SAMN02769625	AMQM00000000.1	representative genome	6412	6412	Helobdella robusta	na	na	latest	Scaffold	Minor	Full	2012/12/20	Helobdella robusta v1.0	DOE Joint Genome Institute	GCA_000326865.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/326/865/GCF_000326865.2_Helobdella_robusta_v1.0	na	na	na	haploid	invertebrate	235049875	215271529	33.000000	0	1917	12191	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2014/09/03	23368	23368	0	23254933
GCF_023055435.1	PRJNA839416	SAMN26275698	JALGQA000000000.1	representative genome	6454	6454	Haliotis rufescens	na	VD_foot	latest	Scaffold	Major	Full	2022/04/19	xgHalRufe1.0.p	UCLA	GCA_023055435.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/055/435/GCF_023055435.1_xgHalRufe1.0.p	na	na	na	haploid	invertebrate	1334454214	1334438814	41.000000	0	615	615	NCBI RefSeq	NCBI Haliotis rufescens Annotation Release 101	2022/05/19	42838	31171	11307	na
GCF_932274485.2	PRJNA874726	SAMEA7536243	CAKNZN000000000.2	representative genome	6465	6465	Patella vulgata	na	na	latest	Chromosome	Major	Full	2022/10/07	xgPatVulg1.2	WELLCOME SANGER INSTITUTE	GCA_932274485.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/932/274/485/GCF_932274485.2_xgPatVulg1.2	na	na	na	haploid	invertebrate	695367781	695358981	36.000000	9	22	22	NCBI RefSeq	GCF_932274485.2-RS_2023_05	2023/05/12	25061	16057	8821	na
GCF_000002075.1	PRJNA209509	SAMN02953658	AASC00000000.3	representative genome	6500	6500	Aplysia californica	na	F4 #8	latest	Scaffold	Major	Full	2013/05/15	AplCal3.0	Broad Institute	GCA_000002075.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/075/GCF_000002075.1_AplCal3.0	na	na	na	haploid	invertebrate	927296314	737783370	40.500000	0	4331	164544	NCBI RefSeq	NCBI Aplysia californica Annotation Release 102	2020/08/18	21514	19405	2038	16230032
GCF_947242115.1	PRJNA962856	SAMEA10417684	CAMXHX000000000.1	representative genome	6526	6526	Biomphalaria glabrata	na	na	latest	Chromosome	Major	Full	2022/10/29	xgBioGlab47.1	WELLCOME SANGER INSTITUTE	GCA_947242115.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/947/242/115/GCF_947242115.1_xgBioGlab47.1	na	na	na	haploid	invertebrate	850620091	850588691	36.000000	18	43	43	NCBI RefSeq	GCF_947242115.1-RS_2023_05	2023/05/01	26406	22006	4181	na
GCF_021869535.1	PRJNA899088	SAMN24505264	JAKFGE000000000.1	representative genome	6549	6549	Mytilus californianus	na	M0D057914Y	latest	Scaffold	Major	Full	2022/02/02	xbMytCali1.0.p	UCLA	GCA_021869535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/869/535/GCF_021869535.1_xbMytCali1.0.p	na	na	na	haploid	invertebrate	1651950171	1651917553	32.500000	0	175	175	NCBI RefSeq	NCBI Mytilus californianus Annotation Release 100	2022/11/09	41296	26243	14411	na
