ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.374951618	5.124195167	114.6505716	1.6701E-231	5.0509E-227	494.4486225	Y
ENSG00000129824	RPS4Y1	9.337826632	9.797303326	111.749619	4.7952E-231	7.251E-227	485.0014418	Y
ENSG00000067048	DDX3Y	9.601272395	9.273733918	98.03861302	8.2867E-216	8.3538E-212	459.0102667	Y
ENSG00000260197	RP11-424G14.1	8.155287242	5.750171543	94.84893566	5.6523E-212	3.4189E-208	457.6868263	Y
ENSG00000233864	TTTY15	7.106100109	4.963074172	94.26661861	2.919E-211	1.4713E-207	456.3905012	Y
ENSG00000012817	KDM5D	9.913877199	9.189040689	95.51699196	8.6956E-213	6.5745E-209	453.9919154	Y
ENSG00000131002	TXLNG2P	9.123555629	8.073674385	87.79306805	4.8132E-203	2.0795E-199	436.3650442	Y
ENSG00000114374	USP9Y	9.324988027	8.009394214	86.73635724	1.1946E-201	4.5161E-198	434.2003336	Y
ENSG00000099725	PRKY	5.787850919	3.966161938	88.04179145	3.257E-200	1.0944E-196	434.1258825	Y
ENSG00000067646	ZFY	8.534809047	6.423823749	85.39802317	7.3552E-200	2.2244E-196	433.5386722	Y
ENSG00000183878	UTY	8.656240841	6.891010024	83.76870882	1.2035E-197	3.3089E-194	428.0798871	Y
ENSG00000198692	EIF1AY	9.207177992	7.044732689	81.82913758	5.8667E-195	1.4785E-191	423.3632382	Y
ENSG00000154620	TMSB4Y	5.758266943	3.942062369	78.7544494	1.4193E-190	3.3018E-187	415.0753812	Y
ENSG00000165246	NLGN4Y	8.19107656	6.331859253	69.17728197	7.6186E-176	1.6458E-172	383.2457419	Y
ENSG00000229807	XIST	-8.894188458	7.990490256	-64.86781411	1.3043E-168	2.6298E-165	363.1243275	X
ENSG00000233070	ZFY-AS1	3.44375921	2.293430663	54.23115479	7.1299E-141	1.3477E-137	307.4512887	Y
ENSG00000241859	KALP	3.887286244	2.535732843	52.22765246	4.1845E-138	7.4443E-135	300.5812099	Y
ENSG00000229236	TTTY10	3.691996297	2.498232508	49.08310331	3.1812E-131	5.3449E-128	286.2772942	Y
ENSG00000215580	BCORP1	3.06046372	2.083228299	36.32160825	2.9424E-105	4.6835E-102	228.7242268	Y
ENSG00000169953	HSFY2	2.865381432	1.921717954	31.61921643	1.39224E-88	2.10527E-85	190.8362972	Y
ENSG00000231535	LINC00278	2.330818645	1.610526399	24.69119686	9.18656E-70	1.323E-66	148.2263421	Y
ENSG00000147050	KDM6A	-0.658182574	10.31238949	-22.26535062	1.80228E-63	2.47756E-60	133.1342665	X
ENSG00000130021	HDHD1	-0.60720328	8.938158273	-15.6554002	6.30715E-40	7.33643E-37	79.88803838	X
ENSG00000227289	HSFY3P	1.579938334	1.133874295	15.2514697	2.11067E-38	2.27975E-35	76.56725155	Y
ENSG00000092377	TBL1Y	2.446563365	1.603928038	14.71921033	1.75703E-35	1.83234E-32	69.95859296	Y
ENSG00000270223	RP13-36G14.4	-0.627783803	6.456441908	-11.12504884	5.56264E-24	5.25722E-21	43.76875293	X
ENSG00000225490	RP4-610C12.3	1.498721157	4.193704894	10.7698171	8.52664E-23	7.36775E-20	41.05976157	20
ENSG00000099715	PCDH11Y	1.492098897	1.077939767	10.37703035	3.19927E-21	2.5462E-18	37.39213701	Y
ENSG00000206159	GYG2P1	1.273796874	0.921193665	9.662404152	6.58709E-19	4.98034E-16	32.11103413	Y
