ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000260197	RP11-424G14.1	8.554504617	5.403569997	82.82060005	3.619E-136	5.4725E-132	277.1289556	Y
ENSG00000176728	TTTY14	7.600716676	4.8964446	78.06876253	1.2653E-132	9.5666E-129	271.4786536	Y
ENSG00000129824	RPS4Y1	9.612032697	9.496317067	83.22711237	4.0822E-137	1.2346E-132	270.8123222	Y
ENSG00000012817	KDM5D	9.805803946	8.771956145	79.62680943	5.2073E-134	5.2495E-130	267.9182878	Y
ENSG00000067048	DDX3Y	9.908087237	8.759914563	67.17429418	3.8863E-122	2.3507E-118	248.4533564	Y
ENSG00000233864	TTTY15	7.224735332	4.736514924	61.9424326	1.5968E-116	8.0488E-113	242.5201708	Y
ENSG00000114374	USP9Y	9.407579942	7.520215033	61.84968722	2.0261E-116	8.7537E-113	240.1438979	Y
ENSG00000067646	ZFY	8.663794785	6.044118071	60.30149104	1.1326E-114	4.2818E-111	238.9551328	Y
ENSG00000198692	EIF1AY	9.097978466	6.624812865	59.89006092	3.3524E-114	1.1265E-110	237.766	Y
ENSG00000183878	UTY	8.981374151	6.438423831	57.91387826	6.7749E-112	1.8627E-108	233.6301238	Y
ENSG00000099725	PRKY	5.641182365	3.638516897	55.20694412	1.2806E-108	3.0583E-105	228.2210489	Y
ENSG00000229807	XIST	-8.745135282	8.51952651	-58.38181594	1.8993E-112	5.744E-109	228.1091906	X
ENSG00000131002	TXLNG2P	9.629764264	7.584978793	55.19774823	1.3146E-108	3.0583E-105	225.6823695	Y
ENSG00000233070	ZFY-AS1	3.648035737	2.260933102	47.98657446	3.26885E-95	6.59066E-92	200.5855224	Y
ENSG00000154620	TMSB4Y	6.306780915	3.771536857	55.34419409	8.34389E-99	1.80246E-95	200.584986	Y
ENSG00000165246	NLGN4Y	7.872431387	5.719147845	42.30938953	9.66853E-91	1.82753E-87	190.7313091	Y
ENSG00000229236	TTTY10	3.974585005	2.386246604	33.7224363	2.83762E-71	5.04813E-68	148.6114788	Y
ENSG00000241859	KALP	4.016065373	2.306175128	33.38050555	3.61168E-68	6.06823E-65	140.179388	Y
ENSG00000231535	LINC00278	3.318130243	1.949993842	29.04636419	2.98267E-62	4.74763E-59	129.1929875	Y
ENSG00000215580	BCORP1	3.389639944	2.077907575	22.91002761	2.47507E-49	3.74268E-46	100.9234759	Y
ENSG00000169953	HSFY2	2.8927515	1.684604303	21.26595687	4.34137E-46	6.2522E-43	93.62972445	Y
ENSG00000147050	KDM6A	-0.695272123	10.45689472	-17.68558703	5.29724E-40	7.28202E-37	79.27528975	X
ENSG00000198034	RPS4X	-0.637856732	15.45074841	-15.61584523	2.19413E-34	2.88509E-31	66.96915936	X
ENSG00000099715	PCDH11Y	2.678993499	1.712280139	14.67850755	4.74776E-31	5.98278E-28	59.9382626	Y
ENSG00000227289	HSFY3P	1.908713396	1.175814844	13.80024404	1.38604E-28	1.55251E-25	54.35171314	Y
ENSG00000225470	JPX	-0.651345189	9.31011162	-13.43532721	2.60652E-28	2.81532E-25	53.30517285	X
ENSG00000270223	RP13-36G14.4	-0.7891756	6.529016578	-9.670651967	8.057E-18	7.86025E-15	29.90058009	X
ENSG00000205611	RP4-610C12.4	1.767577004	3.857203956	9.403756719	4.24117E-17	3.88684E-14	28.30869033	20
ENSG00000206159	GYG2P1	2.517210957	1.471643454	9.406894756	1.32144E-16	1.17542E-13	27.22984065	Y
ENSG00000092377	TBL1Y	1.983983585	1.046044201	9.355670946	1.97699E-16	1.66084E-13	26.83161336	Y
ENSG00000225490	RP4-610C12.3	1.766005498	4.274374414	8.406328457	1.84864E-14	1.51104E-11	22.37031251	20
ENSG00000223773	CD99P1	0.613968173	7.598923491	6.985937158	6.54753E-11	4.82968E-08	14.46270187	X
ENSG00000230663	FAM224B	0.60329336	0.415365078	5.997731189	1.3189E-08	9.06534E-06	8.959060382	Y
ENSG00000080007	DDX43	0.935985783	6.000692706	5.661916147	6.4628E-08	4.2725E-05	7.789632015	6
ENSG00000261600	RP11-575H3.1	-0.932179089	3.38317617	-4.94334623	1.86747E-06	0.001129556	4.46872739	2
ENSG00000228906	RP13-216E22.4	-0.686452074	4.054453536	-4.833500351	3.0403E-06	0.00176823	4.041547977	X
ENSG00000258484	SPESP1	0.607876234	6.151444672	4.767875332	4.05342E-06	0.00227014	3.836337581	15
ENSG00000255346	NOX5	0.698619145	4.706755345	4.737394573	4.62847E-06	0.002545067	3.659142716	15
ENSG00000184895	SRY	0.588576609	0.444843474	4.792621238	3.83022E-06	0.002185612	3.458332328	Y
ENSG00000182912	C21orf90	-0.929190538	6.346801061	-4.447191067	1.5888E-05	0.008429814	2.554391051	21
ENSG00000239893	ZNF736P9Y	0.763136289	0.444134492	4.306899612	3.0996E-05	0.015119562	1.567197433	Y
ENSG00000235890	TSPEAR-AS1	-0.811509348	5.712363936	-4.166107149	4.97623E-05	0.023153229	1.457465665	21
ENSG00000196433	ASMT	-0.710673365	3.882600957	-4.075828795	7.09913E-05	0.032044631	1.037968333	X
ENSG00000232022	RP5-1109J22.1	-0.624738403	3.683833219	-3.988036369	9.97488E-05	0.043095775	0.704492287	1
ENSG00000227260	AC116035.1	-0.663320182	2.329772139	-3.954910264	0.000113248	0.048238917	0.468861416	3
