##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000002945.1	PRJNA127	SAMEA3138176	na	representative genome	4896	4896	Schizosaccharomyces pombe	strain=972h-	na	latest	Chromosome	Major	Full	2007/11/09	ASM294v2	S. pombe European Sequencing Consortium (EUPOM)	GCA_000002945.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2	na	na	na	haploid	fungi	12571820	12571420	36.000000	3	3	3	PomBase	Annotation submitted by PomBase	2022/07/14	6974	5131	1810	15811919;11859360
GCF_003054445.1	PRJNA545694	SAMN08558011	na	representative genome	4909	4909	Pichia kudriavzevii	strain=CBS573	na	latest	Complete Genome	Major	Full	2018/04/17	ASM305444v1	University College Dublin	GCA_003054445.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1	na	assembly from synonym type material	na	haploid	fungi	10812555	10812555	38.500000	5	5	5	University College Dublin	Annotation submitted by University College Dublin	2019/06/16	5324	5139	185	na
GCF_000243375.1	PRJNA79345	SAMEA2272433	na	representative genome	4950	4950	Torulaspora delbrueckii	strain=type strain:CBS 1146	na	latest	Chromosome	Major	Full	2011/12/08	ASM24337v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000243375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/375/GCF_000243375.1_ASM24337v1	na	assembly designated as neotype	na	haploid	fungi	9220678	9218568	42.000000	8	8	8	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	2018/04/03	5174	4970	204	22123960
GCF_000026365.1	PRJNA39573	SAMEA3138235	na	representative genome	4956	4956	Zygosaccharomyces rouxii	strain=CBS 732	na	latest	Chromosome	Major	Full	2009/06/05	ASM2636v1	Genolevures Consortium	GCA_000026365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/365/GCF_000026365.1_ASM2636v1	na	assembly from type material	na	haploid	fungi	9764635	9763366	39.000000	7	7	7	Genolevures Consortium	Annotation submitted by Genolevures Consortium	2017/09/25	5323	4991	332	19525356
GCF_025882075.1	PRJNA926498	SAMN26195980	JAKWFO000000000.1	representative genome	4972	4972	Dioszegia hungarica	strain=PDD-24b-2	na	latest	Contig	Major	Full	2022/10/28	ASM2588207v1	Universite de Strasbourg	GCA_025882075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/882/075/GCF_025882075.1_ASM2588207v1	na	na	na	haploid	fungi	20956552	20956552	57.000000	0	16	16	Universite de Strasbourg	Annotation submitted by Universite de Strasbourg	2023/01/27	8321	8234	83	36259934
GCF_002102565.1	PRJNA396742	SAMN05445367	NBSH00000000.1	representative genome	4999	4999	Kockovaella imperatae	strain=NRRL Y-17943	na	latest	Contig	Major	Full	2017/04/20	Kocim1	DOE Joint Genome Institute	GCA_002102565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/565/GCF_002102565.1_Kocim1	na	na	na	haploid	fungi	17465713	17465713	52.000000	0	38	38	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2017/08/28	7428	7392	32	na
GCF_011074885.1	PRJNA691332	SAMN12257691	na	representative genome	5007	5007	Brettanomyces bruxellensis	strain=UCD 2041	na	latest	Complete Genome	Major	Full	2020/10/30	ASM1107488v2	Australian Wine Research Institute	GCA_011074885.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/885/GCF_011074885.1_ASM1107488v2	na	na	na	haploid	fungi	13150648	13150648	40.000000	9	9	9	Australian Wine Research Institute	Annotation submitted by Australian Wine Research Institute	2021/09/16	5342	5243	99	32122298
GCF_000002855.4	PRJNA19263	SAMEA3283178	na	representative genome	5061	5061	Aspergillus niger	na	na	latest	Scaffold	Major	Full	2007/04/11	ASM285v2	DSM, The Netherlands	GCA_000002855.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/855/GCF_000002855.4_ASM285v2	na	na	na	haploid	fungi	33975768	33930600	50.500000	8	19	468	DSM, The Netherlands	Annotation submitted by DSM, The Netherlands	2023/10/20	14404	14058	329	na
GCF_013340325.1	PRJNA645154	SAMD00216538	BLWE00000000.1	representative genome	5068	5068	Aspergillus tubingensis	strain=WU-2223L	na	latest	Scaffold	Major	Full	2020/06/09	ASM1334032v1	Waseda University	GCA_013340325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/340/325/GCF_013340325.1_ASM1334032v1	na	na	na	haploid	fungi	35047229	35047219	49.500000	0	15	15	Waseda University	Annotation submitted by Waseda University	2020/08/04	11809	11476	333	na
GCF_028827555.1	PRJNA973687	SAMN30185303	JAPZBP000000000.1	representative genome	5074	5074	Penicillium brevicompactum	strain=IBT 35665	na	latest	Contig	Major	Full	2023/02/23	ASM2882755v1	Aalborg University	GCA_028827555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/555/GCF_028827555.1_ASM2882755v1	na	na	na	haploid	fungi	34726155	34726155	49.000000	0	9	9	Aalborg University	Annotation submitted by Aalborg University	2023/06/06	12371	12367	0	36726175
