##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_022201045.2	PRJNA906997	SAMN19611724	JAHMIS000000000.1	representative genome	2711	2711	Citrus sinensis	cultivar=Valencia sweet orange	na	latest	Complete Genome	Minor	Full	2022/02/11	DVS_A1.0	Clemson University	GCA_022201045.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/201/045/GCF_022201045.2_DVS_A1.0	na	na	na	haploid	plant	298977511	298977511	34.000000	9	9	9	NCBI RefSeq	NCBI Citrus sinensis Annotation Release 103	2022/12/05	29331	23556	4524	17010212
GCF_000350225.1	PRJNA193762	SAMEA2272275	CAKH00000000.1	representative genome	2769	2769	Chondrus crispus	strain=Stackhouse	na	latest	Scaffold	Major	Full	2013/05/22	ASM35022v2	Genoscope - Centre National de Sequencage	GCA_000350225.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/225/GCF_000350225.1_ASM35022v2	na	na	na	haploid	plant	104800334	103905190	53.000000	0	925	3241	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023/04/03	9843	9807	36	23536846;23503846
GCF_000002595.2	PRJNA21061	SAMN02953692	ABCN00000000.2	representative genome	3055	3055	Chlamydomonas reinhardtii	strain=CC-503 cw92 mt+	na	latest	Chromosome	Major	Full	2018/01/26	Chlamydomonas_reinhardtii_v5.5	DOE Joint Genome Institute	GCA_000002595.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.2_Chlamydomonas_reinhardtii_v5.5	na	na	na	haploid	plant	111098438	107048224	64.000000	17	53	1512	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2021/08/17	17742	17742	0	17932292
GCF_000143455.1	PRJNA50441	SAMN02953753	ACJH00000000.1	representative genome	3068	3067	Volvox carteri f. nagariensis	strain=Eve	na	latest	Scaffold	Major	Full	2010/07/08	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000143455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/455/GCF_000143455.1_v1.0	na	na	na	haploid	plant	137684403	125467762	56.000000	0	1251	11352	US DOE Joint Genome Institute (JGI-PGF)	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	2024/01/09	14334	14331	0	20616280
GCF_000733215.1	PRJNA261964	SAMN02433493	APJO00000000.1	representative genome	3075	3075	Auxenochlorella protothecoides	strain=0710	na	latest	Scaffold	Major	Full	2014/08/01	ASM73321v1	Beijing Genomics Institue, Shenzhen	GCA_000733215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/733/215/GCF_000733215.1_ASM73321v1	na	na	na	haploid	plant	22924637	21856191	63.500000	0	374	1386	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/02/24	7016	7010	0	25012212
GCF_000002425.4	PRJNA28131	SAMN00120126	ABEU00000000.2	representative genome	3218	3218	Physcomitrium patens	ecotype=Gransden 2004	na	latest	Chromosome	Major	Full	2018/01/24	Phypa V3	Moss Genome Consortium	GCA_000002425.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/425/GCF_000002425.4_Phypa_V3	na	na	na	haploid	plant	471852792	465872272	33.500000	27	357	357	NCBI RefSeq	NCBI Physcomitrella patens Annotation Release 100	2018/03/26	23747	20454	2820	12084583;15912445;15002671;12954768;15447656;18079367;17175527;29237241
GCF_030272615.1	PRJNA1009076	SAMD00508672	BSEH00000000.1	representative genome	3369	3369	Cryptomeria japonica	na	na	latest	Chromosome	Major	Full	2023/03/31	Sugi_1.0	Department of Forest Molecular Genetics and Biotechnology, Forestry and Forest Products Research Institute	GCA_030272615.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/272/615/GCF_030272615.1_Sugi_1.0	na	na	na	haploid	plant	9046532310	9045020017	36.500000	11	2698	2698	NCBI RefSeq	GCF_030272615.1-RS_2023_08	2023/08/25	61123	41227	16915	18570682
GCF_003573695.1	PRJNA492326	SAMN08604995	PUWZ00000000.1	representative genome	3469	3469	Papaver somniferum	cultivar=HN1	na	latest	Chromosome	Major	Full	2018/09/18	ASM357369v1	Xi'an Jiaotong University	GCA_003573695.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/573/695/GCF_003573695.1_ASM357369v1	na	na	na	haploid	plant	2715377404	2709971134	37.500000	11	34380	34380	NCBI RefSeq	NCBI Papaver somniferum Annotation Release 100	2018/09/24	91581	63018	19945	30166436;26724406
GCF_029168945.1	PRJNA1037132	SAMN31276239	JAQSJK000000000.1	representative genome	3483	3483	Cannabis sativa	cultivar=Pink pepper	KNU-18-1	latest	Chromosome	Major	Full	2023/03/14	ASM2916894v1	Kangwon National University	GCA_029168945.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/168/945/GCF_029168945.1_ASM2916894v1	na	na	na	haploid	plant	770269637	770264337	34.000000	10	17	17	NCBI RefSeq	GCF_029168945.1-RS_2023_11	2023/11/16	35194	28747	5506	na
GCF_963169125.1	PRJNA1060675	SAMEA7522047	CAUJGV000000000.1	representative genome	3486	3486	Humulus lupulus	na	na	latest	Chromosome	Major	Full	2023/08/19	drHumLupu1.1	WELLCOME SANGER INSTITUTE	GCA_963169125.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/169/125/GCF_963169125.1_drHumLupu1.1	na	na	na	haploid	plant	2488098718	2488073467	39.000000	10	319	319	NCBI RefSeq	GCF_963169125.1-RS_2024_01	2024/01/04	57465	35582	19381	na
