ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000131002	TXLNG2P	9.833663818	7.865040042	85.33059142	9.3494E-157	2.8275E-152	322.1614979	Y
ENSG00000129824	RPS4Y1	9.586110919	9.242570964	83.98282321	1.9403E-155	2.9341E-151	315.7738343	Y
ENSG00000176728	TTTY14	7.21543298	4.598800573	79.27073464	1.1355E-150	7.3253E-147	315.6259123	Y
ENSG00000260197	RP11-424G14.1	7.814452009	4.985001718	79.24381039	1.2111E-150	7.3253E-147	315.1165421	Y
ENSG00000012817	KDM5D	9.842430927	8.525395586	80.05602773	1.7476E-151	1.7617E-147	311.2029853	Y
ENSG00000067048	DDX3Y	9.485411404	8.372137987	72.87010016	9.4588E-144	4.7677E-140	297.4004761	Y
ENSG00000183878	UTY	8.849081127	6.392086472	67.93758926	5.084E-138	2.1965E-134	290.7906047	Y
ENSG00000067646	ZFY	8.565005816	5.808875072	65.66924806	2.9594E-135	9.9447E-132	285.7667316	Y
ENSG00000233864	TTTY15	6.867578818	4.492095237	63.79248785	6.6941E-133	2.0245E-129	281.6911267	Y
ENSG00000099725	PRKY	6.426586108	4.062049589	63.70580762	2.5061E-132	6.8903E-129	280.5773389	Y
ENSG00000229807	XIST	-9.791591433	7.973360932	-65.7151245	2.5967E-135	9.8166E-132	279.0672111	X
ENSG00000198692	EIF1AY	9.032682662	6.365298616	62.18439881	7.8297E-131	1.9733E-127	276.9837639	Y
ENSG00000114374	USP9Y	8.806000783	7.166786741	59.16646391	8.1048E-127	1.8855E-123	266.9608534	Y
ENSG00000154620	TMSB4Y	6.966224874	4.203496636	58.13987018	9.043E-116	1.9535E-112	242.2510361	Y
ENSG00000233070	ZFY-AS1	3.470117393	2.107964495	51.34611802	2.5911E-107	5.2241E-104	228.3979466	Y
ENSG00000241859	KALP	4.628641223	2.70309229	52.30557278	9.494E-106	1.7945E-102	222.4679092	Y
ENSG00000099715	PCDH11Y	4.278877281	2.74732955	43.10633837	7.6914E-102	1.3683E-98	218.3916931	Y
ENSG00000165246	NLGN4Y	6.560655016	4.857920613	34.90593074	5.67019E-86	9.52687E-83	182.8224146	Y
ENSG00000231535	LINC00278	3.988775229	2.332558621	38.98102969	2.3317E-85	3.71146E-82	180.0399167	Y
ENSG00000215580	BCORP1	4.888417034	2.837339985	35.93546851	5.45051E-79	8.24199E-76	165.8822059	Y
ENSG00000229236	TTTY10	3.308665937	1.911039919	27.51106767	2.85642E-63	4.11366E-60	132.260887	Y
ENSG00000206159	GYG2P1	5.335348931	3.089727269	23.67395517	4.86832E-55	6.69239E-52	113.7317362	Y
ENSG00000092377	TBL1Y	2.814081655	1.635064689	18.85729093	2.72576E-43	3.4348E-40	87.61126188	Y
ENSG00000147050	KDM6A	-0.644827076	10.64431627	-16.82656199	7.02735E-40	8.50113E-37	79.28680668	X
ENSG00000198034	RPS4X	-0.596720957	15.39826784	-15.35944089	1.88441E-35	2.19193E-32	69.48758475	X
ENSG00000225470	JPX	-0.609572713	9.123434408	-14.60297071	3.77852E-33	4.23236E-30	64.23349513	X
ENSG00000183146	CYorf17	3.739608797	1.965827304	14.07575532	6.92513E-30	7.47988E-27	57.23759644	Y
ENSG00000225490	RP4-610C12.3	1.733134724	4.25984853	10.09412999	1.49019E-19	1.50227E-16	33.81232829	20
ENSG00000239893	ZNF736P9Y	2.1093858	1.173502763	9.897604556	1.95035E-18	1.84326E-15	31.28118477	Y
ENSG00000205611	RP4-610C12.4	1.717214394	3.579766961	9.485010981	8.48863E-18	7.77944E-15	29.83443125	20
ENSG00000169953	HSFY2	1.692113622	0.943823217	9.60054896	1.30741E-17	1.16294E-14	29.39218933	Y
ENSG00000227289	HSFY3P	1.274109274	0.839838402	9.284804725	6.09341E-17	5.26523E-14	27.77754537	Y
ENSG00000130021	HDHD1	-0.751425149	9.413920112	-8.54669743	3.58246E-15	3.00956E-12	23.9517306	X
ENSG00000270223	RP13-36G14.4	-0.721088256	5.847250391	-7.281746579	7.85032E-12	5.65279E-09	16.45664721	X
ENSG00000232634	NEFLP1	1.13509146	0.666072648	7.381190688	6.83046E-12	5.03838E-09	16.37069928	Y
ENSG00000006757	PNPLA4	-0.585080582	8.851418724	-6.703452917	2.12336E-10	1.39602E-07	13.28915966	X
ENSG00000230663	FAM224B	0.916385916	0.536017847	6.590311381	5.3129E-10	3.41868E-07	12.05868409	Y
