ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	9.572392437	10.06420946	113.1115724	9.1266E-201	2.7602E-196	407.7694599	Y
ENSG00000260197	RP11-424G14.1	7.382144933	5.066677016	97.11763074	4.0362E-186	6.1033E-182	394.2591383	Y
ENSG00000233864	TTTY15	7.853896583	5.332184902	87.64283163	2.5751E-176	2.596E-172	375.5479959	Y
ENSG00000176728	TTTY14	6.922027155	4.851953776	82.78248945	6.8576E-171	4.1479E-167	365.4159789	Y
ENSG00000067048	DDX3Y	9.818545399	9.331890888	84.22405156	1.572E-172	1.1886E-168	362.2694626	Y
ENSG00000067646	ZFY	8.955066415	6.486335749	80.94630398	9.2025E-169	3.9759E-165	361.219199	Y
ENSG00000012817	KDM5D	9.396314067	8.86445325	81.08113237	6.3995E-169	3.2257E-165	355.8799009	Y
ENSG00000099725	PRKY	6.769022688	4.631135668	82.28416111	1.5366E-166	5.809E-163	355.3270886	Y
ENSG00000114374	USP9Y	9.026081199	7.661712856	75.41117241	4.5856E-162	1.5409E-158	345.12142	Y
ENSG00000198692	EIF1AY	8.834390889	6.903457795	72.06689067	8.5494E-158	2.5856E-154	338.6656199	Y
ENSG00000131002	TXLNG2P	8.897998518	7.9416573	70.95597153	2.4597E-156	6.7627E-153	332.9086734	Y
ENSG00000183878	UTY	9.244435085	6.888501422	66.27200231	6.0353E-150	1.521E-146	323.168786	Y
ENSG00000229807	XIST	-9.447650248	7.243372352	-65.05361885	3.2342E-148	7.5241E-145	313.3318485	X
ENSG00000154620	TMSB4Y	5.030283282	3.338154557	62.148654	6.0966E-138	1.317E-134	297.0216345	Y
ENSG00000233070	ZFY-AS1	4.454866302	2.883866297	55.91494472	2.2152E-128	4.4663E-125	276.5497585	Y
ENSG00000229236	TTTY10	4.590260385	2.981534457	51.76262451	2.5729E-120	4.8633E-117	258.9659286	Y
ENSG00000165246	NLGN4Y	6.994537454	5.507010316	46.32553088	2.8261E-117	5.0276E-114	253.2458532	Y
ENSG00000231535	LINC00278	4.38342493	2.789798756	47.37159608	3.1226E-110	5.2465E-107	235.7345048	Y
ENSG00000215580	BCORP1	4.684731103	3.001554724	46.00051899	6.5469E-109	1.0421E-105	234.0483959	Y
ENSG00000241859	KALP	2.954325701	1.987647508	31.82114074	4.96896E-84	7.51381E-81	180.3057773	Y
ENSG00000092377	TBL1Y	4.84903442	2.937074088	28.09336723	1.99644E-70	2.87516E-67	148.3979946	Y
ENSG00000206159	GYG2P1	4.938053311	3.521178961	24.73741165	1.05257E-63	1.44695E-60	133.8515242	Y
ENSG00000147050	KDM6A	-0.625134347	10.45119382	-16.59220443	5.88702E-41	7.74092E-38	82.06634815	X
ENSG00000169953	HSFY2	1.841265982	1.191149517	14.74828007	1.69105E-33	2.04569E-30	65.50205083	Y
ENSG00000239893	ZNF736P9Y	3.055178931	1.898659111	14.70257105	1.86095E-33	2.16465E-30	65.38981082	Y
ENSG00000099715	PCDH11Y	1.569716845	1.320166175	11.01943104	7.69525E-23	7.75758E-20	41.08403827	Y
ENSG00000206262	C3orf72	-2.126036675	1.365218992	-10.40906057	5.60708E-21	5.13864E-18	36.92127554	3
ENSG00000183770	FOXL2	-1.808200702	1.799808921	-9.000531631	9.48527E-17	8.43714E-14	27.32760918	3
ENSG00000103449	SALL1	-1.973397982	2.529236919	-8.700017061	7.00057E-16	6.04909E-13	25.42039991	16
ENSG00000101951	PAGE4	-1.795854603	1.422805537	-8.486934564	2.99202E-15	2.51354E-12	23.90632123	X
ENSG00000227289	HSFY3P	1.082282043	0.721494221	8.304903863	1.49634E-14	1.19089E-11	22.27417009	Y
ENSG00000224060	ARSEP1	1.182375311	0.742618747	8.110414616	4.92724E-14	3.6345E-11	21.12166648	Y
ENSG00000005073	HOXA11	-2.576107664	3.570344285	-7.889569409	1.29794E-13	9.34607E-11	20.34691171	7
ENSG00000128713	HOXD11	-1.015227722	0.634690801	-7.840954769	2.12825E-13	1.49685E-10	19.57195367	2
ENSG00000184368	MAP7D2	-0.983028605	4.073278217	-7.665657048	5.23848E-13	3.60062E-10	18.98988668	X
ENSG00000102055	PPP1R2P9	-0.787330169	0.445733867	-7.386036691	3.60908E-12	2.37281E-09	16.77698392	X
ENSG00000260802	LINC00890	-1.881385019	1.805735289	-7.306165862	4.69319E-12	3.01991E-09	16.70646906	X
ENSG00000258484	SPESP1	0.811252069	6.411475804	7.134119252	1.31153E-11	8.00025E-09	15.89709909	15
ENSG00000230663	FAM224B	0.979968264	0.674045091	7.118398839	1.8756E-11	1.11223E-08	15.20402118	Y
ENSG00000184895	SRY	0.768550615	0.560302901	6.674733041	2.29858E-10	1.31162E-07	12.72008359	Y
ENSG00000145808	ADAMTS19	-1.501076551	2.046842248	-6.563054289	3.56774E-10	1.92677E-07	12.48246867	5
ENSG00000244578	RP11-548O1.3	-0.781086343	0.42105411	-6.450836435	7.2599E-10	3.85195E-07	11.53134318	3
ENSG00000196433	ASMT	-0.83806726	3.105855828	-6.006024656	7.53505E-09	3.73578E-06	9.603880287	X
ENSG00000205611	RP4-610C12.4	0.988323038	2.187546595	6.033194469	6.52059E-09	3.2867E-06	9.575446552	20
