ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000233864	TTTY15	8.257460103	6.004206236	116.3580101	0	0	1082.05521	Y
ENSG00000176728	TTTY14	7.076344658	5.069123901	106.0475279	0	0	1009.631907	Y
ENSG00000154620	TMSB4Y	6.963714079	4.871918581	104.1444387	0	0	963.3560577	Y
ENSG00000260197	RP11-424G14.1	6.513114407	4.799477411	96.34663488	0	0	953.8088127	Y
ENSG00000129824	RPS4Y1	8.512774693	9.344855288	96.49174318	0	0	948.3654848	Y
ENSG00000067646	ZFY	7.792849322	6.004372518	92.97435516	0	0	932.6893272	Y
ENSG00000067048	DDX3Y	8.627533858	8.648582283	87.42500939	0	0	886.2001663	Y
ENSG00000165246	NLGN4Y	8.46918834	6.843236426	84.52835914	0	0	869.3216629	Y
ENSG00000198692	EIF1AY	8.421381681	6.918713951	84.04877242	0	0	864.5548756	Y
ENSG00000012817	KDM5D	8.770372849	8.498935315	84.0908393	0	0	861.563128	Y
ENSG00000114374	USP9Y	9.085980297	8.033967172	83.40148186	0	0	857.9829996	Y
ENSG00000183878	UTY	8.086356942	6.575081349	78.34728768	0	0	819.5578147	Y
ENSG00000131002	TXLNG2P	8.065686305	7.381512088	77.04481757	0	0	806.3384293	Y
ENSG00000206159	GYG2P1	4.603405863	3.127554759	57.59378698	3.4411E-269	7.4334E-266	601.1159584	Y
ENSG00000099725	PRKY	4.431175394	3.296623925	54.29801871	2.8041E-263	5.6536E-260	588.5705048	Y
ENSG00000241859	KALP	3.859782895	2.72249195	54.05834346	1.7373E-255	3.2839E-252	570.7342865	Y
ENSG00000229807	XIST	-8.329007296	6.148499346	-50.75569736	8.5176E-247	1.5153E-243	547.1993807	X
ENSG00000227289	HSFY3P	4.16366467	2.594924448	44.59739098	1.6226E-199	2.7262E-196	442.9446759	Y
ENSG00000099715	PCDH11Y	5.791148953	5.927836152	41.44978101	7.5395E-196	1.2001E-192	434.5646986	Y
ENSG00000169953	HSFY2	3.96756154	2.607854016	40.36524167	7.0145E-181	1.0607E-177	401.0503826	Y
ENSG00000229236	TTTY10	2.69895487	1.911385329	30.26377833	3.7186E-130	5.3554E-127	286.0725541	Y
ENSG00000233070	ZFY-AS1	2.774915704	1.816931829	30.31322397	4.0159E-128	5.5206E-125	281.2236613	Y
ENSG00000215580	BCORP1	2.416254645	1.67519495	20.13391935	3.73274E-71	4.90823E-68	151.2246823	Y
ENSG00000005889	ZFX	-0.674438561	9.870790552	-18.04309015	7.01588E-61	8.84088E-58	127.3617791	X
ENSG00000225470	JPX	-0.610747474	8.824530991	-17.08496855	1.16539E-55	1.40979E-52	115.4950831	X
ENSG00000092377	TBL1Y	1.813762949	1.252358369	15.52963559	1.34909E-46	1.45716E-43	95.11900321	Y
ENSG00000225490	RP4-610C12.3	1.602014764	4.944097165	14.41091221	8.08638E-42	8.15188E-39	84.16867344	20
ENSG00000149531	FRG1B	0.806808904	9.175325349	12.33714303	5.14098E-32	4.8587E-29	61.84987093	20
ENSG00000182378	PLCXD1	0.834429406	10.15339546	12.15058943	3.5122E-31	3.21877E-28	59.96020232	X
ENSG00000230663	FAM224B	1.362129256	0.811536578	12.20198791	5.09431E-31	4.40192E-28	59.54935794	Y
ENSG00000205611	RP4-610C12.4	1.345645766	5.374962622	12.02227026	1.3023E-30	1.09404E-27	58.68500248	20
ENSG00000224060	ARSEP1	1.121024344	0.915686112	11.49998509	3.25873E-28	2.66361E-25	53.10450897	Y
ENSG00000184895	SRY	1.478332154	0.812522925	11.11351273	2.13447E-26	1.61382E-23	49.04409546	Y
ENSG00000231535	LINC00278	1.302119746	0.896892054	10.96057321	7.77938E-26	5.73833E-23	47.73761036	Y
ENSG00000270223	RP13-36G14.4	-0.705454975	7.198556527	-10.74216452	3.65742E-25	2.57236E-22	46.33021515	X
ENSG00000239893	ZNF736P9Y	1.515434873	0.7009787	10.05815182	4.17118E-22	2.80331E-19	39.35745093	Y
ENSG00000255346	NOX5	0.812835301	5.065303862	8.363584333	2.88091E-16	1.77811E-13	26.18489065	15
ENSG00000002586	CD99	0.66705119	11.98457182	7.976736732	5.49579E-15	3.32418E-12	23.34413038	X
ENSG00000258484	SPESP1	0.654928376	5.642380215	7.569011849	1.08584E-13	6.31519E-11	20.3947699	15
ENSG00000172460	PRSS30P	-0.762063431	5.308918484	-7.380475884	4.12935E-13	2.31266E-10	19.09570861	16
ENSG00000168757	TSPY2	0.719513583	0.46400121	6.670739674	5.36037E-11	2.89489E-08	14.0757268	Y
ENSG00000261600	RP11-575H3.1	-0.873753472	4.23068871	-6.253938933	6.6612E-10	3.41449E-07	11.87161189	2
ENSG00000189223	AC016683.6	0.82878323	9.030055424	6.056395034	2.18404E-09	1.08282E-06	10.81360008	2
ENSG00000235890	TSPEAR-AS1	-0.736460024	2.947186758	-5.901912511	5.40276E-09	2.59358E-06	9.771715301	21
ENSG00000235649	MXRA5P1	0.676371014	1.12152437	5.806752205	9.34447E-09	4.34777E-06	8.963056921	Y
ENSG00000080007	DDX43	0.730144056	3.931889747	5.646927763	2.30591E-08	1.05663E-05	8.389114404	6
ENSG00000183675	PTPN20B	0.74973154	4.125158216	5.578918867	3.3622E-08	1.51766E-05	8.036306712	10
ENSG00000253967	RP11-333A23.4	0.832035419	2.075386441	5.287453879	1.62109E-07	7.1053E-05	6.318263079	8
ENSG00000181433	SAGE1	-1.022061051	1.862550554	-5.0174535	6.54159E-07	0.000267348	5.017554941	X
ENSG00000182912	C21orf90	-0.651090532	3.231047984	-4.896208611	1.19295E-06	0.000468552	4.584931012	21
ENSG00000185304	RGPD2	-0.63331868	4.278329441	-4.596822586	5.01945E-06	0.00180718	3.272229484	2
ENSG00000239839	DEFA3	-0.855706855	3.427008677	-4.325743502	1.72219E-05	0.005314715	2.049909012	8
ENSG00000022556	NLRP2	-0.670831146	6.29463879	-4.122820496	4.15312E-05	0.011115299	1.336821671	19
ENSG00000235994	RP3-470B24.5	0.669673261	4.457611547	4.133329503	3.97161E-05	0.010878231	1.295166031	6
ENSG00000242284	CT45A5	-0.639879022	1.971406889	-4.13337091	3.97091E-05	0.010878231	1.097893118	X
ENSG00000104918	RETN	-0.602965716	1.388817098	-4.144166756	3.79339E-05	0.010721813	1.073789285	19
ENSG00000163734	CXCL3	-0.646038017	4.305368041	-3.704931582	0.000226715	0.04367221	-0.325998077	4
