ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	10.02251154	9.403236202	96.85636807	1.2874E-137	3.8933E-133	268.6107883	Y
ENSG00000233864	TTTY15	7.646624325	4.704585116	81.14679893	2.9786E-126	4.5041E-122	257.8108143	Y
ENSG00000165246	NLGN4Y	8.41154895	5.143224989	76.93631222	2.9666E-122	2.9906E-118	250.3543944	Y
ENSG00000012817	KDM5D	10.58001469	8.75027914	74.88532741	4.0081E-121	3.0304E-117	245.3683783	Y
ENSG00000154620	TMSB4Y	6.278940329	3.77168157	72.15012373	3.4583E-118	2.0918E-114	244.0518633	Y
ENSG00000260197	RP11-424G14.1	7.23836823	4.428137086	66.36677704	1.8821E-113	8.1315E-110	235.2053205	Y
ENSG00000067048	DDX3Y	9.93687956	8.420810597	67.6612389	1.1252E-114	5.6715E-111	234.1220756	Y
ENSG00000131002	TXLNG2P	9.963453385	7.647657389	66.20865109	2.6645E-113	1.0073E-109	233.0689687	Y
ENSG00000183878	UTY	9.223362134	6.343460382	64.41616626	1.4486E-111	4.8679E-108	231.7333689	Y
ENSG00000198692	EIF1AY	9.388471271	6.417234918	63.02612564	3.4507E-110	1.0436E-106	229.1838693	Y
ENSG00000176728	TTTY14	7.032333466	4.436752695	62.11797283	9.0858E-109	2.498E-105	226.2399521	Y
ENSG00000067646	ZFY	8.467188139	5.51782663	60.66748059	8.7106E-108	2.1953E-104	224.5628723	Y
ENSG00000114374	USP9Y	9.921259076	7.302264087	58.55358528	1.4698E-105	3.4192E-102	219.3074761	Y
ENSG00000099725	PRKY	5.06092871	3.066083765	57.15013615	3.4725E-101	7.50128E-98	211.5926325	Y
ENSG00000229807	XIST	-9.711109193	7.897751104	-48.74887021	3.63457E-94	7.32802E-91	194.7807893	X
ENSG00000241859	KALP	5.060943358	2.775475746	46.36735722	5.10396E-83	9.64744E-80	170.5967703	Y
ENSG00000229236	TTTY10	4.280227257	2.529776817	44.38064833	1.767E-81	3.1435E-78	170.5643084	Y
ENSG00000233070	ZFY-AS1	3.36585362	2.055527488	38.937798	1.46708E-77	2.46493E-74	163.3208706	Y
ENSG00000215580	BCORP1	3.033338978	1.825268384	27.46732265	1.29395E-58	2.05963E-55	122.0705942	Y
ENSG00000231535	LINC00278	3.512429956	1.841998019	29.01385272	2.71688E-57	4.10833E-54	117.596854	Y
ENSG00000184895	SRY	3.964258533	2.211364519	25.48712919	6.36889E-52	9.17211E-49	106.1451112	Y
ENSG00000206159	GYG2P1	3.125666636	1.773660432	19.29196948	6.30237E-40	8.66375E-37	79.81149177	Y
ENSG00000002586	CD99	0.842648094	12.54089768	18.14524796	9.68429E-40	1.2734E-36	79.03072449	X
ENSG00000147050	KDM6A	-0.608094133	10.49793307	-16.46046828	1.73014E-35	2.09299E-32	69.50596263	X
ENSG00000130021	HDHD1	-0.680640175	9.065495792	-14.32138925	6.56705E-30	7.35583E-27	57.01830997	X
ENSG00000169953	HSFY2	2.040283468	1.086128813	13.80012491	5.18809E-27	5.60369E-24	50.81198858	Y
ENSG00000006757	PNPLA4	-0.659479688	10.16984811	-10.79646502	1.7372E-20	1.75127E-17	35.92657851	X
ENSG00000227289	HSFY3P	1.155112601	0.689108385	7.908777099	7.84205E-13	6.58798E-10	18.56413385	Y
ENSG00000092377	TBL1Y	1.558133373	0.892032291	7.753745071	3.03827E-12	2.48341E-09	17.32408484	Y
ENSG00000143839	REN	1.794599971	4.948806921	7.346137874	1.19579E-11	9.27289E-09	16.06782076	1
ENSG00000099715	PCDH11Y	2.10020134	1.366410808	7.39290945	1.08861E-11	8.66393E-09	16.01116976	Y
ENSG00000205611	RP4-610C12.4	1.46635426	2.989195896	7.27163475	1.8004E-11	1.32803E-08	15.59446737	20
ENSG00000080007	DDX43	1.392957622	4.719236864	6.763245759	2.78909E-10	2.00834E-07	12.99669077	6
ENSG00000230663	FAM224B	1.489852087	0.816163503	6.819498067	3.59139E-10	2.52592E-07	12.63800943	Y
ENSG00000225490	RP4-610C12.3	1.3057738	3.693941641	6.642634095	5.26787E-10	3.54036E-07	12.34001487	20
ENSG00000173809	TDRD12	-1.449091306	5.777315069	-5.783675174	4.07911E-08	2.37239E-05	8.203186422	19
ENSG00000235890	TSPEAR-AS1	-1.249285652	3.515131132	-5.447518623	2.0348E-07	0.00011396	6.569053195	21
ENSG00000203907	OOEP	1.056662293	1.591997518	5.437241451	2.15278E-07	0.000118375	6.282315322	6
ENSG00000272769	RP11-725P16.2	0.595959771	4.444029892	4.674051114	6.50189E-06	0.003390285	3.282922906	2
ENSG00000099994	SUSD2	-0.644815102	9.919896541	-4.567554916	1.01913E-05	0.005224015	2.941630358	22
ENSG00000182912	C21orf90	-0.946296892	3.628792689	-4.496682668	1.3691E-05	0.006678329	2.537746366	21
ENSG00000229436	AC073850.6	0.97669224	1.946786401	4.500587945	1.34712E-05	0.006678329	2.356262688	7
ENSG00000228709	AP001065.15	-1.019237553	2.353355257	-4.416989959	1.90087E-05	0.008982492	2.119252742	21
ENSG00000261600	RP11-575H3.1	-0.880742243	3.382530032	-4.373887372	2.26622E-05	0.010544202	2.044008966	2
ENSG00000175894	TSPEAR	-0.91201182	2.558543157	-4.369674657	2.30535E-05	0.010563739	1.958066981	21
ENSG00000100298	APOBEC3H	0.7955715	4.422908751	4.012136945	9.44786E-05	0.038519354	0.738533545	22
ENSG00000240720	LRRD1	-0.604343054	2.699885856	-3.999848787	9.90216E-05	0.03889234	0.58504059	7
ENSG00000204963	PCDHA7	-0.815105145	2.308100625	-3.987023195	0.000103985	0.040318207	0.501005818	5
