ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000092377	TBL1Y	7.718933368	4.983840726	192.9915796	0	0	761.9519312	Y
ENSG00000260197	RP11-424G14.1	8.012545442	5.344035078	132.3604207	1.0992E-297	1.6622E-293	652.8420949	Y
ENSG00000233070	ZFY-AS1	6.152430898	3.960180896	129.7739598	9.5137E-288	9.5908E-284	631.4968968	Y
ENSG00000233864	TTTY15	7.778026323	5.297325191	121.9953149	2.4457E-286	1.8491E-282	629.8963698	Y
ENSG00000176728	TTTY14	8.029822967	5.408258677	119.2425606	2.1784E-282	1.098E-278	621.4405568	Y
ENSG00000129824	RPS4Y1	9.601325909	9.816506862	121.0312227	3.5719E-285	2.1605E-281	621.368891	Y
ENSG00000154620	TMSB4Y	6.505493837	4.322014226	118.236214	9.5414E-282	4.1223E-278	621.2373852	Y
ENSG00000114374	USP9Y	9.776875996	8.235821631	110.8004758	3.0566E-272	1.1555E-268	597.9531988	Y
ENSG00000012817	KDM5D	9.943863661	9.039979827	105.9628649	9.9803E-266	3.3537E-262	583.3074425	Y
ENSG00000067646	ZFY	9.222773155	6.545917695	103.8390818	8.866E-263	2.6813E-259	580.4645221	Y
ENSG00000067048	DDX3Y	9.704949376	9.058187665	99.95176631	3.1206E-257	8.5798E-254	565.3187944	Y
ENSG00000198692	EIF1AY	8.325736167	6.542410805	97.20175315	3.4756E-253	8.7593E-250	559.3019435	Y
ENSG00000183878	UTY	9.272998444	7.029486411	96.73829268	1.712E-252	3.9828E-249	558.2167229	Y
ENSG00000131002	TXLNG2P	9.985977407	8.243547856	96.55491241	3.2237E-252	6.9638E-249	556.2360896	Y
ENSG00000099725	PRKY	6.034381591	4.269763308	86.20931867	7.1231E-236	1.4362E-232	523.1470015	Y
ENSG00000241859	KALP	4.405498087	2.883892271	88.51998582	6.6624E-233	1.2593E-229	516.2811896	Y
ENSG00000165246	NLGN4Y	7.023128619	5.246765989	79.0399322	1.8407E-223	3.2746E-220	495.5179625	Y
ENSG00000229807	XIST	-11.40484228	7.937342438	-70.00810493	2.6264E-206	4.4128E-203	455.1390613	X
ENSG00000231535	LINC00278	4.424954647	2.87128713	69.96033302	6.5573E-194	1.0437E-190	429.2088549	Y
ENSG00000229236	TTTY10	4.049067266	2.632630871	67.66066303	8.4312E-191	1.2749E-187	422.6736152	Y
ENSG00000215580	BCORP1	3.944580849	2.615067577	44.11694569	3.6145E-140	5.2054E-137	309.0705528	Y
ENSG00000147050	KDM6A	-0.734163342	10.77156765	-30.30814552	2.20352E-99	3.02914E-96	215.4514471	X
ENSG00000126012	KDM5C	-0.636014254	12.8613151	-23.06742222	5.98943E-72	7.87558E-69	153.0963629	X
ENSG00000005889	ZFX	-0.615873497	10.92163182	-19.08751279	5.49505E-56	6.92444E-53	116.66317	X
ENSG00000230663	FAM224B	2.790624642	1.742754603	19.00422675	3.91875E-53	4.7406E-50	110.252412	Y
ENSG00000099715	PCDH11Y	2.08947088	1.738331155	17.38816733	6.27801E-49	7.30253E-46	100.5332598	Y
ENSG00000206159	GYG2P1	1.539923291	1.094446598	15.9009353	5.23647E-43	5.65595E-40	86.92697333	Y
ENSG00000169953	HSFY2	1.472542627	0.993586576	15.50710587	8.31484E-41	8.67123E-38	81.93325461	Y
ENSG00000225490	RP4-610C12.3	1.520162952	3.636342593	12.08605059	2.71567E-28	2.28139E-25	53.38306525	20
ENSG00000227289	HSFY3P	1.054813146	0.728953045	10.38059256	6.90026E-22	5.21712E-19	38.64522306	Y
ENSG00000258484	SPESP1	0.97032341	5.992155321	10.01003299	6.99254E-21	5.15793E-18	36.56561686	15
ENSG00000179542	SLITRK4	0.971993572	6.167386391	9.641719489	1.2181E-19	8.18642E-17	33.74672414	X
