##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_004115215.2	PRJNA534073	SAMN08537700	RZJT00000000.2	representative genome	9258	9258	Ornithorhynchus anatinus	na	Pmale09	latest	Chromosome	Major	Full	2020/11/06	mOrnAna1.pri.v4	Vertebrate Genomes Project	GCA_004115215.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/215/GCF_004115215.2_mOrnAna1.pri.v4	na	na	na	haploid	vertebrate_mammalian	1859264908	1844106806	46.000000	31	321	321	NCBI RefSeq	NCBI Ornithorhynchus anatinus Annotation Release 105	2021/03/03	30497	18152	11382	15008398;8919867;33408411;33910595;33911273
GCF_015852505.1	PRJNA687514	SAMN12634963	JADRJE000000000.1	representative genome	9261	9261	Tachyglossus aculeatus	na	mTacAcu1	latest	Chromosome	Major	Full	2020/12/09	mTacAcu1.pri	Vertebrate Genomes Project	GCA_015852505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri	na	na	na	haploid	vertebrate_mammalian	2213004214	2182186851	45.500000	36	310	310	NCBI RefSeq	NCBI Tachyglossus aculeatus Annotation Release 100	2020/12/28	31147	18929	10055	na
GCF_902635505.1	PRJNA596784	SAMEA6099886	CACPPN000000000.1	representative genome	9305	9305	Sarcophilus harrisii	na	na	latest	Chromosome	Major	Full	2019/11/07	mSarHar1.11	SC	GCA_902635505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11	na	na	na	haploid	vertebrate_mammalian	3086657325	3086610579	36.000000	8	105	105	NCBI RefSeq	NCBI Sarcophilus harrisii Annotation Release 103	2019/12/20	26869	19966	4244	21709235
GCF_011100635.1	PRJNA667932	SAMN12629507	JAANDE000000000.1	representative genome	9337	9337	Trichosurus vulpecula	na	mTriVul1	latest	Chromosome	Major	Full	2020/03/10	mTriVul1.pri	Vertebrate Genomes Project	GCA_011100635.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri	na	na	na	haploid	vertebrate_mammalian	3359330516	3340634060	39.500000	10	211	211	NCBI RefSeq	NCBI Trichosurus vulpecula Annotation Release 100	2020/10/08	31401	22532	1969	11454299
GCF_030445035.1	PRJNA994966	SAMN32738980	JAUJUA000000000.1	representative genome	9361	9361	Dasypus novemcinctus	na	mDasNov1	latest	Chromosome	Major	Full	2023/07/13	mDasNov1.hap2	Vertebrate Genomes Project	GCA_030445035.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/445/035/GCF_030445035.1_mDasNov1.hap2	na	na	na	haploid	vertebrate_mammalian	3570966115	3559491023	41.000000	32	539	539	NCBI RefSeq	GCF_030445035.1-RS_2023_07	2023/07/18	42269	22468	10513	na
GCF_950295315.1	PRJNA986567	SAMEA13207416	CATNUA000000000.1	representative genome	9365	9365	Erinaceus europaeus	na	na	latest	Chromosome	Major	Full	2023/05/01	mEriEur2.1	WELLCOME SANGER INSTITUTE	GCA_950295315.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/950/295/315/GCF_950295315.1_mEriEur2.1	na	na	na	haploid	vertebrate_mammalian	2720683831	2719931831	42.000000	24	1174	1174	NCBI RefSeq	GCF_950295315.1-RS_2023_10	2023/10/04	31885	20879	7491	na
GCF_000313985.2	PRJNA193504	SAMN00216137	AAIY00000000.3	representative genome	9371	9371	Echinops telfairi	na	266	latest	Scaffold	Major	Full	2019/07/15	ASM31398v2	Broad Institute	GCA_000313985.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/985/GCF_000313985.2_ASM31398v2	na	na	na	haploid	vertebrate_mammalian	2947103070	2605179602	43.000000	0	7489	7489	NCBI RefSeq	NCBI Echinops telfairi Annotation Release 103	2021/12/02	32104	20007	4728	na
GCF_000325575.1	PRJNA232518	SAMN01103203	ALWS00000000.1	representative genome	9402	9402	Pteropus alecto	na	na	latest	Scaffold	Major	Full	2013/12/04	ASM32557v1	BGI	GCA_000325575.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/575/GCF_000325575.1_ASM32557v1	na	na	na	haploid	vertebrate_mammalian	1985958707	1944625202	39.500000	0	65597	170163	NCBI RefSeq	NCBI Pteropus alecto Annotation Release 102	2018/05/02	38464	18363	5069	23258410
GCF_014176215.1	PRJNA665208	SAMN14734550	JACASE000000000.1	representative genome	9407	9407	Rousettus aegyptiacus	na	mRouAeg1	latest	Scaffold	Major	Full	2020/08/07	mRouAeg1.p	Bat1K	GCA_014176215.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/176/215/GCF_014176215.1_mRouAeg1.p	na	na	na	haploid	vertebrate_mammalian	1893602072	1866927577	40.000000	0	29	29	NCBI RefSeq	NCBI Rousettus aegyptiacus Annotation Release 101	2020/09/25	36769	19070	5160	32699395
GCF_021234435.1	PRJNA933142	SAMN21509358	JAIVGF000000000.1	representative genome	9417	9417	Artibeus jamaicensis	breed=Jamaican fruit bat	MK-2021	latest	Scaffold	Major	Full	2021/12/20	CSHL_Jam_final	CSHL	GCA_021234435.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/234/435/GCF_021234435.1_CSHL_Jam_final	na	na	na	haploid	vertebrate_mammalian	2108389339	2108389270	42.000000	0	867	867	NCBI RefSeq	GCF_021234435.1-RS_2023_03	2023/03/03	29413	19344	4876	9847413
GCF_019186645.2	PRJNA768865	SAMN19371543	JAHKBD000000000.1	representative genome	9423	9423	Phyllostomus hastatus	na	PE091	latest	Scaffold	Minor	Full	2021/07/09	TTU_PhHast_1.1	Texas Tech University	GCA_019186645.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/186/645/GCF_019186645.2_TTU_PhHast_1.1	na	na	na	haploid	vertebrate_mammalian	2089223459	2089217993	42.500000	0	534	534	NCBI RefSeq	NCBI Phyllostomus hastatus Annotation Release 100	2022/01/11	29231	19524	3986	34146369
GCF_022682495.1	PRJNA939221	SAMN24116476	JAKFFZ000000000.1	representative genome	9430	9430	Desmodus rotundus	na	HL8	latest	Chromosome	Major	Full	2022/03/24	HLdesRot8A	Bat1K	GCA_022682495.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/682/495/GCF_022682495.1_HLdesRot8A	na	na	na	haploid	vertebrate_mammalian	2113473284	2113218221	43.000000	14	572	572	NCBI RefSeq	GCF_022682495.1-RS_2023_02	2023/02/27	29684	19615	4594	23850499;35333583
GCF_020740605.2	PRJNA779062	SAMN12621102	JAJGPY000000000.1	representative genome	9447	9447	Lemur catta	na	mLemCat1	latest	Chromosome	Minor	Full	2021/11/04	mLemCat1.pri	Vertebrate Genomes Project	GCA_020740605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/740/605/GCF_020740605.2_mLemCat1.pri	na	na	na	haploid	vertebrate_mammalian	2245584463	2241942842	41.500000	29	184	184	NCBI RefSeq	NCBI Lemur catta Annotation Release 100	2021/12/08	30858	19990	7204	na
GCF_027406575.1	PRJNA927103	SAMN28408555	JAPZEE000000000.1	representative genome	9470	9470	Nycticebus coucang	na	mNycCou1	latest	Chromosome	Major	Full	2022/12/28	mNycCou1.pri	Vertebrate Genomes Project	GCA_027406575.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/406/575/GCF_027406575.1_mNycCou1.pri	na	na	na	haploid	vertebrate_mammalian	2917154053	2913034547	41.000000	26	84	84	NCBI RefSeq	GCF_027406575.1-RS_2023_03	2023/03/03	38900	22137	7057	na
GCF_011100555.1	PRJNA939228	SAMN12368443	JAALXP000000000.2	representative genome	9483	9483	Callithrix jacchus	na	mCalJac1	latest	Chromosome	Major	Full	2021/04/28	mCalJa1.2.pat.X	Vertebrate Genomes Project	GCA_011100555.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/555/GCF_011100555.1_mCalJa1.2.pat.X	na	na	na	haploid	vertebrate_mammalian	2874864526	2861174012	41.000000	24	1233	1233	NCBI RefSeq	GCF_011100555.1-RS_2023_03	2023/03/02	42308	22355	11190	na
GCF_009761245.1	PRJNA599380	SAMN13265339	WRPQ00000000.1	representative genome	9515	9515	Sapajus apella	na	SASKATOON/1434	latest	Scaffold	Major	Full	2019/12/17	GSC_monkey_1.0	Canada's Genomic Enterprise	GCA_009761245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/761/245/GCF_009761245.1_GSC_monkey_1.0	na	na	na	haploid	vertebrate_mammalian	2729201088	2693375645	41.000000	0	17902	60551	NCBI RefSeq	NCBI Sapajus apella Annotation Release 100	2020/01/09	42719	20564	13219	na
GCF_000955945.1	PRJNA279144	SAMN03379531	JZLG00000000.1	representative genome	9531	9531	Cercocebus atys	na	FAK	latest	Scaffold	Major	Full	2015/03/19	Caty_1.0	Human Genome Sequencing Center - BCM	GCA_000955945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/955/945/GCF_000955945.1_Caty_1.0	na	na	na	haploid	vertebrate_mammalian	2848246356	2787272854	41.000000	0	11433	76752	NCBI RefSeq	NCBI Cercocebus atys Annotation Release 100	2015/03/23	30556	20614	4464	na
GCF_012559485.2	PRJNA690070	SAMD00204697	BLPH00000000.2	representative genome	9541	9541	Macaca fascicularis	na	CE1976F	latest	Chromosome	Major	Full	2021/10/26	MFA1912RKSv2	Keio University / RIKEN	GCA_012559485.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/559/485/GCF_012559485.2_MFA1912RKSv2	na	na	na	haploid	vertebrate_mammalian	2800882497	2800580658	41.000000	21	400	400	NCBI RefSeq	NCBI Macaca fascicularis Annotation Release 102	2021/11/23	35561	21335	8264	34183680
GCF_003339765.1	PRJNA528504	SAMN09435472	QNVO00000000.2	representative genome	9544	9544	Macaca mulatta	na	AG07107	latest	Chromosome	Major	Full	2019/02/13	Mmul_10	The Genome Institute at Washington University School of Medicine	GCA_003339765.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/339/765/GCF_003339765.1_Mmul_10	na	na	na	haploid	vertebrate_mammalian	2971314966	2936876169	41.000000	22	2978	3267	NCBI RefSeq	NCBI Macaca mulatta Annotation Release 103	2019/03/24	40304	21121	11989	22367542;15379855
GCF_000956065.1	PRJNA279145	SAMN03121842	JZLF00000000.1	representative genome	9545	9545	Macaca nemestrina	na	M95218	latest	Scaffold	Major	Full	2015/03/19	Mnem_1.0	Baylor College of Medicine	GCA_000956065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/956/065/GCF_000956065.1_Mnem_1.0	na	na	na	haploid	vertebrate_mammalian	2948703511	2838486523	41.000000	0	9733	94057	NCBI RefSeq	NCBI Macaca nemestrina Annotation Release 101	2018/04/12	41011	21017	13163	na
GCF_008728515.1	PRJNA576697	SAMN11179045	VSMJ00000000.1	representative genome	9555	9555	Papio anubis	na	15944	latest	Chromosome	Major	Full	2019/10/02	Panubis1.0	University of California, San Francisco	GCA_008728515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/728/515/GCF_008728515.1_Panubis1.0	na	na	na	haploid	vertebrate_mammalian	2869804647	2867493934	41.000000	22	11144	11144	NCBI RefSeq	NCBI Papio anubis Annotation Release 104	2019/10/15	39274	21087	11295	23180628;35325119
GCF_003255815.1	PRJNA477372	SAMN09197221	QGDE00000000.1	representative genome	9565	9565	Theropithecus gelada	na	Dixy	latest	Chromosome	Major	Full	2018/06/19	Tgel_1.0	Kenneth Chiou's shared submissions	GCA_003255815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/255/815/GCF_003255815.1_Tgel_1.0	na	na	na	haploid	vertebrate_mammalian	2889614139	2842421810	41.000000	22	15307	15307	NCBI RefSeq	NCBI Theropithecus gelada Annotation Release 100	2018/06/26	32585	20683	4945	19321426;35332281
GCF_000951045.1	PRJNA279492	SAMN03121813	JYKQ00000000.1	representative genome	9568	9568	Mandrillus leucophaeus	na	KB7577	latest	Scaffold	Major	Full	2015/03/12	Mleu.le_1.0	Baylor College of Medicine	GCA_000951045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/045/GCF_000951045.1_Mleu.le_1.0	na	na	na	haploid	vertebrate_mammalian	3061992840	2721407539	40.500000	0	12821	246054	NCBI RefSeq	NCBI Mandrillus leucophaeus Annotation Release 100	2015/03/26	27850	20267	2300	na
GCF_028878055.1	PRJNA946760	SAMN30216103	JAQQLG000000000.1	representative genome	9590	9590	Symphalangus syndactylus	na	Jambi	latest	Chromosome	Major	Full	2023/02/28	NHGRI_mSymSyn1-v1.1-hic.freeze_pri	National Human Genome Research Institute, National Institutes of Health	GCA_028878055.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/878/055/GCF_028878055.1_NHGRI_mSymSyn1-v1.1-hic.freeze_pri	na	na	na	haploid	vertebrate_mammalian	3182923232	3182923132	40.500000	26	605	606	NCBI RefSeq	GCF_028878055.1-RS_2023_03	2023/03/24	36078	21377	8413	na
GCF_029281585.1	PRJNA953048	SAMN04003007	JARGGP000000000.1	representative genome	9595	9593	Gorilla gorilla gorilla	na	KB3781	latest	Chromosome	Major	Full	2023/03/20	NHGRI_mGorGor1-v1.1-0.2.freeze_pri	National Human Genome Research Institute, National Institutes of Health	GCA_029281585.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/281/585/GCF_029281585.1_NHGRI_mGorGor1-v1.1-0.2.freeze_pri	na	na	na	haploid	vertebrate_mammalian	3600562452	3595314213	40.500000	25	637	637	NCBI RefSeq	GCF_029281585.1-RS_2023_04	2023/04/14	43486	23010	13304	na
GCF_029289425.1	PRJNA950461	SAMN13935689	JARIFH000000000.1	representative genome	9597	9597	Pan paniscus	na	na	latest	Chromosome	Major	Full	2023/03/20	NHGRI_mPanPan1-v1.1-0.1.freeze_pri	National Human Genome Research Institute, National Institutes of Health	GCA_029289425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/289/425/GCF_029289425.1_NHGRI_mPanPan1-v1.1-0.1.freeze_pri	na	na	na	haploid	vertebrate_mammalian	3271621005	3270380706	40.500000	25	443	443	NCBI RefSeq	GCF_029289425.1-RS_2023_05	2023/05/31	38748	22787	8977	na
GCF_028858775.1	PRJNA945513	SAMN30216104	JAQQLN000000000.1	representative genome	9598	9598	Pan troglodytes	na	AG18354	latest	Chromosome	Major	Full	2023/02/27	NHGRI_mPanTro3-v1.1-hic.freeze_pri	National Human Genome Research Institute, National Institutes of Health	GCA_028858775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/858/775/GCF_028858775.1_NHGRI_mPanTro3-v1.1-hic.freeze_pri	na	na	na	haploid	vertebrate_mammalian	3225356997	3222180001	41.000000	25	1471	1500	NCBI RefSeq	GCF_028858775.1-RS_2023_04	2023/04/06	44705	22606	14819	na
GCF_028885625.1	PRJNA945458	SAMN10521809	JAQQLS000000000.1	representative genome	9600	9600	Pongo pygmaeus	na	AG05252	latest	Chromosome	Major	Full	2023/02/28	NHGRI_mPonPyg2-v1.1-hic.freeze_pri	National Human Genome Research Institute, National Institutes of Health	GCA_028885625.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/625/GCF_028885625.1_NHGRI_mPonPyg2-v1.1-hic.freeze_pri	na	na	na	haploid	vertebrate_mammalian	3249335160	3244861008	41.000000	25	1554	1593	NCBI RefSeq	GCF_028885625.1-RS_2023_04	2023/04/06	39296	22044	9653	na
GCF_028885655.1	PRJNA944618	SAMN10521808	JAQQLQ000000000.1	representative genome	9601	9601	Pongo abelii	na	AG06213	latest	Chromosome	Major	Full	2023/02/28	NHGRI_mPonAbe1-v1.1-hic.freeze_pri	National Human Genome Research Institute, National Institutes of Health	GCA_028885655.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/885/655/GCF_028885655.1_NHGRI_mPonAbe1-v1.1-hic.freeze_pri	na	na	na	haploid	vertebrate_mammalian	3365490689	3358312145	41.000000	25	2611	2670	NCBI RefSeq	GCF_028885655.1-RS_2023_04	2023/04/06	44555	22427	14354	na
GCF_009914755.1	PRJNA807723	SAMN03255769	na	na	9606	9606	Homo sapiens	na	na	latest	Complete Genome	Major	Full	2022/01/24	T2T-CHM13v2.0	T2T Consortium	GCA_009914755.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/755/GCF_009914755.1_T2T-CHM13v2.0	na	na	na	haploid	vertebrate_mammalian	3117275501	3117275501	41.000000	24	24	24	NCBI RefSeq	GCF_009914755.1-RS_2023_10	2023/10/02	58360	20077	20992	35357919
GCF_000001405.40	PRJNA168	na	na	reference genome	9606	9606	Homo sapiens	na	na	latest	Chromosome	Patch	Full	2022/02/03	GRCh38.p14	Genome Reference Consortium	GCA_000001405.29	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14	na	na	na	haploid-with-alt-loci	vertebrate_mammalian	3099441038	2948318359	41.000000	24	470	35611	NCBI RefSeq	GCF_000001405.40-RS_2023_10	2023/10/02	59652	20080	22158	10508508;11780052;7219534;10830953;15496913;12508121;12853948;11237011;16572171;15616553;14574404;12815422;16625196;16177791;15057823;15057824;15164054;16641997;15372022;15164053;16421571;16710414;16541075;15772651;16554811;15815621;18477386
GCF_011100685.1	PRJNA643630	SAMN13230619	JAAHUQ000000000.1	representative genome	9615	9612	Canis lupus familiaris	breed=German Shepherd	Mischka	latest	Chromosome	Major	Full	2020/03/10	UU_Cfam_GSD_1.0	Uppsala University	GCA_011100685.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/685/GCF_011100685.1_UU_Cfam_GSD_1.0	na	na	na	haploid	vertebrate_mammalian	2481983352	2481924852	41.500000	39	2197	2782	NCBI RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2020/12/08	43286	21175	16461	na
GCF_000002285.5	PRJNA12384	SAMN02953603	AAEX00000000.4	na	9615	9612	Canis lupus familiaris	breed=boxer	Tasha	latest	Chromosome	Major	Full	2020/10/06	Dog10K_Boxer_Tasha	Dog Genome Sequencing Consortium	GCA_000002285.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.5_Dog10K_Boxer_Tasha	na	na	na	haploid	vertebrate_mammalian	2312785471	2312726632	41.500000	39	146	146	NCBI RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2020/12/08	40373	20087	15286	16341006;9878232
GCF_014441545.1	PRJNA681562	SAMN14478636	JAAUVH000000000.1	na	9615	9612	Canis lupus familiaris	breed=Labrador retriever	SID07034	latest	Chromosome	Major	Full	2020/09/03	ROS_Cfam_1.0	The Roslin Institute	GCA_014441545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/441/545/GCF_014441545.1_ROS_Cfam_1.0	na	na	na	haploid	vertebrate_mammalian	2396858295	2384195665	41.000000	40	376	376	NCBI RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2020/12/08	42271	20949	15885	na
GCF_003160815.1	PRJNA482864	SAMN06553695	NBDQ00000000.1	representative genome	9627	9627	Vulpes vulpes	strain=TameXAggressive cross	na	latest	Scaffold	Major	Full	2018/05/25	VulVul2.2	University of Illinois at Urbana-Champaign	GCA_003160815.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/160/815/GCF_003160815.1_VulVul2.2	na	na	na	haploid	vertebrate_mammalian	2421551259	2350006906	41.000000	0	82423	82423	NCBI RefSeq	NCBI Vulpes vulpes Annotation Release 100	2018/07/26	29061	19366	4109	16815048;30082739
GCF_020975775.1	PRJNA795466	SAMN22511336	JAJHTY000000000.1	representative genome	9643	9643	Ursus americanus	ecotype=Eastern	UA15103	latest	Contig	Major	Full	2021/11/24	gsc_jax_bbear_1.0	Jackson Laboratory	GCA_020975775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/975/775/GCF_020975775.1_gsc_jax_bbear_1.0	na	na	na	haploid	vertebrate_mammalian	2351947609	2351947609	42.000000	0	2212	2212	NCBI RefSeq	NCBI Ursus americanus Annotation Release 100	2022/01/10	28897	20389	4957	11861896
GCF_023065955.2	PRJNA832286	SAMN25977855	JALAAU000000000.2	representative genome	9644	9644	Ursus arctos	ecotype=North America	Adak	latest	Chromosome	Major	Full	2023/05/22	UrsArc2.0	Washington State University	GCA_023065955.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/065/955/GCF_023065955.2_UrsArc2.0	na	na	na	haploid	vertebrate_mammalian	2423401459	2423351459	42.500000	2	361	361	NCBI RefSeq	GCF_023065955.2-RS_2023_06	2023/06/06	30450	20319	6369	11861896
GCF_002007445.2	PRJNA633539	SAMN04193337	LNAT00000000.2	representative genome	9646	9646	Ailuropoda melanoleuca	na	Jingjing	latest	Chromosome	Minor	Full	2020/04/20	ASM200744v3	Institute of Zoology, Chinese Academy of Sciences	GCA_002007445.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3	na	na	na	haploid	vertebrate_mammalian	2440260518	2393570281	41.500000	21	73513	73513	NCBI RefSeq	NCBI Ailuropoda melanoleuca Annotation Release 103	2021/05/24	31335	20837	6778	31810476;17499457;28096377
GCF_902655055.1	PRJNA824478	SAMEA994731	CACRWI000000000.2	representative genome	9657	9657	Lutra lutra	na	na	latest	Chromosome	Major	Full	2020/07/31	mLutLut1.2	SC	GCA_902655055.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/655/055/GCF_902655055.1_mLutLut1.2	na	na	na	haploid	vertebrate_mammalian	2438442342	2438352071	41.500000	20	43	43	NCBI RefSeq	GCF_902655055.1-RS_2023_03	2023/03/03	32271	20887	6850	na
GCF_922984935.1	PRJNA796981	SAMEA7524400	CAKLPM000000000.1	representative genome	9662	9662	Meles meles	na	na	latest	Chromosome	Major	Full	2021/12/19	mMelMel3.1 paternal haplotype	WELLCOME SANGER INSTITUTE	GCA_922984935.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/922/984/935/GCF_922984935.1_mMelMel3.1_paternal_haplotype	na	na	na	haploid	vertebrate_mammalian	2738678004	2738654204	42.500000	23	537	537	NCBI RefSeq	NCBI Meles meles Annotation Release 100	2022/01/18	31234	21063	4998	17919938
GCF_030435805.1	PRJNA1006319	SAMN35784236	JAUCGO000000000.1	representative genome	9666	9666	Mustela lutreola	na	mMusLut2	latest	Chromosome	Major	Full	2023/07/13	mMusLut2.pri	Vertebrate Genomes Project	GCA_030435805.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/435/805/GCF_030435805.1_mMusLut2.pri	na	na	na	haploid	vertebrate_mammalian	2586268927	2586261127	42.000000	20	25	25	NCBI RefSeq	GCF_030435805.1-RS_2023_08	2023/08/23	33402	20701	8243	37834264
GCF_011764305.1	PRJNA776022	SAMN13896405	JAADYL000000000.1	representative genome	9669	9668	Mustela putorius furo	na	JIRA1106	latest	Contig	Major	Full	2020/03/27	ASM1176430v1.1	JCVI	GCA_011764305.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/764/305/GCF_011764305.1_ASM1176430v1.1	na	na	na	haploid	vertebrate_mammalian	2577090966	2577090966	42.000000	0	1223	1223	NCBI RefSeq	NCBI Mustela putorius furo Annotation Release 102	2021/10/29	32152	20794	6948	na
