##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000194455.1	PRJNA65309	na	na	na	2898	2898	Cryptomonas paramecium	strain=CCAP977/2A	na	latest	Chromosome	Major	Partial	2011/03/30	ASM19445v1	Department of Biochemistry & Molecular Biology, Dalhousie University	GCA_000194455.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/455/GCF_000194455.1_ASM19445v1	partial	na	na	haploid	protozoa	487066	487066	26.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2012/09/13	634	548	81	20333213;21147880
GCF_900000015.1	PRJNA314514	SAMEA2781508	CCYD00000000.1	representative genome	4781	4781	Plasmopara halstedii	na	na	latest	Scaffold	Major	Full	2015/11/18	Plasmopara halstedii genome	IPF	GCA_900000015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/000/015/GCF_900000015.1_Plasmopara_halstedii_genome	na	na	na	haploid	protozoa	75321785	66793992	45.500000	0	3162	3162	IPF	Annotation submitted by IPF	2020/10/01	15459	15459	0	na
GCF_000227135.1	PRJNA171503	SAMEA2271930	na	representative genome	5661	5661	Leishmania donovani	strain=BPK282A1	na	latest	Chromosome	Major	Full	2011/12/13	ASM22713v2	Wellcome Trust Sanger Institute	GCA_000227135.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/135/GCF_000227135.1_ASM22713v2	na	na	na	haploid	protozoa	32444968	31252241	59.500000	36	36	36	Wellcome Trust Sanger Institute	Annotation submitted by Wellcome Trust Sanger Institute	2020/09/18	8123	7953	111	22038251
GCF_000755165.1	PRJNA261718	SAMN02991529	na	representative genome	5679	5679	Leishmania panamensis	strain=MHOM/PA/94/PSC-1	na	latest	Chromosome	Major	Full	2014/09/16	ASM75516v1	INDICASAT-AIP	GCA_000755165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/755/165/GCF_000755165.1_ASM75516v1	na	na	na	haploid	protozoa	30688794	29989080	57.500000	35	35	35	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/03/09	8048	7711	0	25707621
GCF_000209065.1	PRJNA15540	SAMN02953627	AAHK00000000.1	representative genome	5693	5693	Trypanosoma cruzi	strain=CL Brener	na	latest	Scaffold	Major	Full	2005/08/02	ASM20906v1	Trypanosoma cruzi consortium	GCA_000209065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1	na	na	na	haploid	protozoa	89937456	89612356	51.500000	0	29495	32746	Trypanosoma cruzi consortium	Annotation submitted by Trypanosoma cruzi consortium	2023/01/06	25210	19607	1994	16020725;16020724
GCF_003719475.1	PRJNA544729	SAMN04566061	MKGL00000000.1	representative genome	5698	5698	Trypanosoma rangeli	strain=AM80	na	latest	Scaffold	Major	Full	2018/11/08	ASM371947v1	Virginia Commonwealth University	GCA_003719475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/475/GCF_003719475.1_ASM371947v1	na	na	na	haploid	protozoa	21157315	20977975	52.000000	0	1080	1080	Virginia Commonwealth University	Annotation submitted by Virginia Commonwealth University	2019/05/29	10589	10104	65	30355302
GCF_000002435.2	PRJNA15590	SAMN02952905	AACB00000000.3	representative genome	5741	5741	Giardia intestinalis	strain=WB C6	na	latest	Chromosome	Major	Full	2019/11/06	UU_WB_2.1	Marine Biological Laboratory	GCA_000002435.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.2_UU_WB_2.1	na	na	na	haploid	protozoa	12078186	11673475	49.500000	5	35	35	Marine Biological Laboratory	Annotation submitted by Marine Biological Laboratory	2020/12/10	5388	4965	103	17901334
GCF_000004985.1	PRJNA43691	SAMN02953745	ACER00000000.1	representative genome	5762	5762	Naegleria gruberi	strain=NEG-M	na	latest	Scaffold	Major	Full	2010/01/20	V1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000004985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/985/GCF_000004985.1_V1.0	na	na	na	haploid	protozoa	40964085	36295316	33.000000	0	784	1977	US DOE Joint Genome Institute (JGI-PGF)	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	2021/10/07	16620	15709	875	20211133
GCF_008403515.1	PRJNA772244	SAMN11479966	VFQX00000000.1	representative genome	5763	5763	Naegleria fowleri	strain=ATCC 30894	ATCC 30894	latest	Scaffold	Major	Full	2019/09/17	ASM840351v1	University of Bern	GCA_008403515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/403/515/GCF_008403515.1_ASM840351v1	na	na	na	haploid	protozoa	29500442	29496712	37.000000	1	82	82	University of Bern	Annotation submitted by University of Bern	2023/04/03	13854	13808	23	23360210;31690847
GCF_000190715.1	PRJNA63531	SAMN02744064	ADID00000000.1	representative genome	5786	5786	Dictyostelium purpureum	strain=QSDP1	na	latest	Scaffold	Major	Full	2011/03/02	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000190715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0	na	na	na	haploid	protozoa	32967225	32851977	24.500000	0	799	1212	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2012/09/13	12399	12395	0	21356102
GCF_000499425.1	PRJNA263387	SAMEA3138813	CBUS000000000.1	representative genome	5801	5801	Eimeria acervulina	strain=Houghton	na	latest	Scaffold	Major	Full	2013/11/05	EAH001	SC	GCA_000499425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/425/GCF_000499425.1_EAH001	na	na	na	haploid	protozoa	45830609	45677409	48.500000	0	3415	4947	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/08/12	6867	6867	0	na
GCF_000499545.2	PRJNA263385	SAMEA3138819	CBUW000000000.1	representative genome	5802	5802	Eimeria tenella	strain=Houghton	na	latest	Scaffold	Minor	Full	2013/11/06	ETH001	SC	GCA_000499545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001	na	na	na	haploid	protozoa	51859607	51173562	51.500000	0	4664	12727	SC	Annotation submitted by SC	2024/02/16	8669	8596	73	14636990
GCF_000499605.1	PRJNA263395	SAMEA3138822	CBUY000000000.1	representative genome	5804	5804	Eimeria maxima	strain=Weybridge	na	latest	Scaffold	Major	Full	2013/11/06	EMW001	SC	GCA_000499605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/605/GCF_000499605.1_EMW001	na	na	na	haploid	protozoa	45975062	45874462	46.500000	0	3564	4570	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015/08/12	6057	6057	0	na
GCF_900002375.2	PRJNA317456	SAMEA736069	CABFNT000000000.1	representative genome	5823	5821	Plasmodium berghei ANKA	strain=ANKA	na	latest	Chromosome	Major	Full	2019/06/14	GCA_900002375	WTSI	GCA_900002375.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/375/GCF_900002375.2_GCA_900002375	na	na	na	haploid	protozoa	18740246	18740246	22.000000	14	19	19	WTSI	Annotation submitted by WTSI	2023/04/03	5216	4933	151	25359557
