ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	8.728218433	9.755571883	126.462926	0	0	769.6151558	Y
ENSG00000067048	DDX3Y	8.340094104	8.730945424	106.2336983	0	0	707.5759294	Y
ENSG00000198692	EIF1AY	9.695435768	8.001860837	102.1415281	0	0	699.6636213	Y
ENSG00000012817	KDM5D	8.326268191	8.635461121	103.2759623	0	0	697.0464574	Y
ENSG00000260197	RP11-424G14.1	7.452481179	5.266580245	99.30969612	0	0	690.9819773	Y
ENSG00000176728	TTTY14	7.355815499	5.155815825	95.54313548	1.4683E-304	7.4011E-301	672.9870943	Y
ENSG00000131002	TXLNG2P	8.198014766	7.68406918	93.97812205	2.499E-302	1.0797E-298	663.3453952	Y
ENSG00000067646	ZFY	8.587033193	6.440893117	91.62831661	1.5827E-297	5.9832E-294	658.7508197	Y
ENSG00000114374	USP9Y	8.482259156	7.684868123	91.40209409	4.6503E-297	1.5627E-293	653.0590618	Y
ENSG00000183878	UTY	9.000515041	7.217793112	90.14719985	1.9187E-294	5.8027E-291	650.8088119	Y
ENSG00000099725	PRKY	4.972450742	3.547823896	74.10792027	7.7008E-258	2.1172E-254	572.783014	Y
ENSG00000233864	TTTY15	5.876109043	4.340369953	70.17138905	8.0165E-248	2.0204E-244	550.0439073	Y
ENSG00000229807	XIST	-8.895087645	7.350723024	-62.88303852	5.5125E-228	1.2824E-224	500.9353327	X
ENSG00000165246	NLGN4Y	5.121463529	3.897222623	59.17167336	3.6093E-217	7.797E-214	482.2597985	Y
ENSG00000092377	TBL1Y	4.789284828	3.271659015	58.22468471	6.9934E-207	1.41E-203	458.8795929	Y
ENSG00000233070	ZFY-AS1	2.52032718	1.815529843	43.76230385	4.5857E-166	8.6678E-163	368.3561003	Y
ENSG00000229236	TTTY10	3.035793025	2.133417083	43.20057645	1.51E-160	2.6863E-157	355.3959676	Y
ENSG00000154620	TMSB4Y	3.312026602	2.435062278	39.43138925	1.7993E-149	3.0232E-146	330.2658857	Y
ENSG00000206159	GYG2P1	2.127899831	1.570321247	27.98529678	3.3824E-101	5.38383E-98	220.2496312	Y
ENSG00000169953	HSFY2	2.011531784	1.483274743	26.13974103	6.53856E-93	9.88729E-90	201.2745672	Y
ENSG00000147050	KDM6A	-0.796451148	10.51959534	-22.231348	6.77459E-75	9.75638E-72	159.2671826	X
ENSG00000005889	ZFX	-0.610553562	11.19280383	-21.5552553	9.66068E-72	1.32804E-68	152.1347783	X
ENSG00000227289	HSFY3P	1.638985411	1.292772995	20.32191939	1.40721E-65	1.85035E-62	138.6248735	Y
ENSG00000215580	BCORP1	1.59195445	1.248787183	17.30253827	1.22207E-51	1.53997E-48	106.6737882	Y
ENSG00000130021	HDHD1	-0.606164971	10.5127421	-16.4136637	5.47164E-48	6.36457E-45	98.19656945	X
ENSG00000184368	MAP7D2	-1.490146371	5.379281452	-14.97720753	1.37195E-41	1.48186E-38	83.65628667	X
ENSG00000177508	IRX3	1.851957929	8.805901016	14.32717899	9.33289E-39	9.73291E-36	77.20900939	16
ENSG00000241859	KALP	0.971226942	0.832001996	12.31759518	2.64483E-30	2.49961E-27	57.70222214	Y
ENSG00000101846	STS	-0.65103456	9.845698903	-12.26562182	4.05489E-30	3.71612E-27	57.61228841	X
ENSG00000165566	AMER2	2.039008289	4.034600444	11.49520535	4.67959E-27	4.1625E-24	50.6326575	13
ENSG00000231535	LINC00278	0.833168019	0.743094851	10.68510145	5.99367E-24	4.8991E-21	43.1573401	Y
ENSG00000181938	GINS3	0.754074379	6.754182178	10.29544609	1.651E-22	1.28029E-19	40.36378154	16
ENSG00000258484	SPESP1	0.984068484	5.580408553	10.28208961	1.84804E-22	1.39726E-19	40.243687	15
ENSG00000131831	RAI2	0.690820846	9.376168423	9.921570829	3.74529E-21	2.69688E-18	37.29210658	X
ENSG00000103034	NDRG4	0.695961055	8.180200672	9.598234948	5.25332E-20	3.53058E-17	34.70093967	16
ENSG00000188001	TPRG1	-0.865369123	7.620588132	-9.419475558	2.20801E-19	1.45167E-16	33.29165529	3
ENSG00000225083	GRTP1-AS1	0.864647835	6.121241643	9.40944535	2.39201E-19	1.53918E-16	33.20772577	13
ENSG00000223773	CD99P1	0.679682523	7.978928462	9.39386205	2.70846E-19	1.7065E-16	33.09129933	X
ENSG00000101542	CDH20	1.751185605	7.600097833	9.277138839	6.83931E-19	4.22125E-16	32.18154633	18
ENSG00000131067	GGT7	0.895002903	11.63231412	9.240474235	9.13462E-19	5.52517E-16	31.88395391	20
ENSG00000052850	ALX4	1.153012776	4.941220971	9.174293658	1.53711E-18	9.11505E-16	31.3492169	11
ENSG00000102098	SCML2	0.768345163	6.485006115	9.034048103	4.59257E-18	2.67102E-15	30.31185064	X
ENSG00000116329	OPRD1	1.307795548	1.371550143	8.666209195	1.01161E-16	5.66558E-14	26.93929569	1
ENSG00000186871	ERCC6L	-0.935290815	3.582896908	-8.587216314	1.39029E-16	7.50833E-14	26.88512388	X
ENSG00000184895	SRY	0.672212372	0.649421242	8.624132423	1.05951E-16	5.82598E-14	26.63466654	Y
ENSG00000272769	RP11-725P16.2	1.072018393	3.098691103	8.558455026	1.72446E-16	9.14963E-14	26.58318635	2
ENSG00000137825	ITPKA	1.76724549	5.894393904	8.378963486	6.5383E-16	3.40927E-13	25.42979187	15
ENSG00000106258	CYP3A5	-1.210385387	5.566371983	-8.252502288	1.65212E-15	8.46864E-13	24.53576181	7
ENSG00000117594	HSD11B1	0.759354333	7.225817008	8.210078678	2.24964E-15	1.11534E-12	24.24705077	1
ENSG00000179673	RPRML	1.313722342	3.37762929	8.142219376	3.67737E-15	1.76531E-12	23.58978668	17
ENSG00000226852	RP1-212P9.2	1.238312003	2.978703458	8.139229627	3.75761E-15	1.77565E-12	23.47779391	1
ENSG00000168785	TSPAN5	1.22270861	7.992529167	8.081959675	5.67533E-15	2.6406E-12	23.3394149	4
ENSG00000182230	FAM153B	1.117246016	5.003250963	8.069403022	6.21059E-15	2.84586E-12	23.20005251	5
ENSG00000141682	PMAIP1	0.812636969	6.058770702	7.910077864	1.9317E-14	8.59125E-12	22.13035875	18
ENSG00000224565	RP1-148H17.1	1.083572953	2.737850168	7.726571474	6.99214E-14	2.97836E-11	20.62666578	20
ENSG00000137265	IRF4	0.94581717	5.144097326	7.597281801	1.70762E-13	6.97887E-11	19.96598154	6
ENSG00000255282	WTAPP1	1.350555206	2.319195029	7.645464689	1.22587E-13	5.14916E-11	19.96143936	11
ENSG00000080007	DDX43	0.901896164	3.256196498	7.613684754	1.52568E-13	6.32071E-11	19.94255544	6
ENSG00000230115	TPRG1-AS2	-0.9201314	3.043588122	-7.579475805	1.92938E-13	7.78001E-11	19.74096743	3
ENSG00000229425	AJ006998.2	1.428182767	7.388277454	7.505479838	3.19723E-13	1.23966E-10	19.39834629	21
ENSG00000255346	NOX5	0.909202843	3.228454434	7.519257806	2.91106E-13	1.14337E-10	19.30639557	15
ENSG00000265356	RP11-17M24.1	1.520344436	3.107771031	7.524682971	2.80544E-13	1.11638E-10	19.28483911	17
ENSG00000214212	C19orf38	0.624107011	6.029361985	7.130380126	3.90549E-12	1.45819E-09	16.94672672	19
