ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.844541507	5.671974854	83.22469549	2.4855E-188	3.7585E-184	401.7298576	Y
ENSG00000129824	RPS4Y1	8.738187878	9.802055845	88.24626571	1.1375E-194	3.4402E-190	398.9776283	Y
ENSG00000067048	DDX3Y	8.300250267	8.86251858	77.65498697	7.1807E-181	7.2388E-177	376.8632011	Y
ENSG00000114374	USP9Y	8.884447752	8.068445301	72.9162267	3.995E-174	3.0205E-170	369.2304758	Y
ENSG00000198692	EIF1AY	10.63669384	8.693986176	71.2108602	1.3396E-171	6.7521E-168	367.4995072	Y
ENSG00000012817	KDM5D	8.797889435	8.837952775	72.78064139	6.3144E-174	3.8193E-170	365.2779716	Y
ENSG00000067646	ZFY	7.754356441	6.180201785	67.9836001	1.1462E-166	4.952E-163	358.5065083	Y
ENSG00000099725	PRKY	6.11504584	4.51149105	66.56056933	2.0003E-164	7.5619E-161	353.9088552	Y
ENSG00000183878	UTY	7.823160586	6.689059204	65.90898442	2.1973E-163	7.3837E-160	350.3527486	Y
ENSG00000233864	TTTY15	6.520712933	4.907952043	64.18389847	1.3872E-160	3.814E-157	345.7966639	Y
ENSG00000131002	TXLNG2P	8.326936975	7.76603037	65.2388769	2.6415E-162	7.9886E-159	345.1781604	Y
ENSG00000260197	RP11-424G14.1	6.288103468	4.683416521	60.13032609	9.8211E-154	2.4752E-150	331.6457443	Y
ENSG00000229236	TTTY10	4.30925342	3.059873853	58.81563134	4.7728E-151	1.1103E-147	327.6191356	Y
ENSG00000154620	TMSB4Y	4.708594199	3.279170328	52.30911839	6.3097E-136	1.363E-132	293.5046856	Y
ENSG00000229807	XIST	-8.76869057	7.254328938	-45.04602034	3.223E-124	6.4982E-121	263.3375811	X
ENSG00000206159	GYG2P1	4.427895622	3.082901007	38.49650202	1.1943E-104	2.2574E-101	224.8264866	Y
ENSG00000165246	NLGN4Y	5.018225278	4.221783571	34.60005307	7.02704E-99	1.25011E-95	212.9149493	Y
ENSG00000233070	ZFY-AS1	2.219231798	1.648195599	26.54714745	1.35824E-75	2.28207E-72	161.3771305	Y
ENSG00000147050	KDM6A	-0.675030248	9.776798404	-16.64514794	9.50695E-43	1.51326E-39	85.73597969	X
ENSG00000005889	ZFX	-0.670543542	10.30603403	-16.33675986	1.13998E-41	1.72382E-38	83.34113532	X
ENSG00000241859	KALP	2.20494235	1.513680838	15.27199664	3.68961E-37	5.31356E-34	73.7714466	Y
ENSG00000215580	BCORP1	1.70668343	1.353707823	14.88482693	1.74311E-36	2.39622E-33	72.22824947	Y
ENSG00000257259	RP11-767I20.1	2.627782883	4.490268492	12.87187988	1.28938E-29	1.69542E-26	56.5250644	12
ENSG00000169953	HSFY2	1.620457226	1.124328663	12.81365473	4.92499E-29	5.9979E-26	55.25308562	Y
ENSG00000076770	MBNL3	1.525885516	8.627551422	11.2490552	3.77609E-24	4.07859E-21	44.03219898	X
ENSG00000231535	LINC00278	1.284015767	0.988587505	10.66362322	4.68673E-22	4.88761E-19	39.28568927	Y
ENSG00000177359	RP11-551L14.1	2.573006397	4.56257915	10.57265494	6.13015E-22	6.17981E-19	39.15264871	12
ENSG00000162989	KCNJ3	2.070369816	5.079233009	9.779393876	2.04951E-19	1.93698E-16	33.45217432	2
ENSG00000225490	RP4-610C12.3	1.426274126	2.304636501	8.837480169	1.55784E-16	1.42769E-13	26.80869962	20
ENSG00000080007	DDX43	1.408527351	4.091632852	8.539685834	1.18266E-15	1.05198E-12	24.97166109	6
ENSG00000167414	GNG8	1.286559148	2.139309451	8.418983226	2.6614E-15	2.29968E-12	23.99776328	19
ENSG00000230663	FAM224B	0.92110896	0.784867415	7.544383928	7.79786E-13	6.3738E-10	18.20774807	Y
ENSG00000237438	CECR7	0.960295302	5.819155477	7.130174801	1.00751E-11	7.61751E-09	16.2012745	22
ENSG00000187957	DNER	1.230425576	5.9480534	7.055461907	1.58301E-11	1.16768E-08	15.76360162	2
ENSG00000112139	MDGA1	0.759868414	8.518407281	6.983519635	2.43889E-11	1.67635E-08	15.35924401	6
ENSG00000231721	MKLN1-AS1	0.603442636	10.04669156	6.745217235	1E-10	6.4347E-08	13.98957352	7
ENSG00000128040	SPINK2	1.206894007	1.448368435	6.784006032	8.35628E-11	5.49389E-08	13.78101662	4
ENSG00000131781	FMO5	0.952373554	7.140227222	6.408657852	6.93883E-10	4.11473E-07	12.12640776	1
ENSG00000168143	FAM83B	1.332609883	3.108392258	6.228633944	1.9115E-09	1.07055E-06	10.90388228	6
ENSG00000258484	SPESP1	0.890229362	6.044511939	6.023255523	5.86438E-09	3.11152E-06	10.0544975	15
ENSG00000261116	RP3-523K23.2	1.351976657	3.095888244	5.983351825	7.27602E-09	3.79394E-06	9.633388279	6
ENSG00000141576	RNF157	0.674493495	8.894591357	5.915993452	1.04475E-08	5.35532E-06	9.513559548	17
