ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.231131241	4.930547691	188.6955952	0	0	1268.859546	Y
ENSG00000099725	PRKY	8.148529956	5.610228854	167.5406717	0	0	1195.966542	Y
ENSG00000129824	RPS4Y1	9.542392269	10.11333252	166.9487191	0	0	1187.020601	Y
ENSG00000154620	TMSB4Y	5.986721058	4.067034623	146.6830275	0	0	1118.310689	Y
ENSG00000260197	RP11-424G14.1	7.545815649	5.291183618	137.6823475	0	0	1083.629238	Y
ENSG00000067048	DDX3Y	9.004434297	9.008057166	132.6901544	0	0	1056.084455	Y
ENSG00000233864	TTTY15	6.921488822	4.897394109	124.7573933	0	0	1022.913425	Y
ENSG00000012817	KDM5D	9.108732446	8.719838569	124.1410684	0	0	1017.722752	Y
ENSG00000131002	TXLNG2P	9.426783922	8.245041401	120.558863	0	0	1001.880702	Y
ENSG00000114374	USP9Y	8.808681467	7.832757017	116.7941418	0	0	983.0366181	Y
ENSG00000183878	UTY	9.311978786	7.30926858	114.6992571	0	0	974.4197537	Y
ENSG00000067646	ZFY	8.016389548	6.07329318	112.9144148	0	0	965.4634527	Y
ENSG00000165246	NLGN4Y	7.105373067	5.31480522	108.4201434	0	0	941.4316416	Y
ENSG00000184895	SRY	5.735209752	3.809407245	108.6034421	0	0	913.1985506	Y
ENSG00000198692	EIF1AY	8.008537308	6.563830207	101.747216	0	0	902.89589	Y
ENSG00000229807	XIST	-9.321479124	7.133306464	-84.13272296	0	0	788.4572908	X
ENSG00000237659	RNASEH2CP1	5.11585189	3.404226937	84.68220037	0	0	769.5283474	Y
ENSG00000229236	TTTY10	3.654210304	2.470725804	73.36805809	0	1.0952E-306	697.2207921	Y
ENSG00000092377	TBL1Y	4.469428748	2.972208327	72.72623258	5.1071E-297	8.1292E-294	666.839817	Y
ENSG00000231535	LINC00278	3.349857513	2.253039547	63.10608894	1.021E-276	1.5438E-273	621.9365667	Y
ENSG00000215580	BCORP1	3.19644552	2.170170594	48.39555205	1.0187E-214	1.4671E-211	480.424321	Y
ENSG00000233070	ZFY-AS1	2.834269354	1.93384179	47.90051504	1.5569E-209	2.1403E-206	468.4960929	Y
ENSG00000241859	KALP	2.606024164	1.803193036	46.12213892	3.4798E-205	4.5757E-202	458.7089271	Y
ENSG00000239893	ZNF736P9Y	4.391239087	2.87747602	46.53867587	1.9301E-200	2.4321E-197	447.4062546	Y
ENSG00000227289	HSFY3P	2.793259685	1.836685588	32.70758898	5.0166E-134	6.0687E-131	295.5082354	Y
ENSG00000206159	GYG2P1	3.058021176	1.968845011	31.39344626	3.9138E-125	4.5525E-122	275.0522486	Y
ENSG00000147050	KDM6A	-0.610635119	11.23289102	-22.13358289	2.32544E-81	2.51172E-78	174.6277831	X
ENSG00000230663	FAM224B	1.954595636	1.29300505	21.69171565	1.46814E-77	1.53106E-74	165.9990604	Y
ENSG00000188120	DAZ1	2.574635484	1.635969293	21.78139264	1.92818E-77	1.9438E-74	165.7494537	Y
ENSG00000169953	HSFY2	1.430340362	1.015142305	20.98992735	5.96767E-75	5.82195E-72	159.95079	Y
ENSG00000231648	RP11-372M18.2	2.338507871	5.236736279	16.13378319	1.64855E-49	1.34749E-46	101.7514842	1
ENSG00000099715	PCDH11Y	1.378503546	1.243888694	15.59865262	1.09357E-46	8.70338E-44	95.11801726	Y
ENSG00000111249	CUX2	2.081944489	4.604489581	15.50443962	2.25061E-46	1.74526E-43	94.56746553	12
ENSG00000124343	XG	-0.784949447	11.16802066	-14.09200076	1.48856E-39	1.04694E-36	79.01912449	X
ENSG00000234795	RFTN1P1	1.34232708	0.902691362	12.60619979	2.19301E-32	1.47385E-29	62.42907656	Y
ENSG00000101846	STS	-0.711303778	8.995420753	-12.4363549	5.23096E-32	3.36596E-29	61.80174706	X
ENSG00000205944	DAZ2	1.455991893	0.946742054	11.94104095	1.68117E-29	1.05924E-26	55.8705353	Y
ENSG00000145244	CORIN	1.186578535	8.301833071	10.95433798	9.5595E-26	5.55977E-23	47.52272059	4
ENSG00000152092	ASTN1	-1.283193726	4.432456121	-10.80429183	3.84832E-25	2.15527E-22	46.07779439	1
ENSG00000205916	DAZ4	0.868154345	0.574668245	9.29015049	3.07375E-19	1.52392E-16	32.39676573	Y
ENSG00000258484	SPESP1	0.925993195	5.157379781	9.19239613	5.10368E-19	2.45001E-16	32.14604761	15
ENSG00000056998	GYG2	-0.924546159	7.329028284	-9.119675074	9.2691E-19	4.38009E-16	31.62810811	X
ENSG00000272769	RP11-725P16.2	0.879846931	3.447561426	8.88501641	6.20429E-18	2.80054E-15	29.59913448	2
ENSG00000225490	RP4-610C12.3	0.77886231	1.747209103	8.051382681	3.90085E-15	1.68534E-12	23.04730145	20
