ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000233864	TTTY15	7.816486041	5.887016915	92.36381985	2.4951E-247	7.5458E-243	531.65122	Y
ENSG00000176728	TTTY14	7.034924906	5.356298314	81.50478983	2.5296E-228	3.8251E-224	493.8850433	Y
ENSG00000067646	ZFY	7.87524154	6.243358706	78.74073057	2.9574E-224	2.9813E-220	485.4063854	Y
ENSG00000154620	TMSB4Y	6.832508302	5.107560791	78.64705918	1.1837E-223	8.9496E-220	484.6079685	Y
ENSG00000129824	RPS4Y1	8.84735654	9.778987116	77.76540967	1.8119E-222	1.0959E-218	473.3873388	Y
ENSG00000067048	DDX3Y	8.603583842	8.780090847	73.34574421	4.1216E-214	2.0775E-210	458.8567456	Y
ENSG00000165246	NLGN4Y	8.489059058	7.067891206	69.87080066	3.1811E-207	1.3744E-203	449.9666586	Y
ENSG00000183878	UTY	8.190331883	6.806561448	69.33303344	3.9353E-206	1.4877E-202	447.7836582	Y
ENSG00000260197	RP11-424G14.1	6.630470039	5.090393298	69.12591612	1.0415E-205	3.4998E-202	447.6167482	Y
ENSG00000114374	USP9Y	8.911236961	8.114435424	69.01183307	1.7822E-205	5.3898E-202	443.8415788	Y
ENSG00000131002	TXLNG2P	8.343544324	7.7078047	68.93799155	2.5242E-205	6.94E-202	443.481147	Y
ENSG00000198692	EIF1AY	8.445473411	7.022954074	65.13757778	2.3833E-197	6.0066E-194	429.2594286	Y
ENSG00000012817	KDM5D	8.604572976	8.573860804	64.76907944	1.484E-196	3.4523E-193	423.7482709	Y
ENSG00000206159	GYG2P1	4.895786799	3.539188681	55.66454379	1.4107E-167	3.0475E-164	364.5382236	Y
ENSG00000229807	XIST	-8.448610911	5.869178595	-36.74220768	5.576E-122	1.1242E-118	262.4151498	X
ENSG00000241859	KALP	3.445689742	2.562202263	36.29428318	2.7692E-118	5.2343E-115	257.3068837	Y
ENSG00000099725	PRKY	3.825732461	2.969888845	33.90842927	1.4565E-111	2.5912E-108	242.2755959	Y
ENSG00000092377	TBL1Y	3.740320018	2.521219579	30.18137884	8.15593E-95	1.37033E-91	203.8736466	Y
ENSG00000227289	HSFY3P	3.846794784	2.635385415	29.21845472	3.6127E-91	5.75047E-88	195.712377	Y
ENSG00000169953	HSFY2	3.572593132	2.370255367	24.42188153	3.36244E-74	5.08451E-71	157.4121179	Y
ENSG00000233070	ZFY-AS1	2.563710498	1.862360749	24.01475775	6.51249E-74	9.37891E-71	157.2340819	Y
ENSG00000099715	PCDH11Y	3.932980282	5.663557362	22.26272525	5.87994E-69	8.08305E-66	145.4034855	Y
ENSG00000229236	TTTY10	2.550484285	1.858444858	21.8850408	5.10259E-66	6.70947E-63	139.3482021	Y
ENSG00000215580	BCORP1	2.59947131	1.858380756	18.90153644	5.50884E-54	6.94182E-51	111.9535557	Y
ENSG00000225470	JPX	-0.647163667	8.886630312	-15.86518326	4.63484E-43	5.60686E-40	86.57373231	X
ENSG00000005889	ZFX	-0.672209249	10.01157835	-15.03327942	9.85752E-40	1.14662E-36	79.1189058	X
ENSG00000130021	HDHD1	-0.646306561	8.795679046	-14.94602367	2.19186E-39	2.45513E-36	78.31329303	X
ENSG00000239893	ZNF736P9Y	2.400915012	1.449051758	12.96614954	9.03102E-31	9.41811E-28	59.16415834	Y
ENSG00000225490	RP4-610C12.3	1.615844831	5.287577138	12.01630714	4.52876E-28	4.41818E-25	52.95781485	20
ENSG00000147050	KDM6A	-0.631675836	9.369872726	-11.53859992	2.6098E-26	2.4665E-23	48.90492057	X
ENSG00000224060	ARSEP1	1.417784794	1.147898181	11.08568036	1.26812E-24	1.16218E-21	45.13042608	Y
ENSG00000270223	RP13-36G14.4	-0.736393429	7.357403263	-10.55814857	8.48466E-23	7.12782E-20	41.0117176	X
ENSG00000182378	PLCXD1	0.88522497	10.07221116	10.3370404	5.00784E-22	3.98558E-19	39.27269592	X
ENSG00000205611	RP4-610C12.4	1.290124795	5.625088015	9.063304188	9.26786E-18	6.83629E-15	29.68615622	20
ENSG00000002586	CD99	0.797625252	12.12858321	8.792517225	6.79296E-17	4.89142E-14	27.74553349	X
ENSG00000149531	FRG1B	0.650519959	8.86141982	7.540874907	4.07708E-13	2.80234E-10	19.28372068	20
ENSG00000231535	LINC00278	1.175361116	0.897819217	7.439622864	9.31597E-13	6.12484E-10	18.26731176	Y
ENSG00000184895	SRY	1.341622924	0.837305856	6.596958129	1.78988E-10	1.10472E-07	13.11879995	Y
ENSG00000255346	NOX5	0.967678217	5.242687539	6.48721672	2.99632E-10	1.81236E-07	12.83479008	15
ENSG00000261600	RP11-575H3.1	-0.999835546	4.946197282	-5.866053085	1.03674E-08	5.91585E-06	9.423572044	2
ENSG00000172460	PRSS30P	-0.797545972	5.199191874	-5.334664627	1.72537E-07	9.15446E-05	6.722867021	16
ENSG00000259222	RP11-809H16.5	0.92830725	3.49488614	5.20608371	3.30105E-07	0.000166389	5.999068248	15
ENSG00000235649	MXRA5P1	0.758614042	1.128450285	5.071953379	6.40848E-07	0.000312599	5.091479074	Y
ENSG00000212766	LINC00277	0.693733247	5.177657686	4.728989772	3.28057E-06	0.001459032	3.888678395	15
ENSG00000228906	RP13-216E22.4	-0.614300277	3.090019342	-4.435083561	1.23509E-05	0.004914837	2.550744273	X
ENSG00000223756	TSSC2	-0.659157044	4.316115135	-4.397180283	1.45803E-05	0.005726647	2.456300366	11
ENSG00000168757	TSPY2	0.607338565	0.488003685	4.333399384	1.97375E-05	0.007652825	1.883933804	Y
ENSG00000189223	AC016683.6	0.872276192	8.718796915	4.138787132	4.3815E-05	0.016159738	1.521478706	2
ENSG00000259745	RP11-809H16.3	0.699379134	1.776224082	4.112985323	4.87578E-05	0.017348021	1.039026912	15
ENSG00000259785	RP13-98N21.3	0.795701947	4.04441968	4.012387083	7.36233E-05	0.025017872	0.886173214	15
ENSG00000185304	RGPD2	-0.71348306	3.989427826	-4.003571149	7.62537E-05	0.025623791	0.882856753	2
ENSG00000231453	AC018470.4	0.636025964	6.065250034	3.969646107	8.74203E-05	0.028428513	0.813105872	2
ENSG00000080007	DDX43	0.637791074	3.619906905	3.90469711	0.000113263	0.034254214	0.461190326	6
ENSG00000180777	ANKRD30B	0.682536821	6.45123573	3.87037526	0.000129693	0.038080525	0.45751393	18
ENSG00000235890	TSPEAR-AS1	-0.601743213	2.891489188	-3.828642538	0.000152712	0.042763527	0.166325468	21
