ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000129824	RPS4Y1	9.286479168	9.718412689	118.8633517	6.5221E-268	1.9725E-263	573.7823429	Y
ENSG00000176728	TTTY14	7.501168879	5.086115137	114.0073119	3.2256E-262	4.8776E-258	571.48199	Y
ENSG00000154620	TMSB4Y	6.191969577	4.056608595	116.9624154	1.9374E-261	1.9531E-257	569.0630103	Y
ENSG00000233864	TTTY15	8.009252471	5.427892536	109.9002687	3.2193E-257	2.434E-253	561.3354586	Y
ENSG00000012817	KDM5D	9.038119192	8.633098935	97.37737048	8.3365E-241	5.0424E-237	522.8176766	Y
ENSG00000114374	USP9Y	9.349355041	7.895310189	95.34472327	5.8944E-238	2.9711E-234	519.1983716	Y
ENSG00000067646	ZFY	8.713885656	6.216145712	93.94744347	5.7842E-236	2.499E-232	517.6968977	Y
ENSG00000260197	RP11-424G14.1	6.863827747	4.69035643	95.05434105	1.8979E-235	7.1746E-232	516.1615901	Y
ENSG00000067048	DDX3Y	8.803766828	8.493981652	91.91993317	5.0344E-233	1.6917E-229	506.9804082	Y
ENSG00000183878	UTY	9.19593457	6.935216173	90.29116929	1.2805E-230	3.8727E-227	506.3260417	Y
ENSG00000099725	PRKY	7.144723432	4.928223328	90.21296763	1.6745E-230	4.6038E-227	506.15089	Y
ENSG00000131002	TXLNG2P	9.760567809	7.975565919	87.02748821	1.123E-225	2.8303E-222	494.1995996	Y
ENSG00000165246	NLGN4Y	7.322916609	5.178463172	85.43594448	3.3343E-223	7.757E-220	490.6436091	Y
ENSG00000198692	EIF1AY	8.484055897	6.581824021	82.42594066	2.0741E-218	4.4805E-215	480.0556779	Y
ENSG00000229807	XIST	-9.492895823	7.428830156	-75.34619288	1.7778E-206	3.5844E-203	450.0729792	X
ENSG00000092377	TBL1Y	5.258851808	3.3896278	71.29376544	9.0883E-189	1.7179E-185	414.2257868	Y
ENSG00000231535	LINC00278	5.088773728	3.280489777	66.07449451	1.0834E-182	1.9273E-179	402.1186282	Y
ENSG00000233070	ZFY-AS1	3.951883597	2.554782139	59.14711725	1.4332E-165	2.408E-162	364.1683805	Y
ENSG00000239893	ZNF736P9Y	4.818139357	3.092510043	57.2818101	1.7613E-162	2.8036E-159	357.1509141	Y
ENSG00000241859	KALP	3.902961276	2.43073041	57.86375503	7.7985E-160	1.1793E-156	350.4329454	Y
ENSG00000206159	GYG2P1	3.885665157	2.557010868	50.82204169	4.9313E-152	6.779E-149	334.9032874	Y
ENSG00000184895	SRY	4.317223126	2.768518174	51.60739516	4.4594E-152	6.4222E-149	334.5750227	Y
ENSG00000215580	BCORP1	4.490153916	2.882463874	50.45409108	1.4968E-145	1.9681E-142	319.2501173	Y
