ensembl	gene	lfc	expr	t	p	q	b	seqid
ENSG00000176728	TTTY14	7.117760445	4.326321086	88.52235367	1.79743E-99	5.43597E-95	192.2527942	Y
ENSG00000099725	PRKY	6.911761937	4.181731335	74.95793021	1.00695E-94	1.52266E-90	187.2546733	Y
ENSG00000012817	KDM5D	10.75361399	8.943940892	70.64741116	6.98449E-94	7.04106E-90	184.3932016	Y
ENSG00000129824	RPS4Y1	10.14308117	9.481094232	70.33249144	1.13283E-93	8.56502E-90	182.9167606	Y
ENSG00000114374	USP9Y	9.437249736	7.337425652	66.67539072	3.64116E-91	1.57314E-87	181.0486977	Y
ENSG00000260197	RP11-424G14.1	8.258653659	5.062986618	79.1064005	4.0944E-93	2.47654E-89	179.6918353	Y
ENSG00000233864	TTTY15	7.375256541	4.686594115	60.53243445	1.2092E-86	4.57122E-83	175.0748212	Y
ENSG00000067646	ZFY	8.594818627	5.678584484	59.62016422	6.17494E-86	2.07499E-82	173.6698323	Y
ENSG00000131002	TXLNG2P	10.10086436	7.951763562	59.50791283	7.55909E-86	2.28609E-82	172.0085464	Y
ENSG00000215580	BCORP1	7.731959851	4.563730954	86.71401723	3.08721E-91	1.55611E-87	171.3359364	Y
ENSG00000198692	EIF1AY	9.762160451	6.89291917	57.12608748	6.02367E-84	1.51811E-80	170.0252156	Y
ENSG00000067048	DDX3Y	10.12033921	8.616227886	57.95151476	1.29614E-84	3.56357E-81	169.1199835	Y
ENSG00000183878	UTY	9.060771101	6.515612862	54.85793308	4.57837E-82	1.0651E-78	166.4512993	Y
ENSG00000154620	TMSB4Y	5.646211377	3.532265447	47.21221668	7.75667E-73	1.67561E-69	148.7564709	Y
ENSG00000229236	TTTY10	6.292367879	3.646342599	51.700509	1.3673E-69	2.75676E-66	135.32971	Y
ENSG00000165246	NLGN4Y	5.549174787	3.656413643	36.34146354	2.45924E-63	4.64842E-60	130.4046148	Y
ENSG00000233070	ZFY-AS1	3.596731608	2.120017001	35.72479648	2.3922E-59	4.25572E-56	121.2096229	Y
ENSG00000241859	KALP	3.643097948	2.190563023	32.58045309	2.8788E-56	4.83686E-53	115.043756	Y
ENSG00000229807	XIST	-9.157191058	7.234833283	-30.49300587	1.14853E-55	1.82816E-52	112.8845051	X
ENSG00000231535	LINC00278	3.719621682	2.217971875	32.34963563	1.21213E-53	1.83292E-50	109.1354791	Y
ENSG00000226918	AC010086.1	4.318075995	2.572864094	31.25145869	5.3955E-51	7.77029E-48	102.9732819	Y
ENSG00000232634	NEFLP1	4.952693877	2.834415504	23.19183356	3.63603E-39	4.99839E-36	76.93971094	Y
ENSG00000147050	KDM6A	-0.699650508	10.88158661	-16.74666188	4.11646E-32	5.41279E-29	61.78142885	X
ENSG00000198034	RPS4X	-0.781489088	15.65472813	-15.49880943	1.70896E-29	2.1535E-26	56.13983369	X
ENSG00000173674	EIF1AX	-0.688045768	10.93696164	-14.30218431	6.5935E-27	7.97628E-24	50.26811823	X
ENSG00000130021	HDHD1	-0.637070255	9.311222193	-13.99346345	3.14512E-26	3.65838E-23	48.71593204	X
ENSG00000157828	RPS4Y2	2.402258454	1.472882346	13.13749435	7.04937E-23	7.89607E-20	41.53298441	Y
ENSG00000184368	MAP7D2	-1.993484521	3.905117046	-11.44312857	1.76496E-20	1.77926E-17	36.01446281	X
